Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,1
2022-04-25 11:00:00,111.36,16
2022-04-25 12:00:00,406.72,49
2022-04-25 13:00:00,235.63,35
2022-04-25 14:00:00,121.16,17
2022-04-25 15:00:00,144.19,26
2022-04-25 16:00:00,193.68,27
2022-04-25 17:00:00,423.9,44
2022-04-25 18:00:00,438.61,42
2022-04-25 19:00:00,344.01,35
2022-04-25 20:00:00,271.19,23
2022-04-25 21:00:00,137.93,17
2022-04-25 22:00:00,63.99,6
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,21.6,2
2022-04-26 11:00:00,141.89,18
2022-04-26 12:00:00,265.84,37
2022-04-26 13:00:00,260.16,33
2022-04-26 14:00:00,141.4,26
2022-04-26 15:00:00,180.2,26
2022-04-26 16:00:00,231.47,29
2022-04-26 17:00:00,305.38,35
2022-04-26 18:00:00,481.42,49
2022-04-26 19:00:00,444.63,44
2022-04-26 20:00:00,276.89,26
2022-04-26 21:00:00,290.51,29
2022-04-26 22:00:00,36.2,4
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,38.2,10
2022-04-27 11:00:00,89.66,14
2022-04-27 12:00:00,348.75,40
2022-04-27 13:00:00,344.99,42
2022-04-27 14:00:00,273.23,34
2022-04-27 15:00:00,215.78,25
2022-04-27 16:00:00,223.53,30
2022-04-27 17:00:00,328.94,37
2022-04-27 18:00:00,435.22,44
2022-04-27 19:00:00,451.28,45
2022-04-27 20:00:00,344.34,41
2022-04-27 21:00:00,231.48,17
2022-04-27 22:00:00,7.07,1
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,34.17,5
2022-04-28 11:00:00,234.88,29
2022-04-28 12:00:00,450.91,55
2022-04-28 13:00:00,433.65,69
2022-04-28 14:00:00,156.32,23
2022-04-28 15:00:00,216.43,24
2022-04-28 16:00:00,279.14,28
2022-04-28 17:00:00,514.03,62
2022-04-28 18:00:00,590.73,55
2022-04-28 19:00:00,551.76,48
2022-04-28 20:00:00,355.34,28
2022-04-28 21:00:00,204.12,22
2022-04-28 22:00:00,62.72,6
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,89.39,14
2022-04-29 11:00:00,227.56,36
2022-04-29 12:00:00,408.47,53
2022-04-29 13:00:00,371.05,51
2022-04-29 14:00:00,381.5,47
2022-04-29 15:00:00,180.26,24
2022-04-29 16:00:00,473.58,51
2022-04-29 17:00:00,494.29,47
2022-04-29 18:00:00,776.94,68
2022-04-29 19:00:00,544.11,54
2022-04-29 20:00:00,541.42,42
2022-04-29 21:00:00,300.36,30
2022-04-29 22:00:00,235.77,23
2022-04-29 23:00:00,0,1
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,49.08,6
2022-04-30 11:00:00,203.35,23
2022-04-30 12:00:00,417.57,45
2022-04-30 13:00:00,422.63,39
2022-04-30 14:00:00,513.62,46
2022-04-30 15:00:00,416.72,34
2022-04-30 16:00:00,361.96,40
2022-04-30 17:00:00,513.69,53
2022-04-30 18:00:00,463.6,52
2022-04-30 19:00:00,556.1,45
2022-04-30 20:00:00,465.08,36
2022-04-30 21:00:00,257.34,26
2022-04-30 22:00:00,83.79,11
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,4.16,1
2022-05-01 11:00:00,216.95,20
2022-05-01 12:00:00,480.22,37
2022-05-01 13:00:00,537.56,45
2022-05-01 14:00:00,490.76,44
2022-05-01 15:00:00,513.24,45
2022-05-01 16:00:00,339.43,29
2022-05-01 17:00:00,270.23,24
