Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,5.88,2
2022-04-25 11:00:00,87.83,8
2022-04-25 12:00:00,153.95,26
2022-04-25 13:00:00,153.87,25
2022-04-25 14:00:00,105.31,18
2022-04-25 15:00:00,139.61,26
2022-04-25 16:00:00,114.79,18
2022-04-25 17:00:00,269.12,37
2022-04-25 18:00:00,207.08,30
2022-04-25 19:00:00,190.49,25
2022-04-25 20:00:00,212.5,22
2022-04-25 21:00:00,104.51,13
2022-04-25 22:00:00,130.26,18
2022-04-25 23:00:00,106.23,18
2022-04-26 0:00:00,93.85,12
2022-04-26 1:00:00,-12.43,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,9.39,3
2022-04-26 11:00:00,110.77,15
2022-04-26 12:00:00,288.59,38
2022-04-26 13:00:00,257.06,39
2022-04-26 14:00:00,131.83,25
2022-04-26 15:00:00,128.55,24
2022-04-26 16:00:00,187.45,32
2022-04-26 17:00:00,258.79,27
2022-04-26 18:00:00,359.79,34
2022-04-26 19:00:00,261.27,35
2022-04-26 20:00:00,338.61,37
2022-04-26 21:00:00,239.15,29
2022-04-26 22:00:00,219.63,30
2022-04-26 23:00:00,171.76,20
2022-04-27 0:00:00,11.33,5
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,1.32,1
2022-04-27 11:00:00,131.76,14
2022-04-27 12:00:00,160.47,36
2022-04-27 13:00:00,217.15,35
2022-04-27 14:00:00,123.09,21
2022-04-27 15:00:00,157.88,23
2022-04-27 16:00:00,132.05,18
2022-04-27 17:00:00,305.36,39
2022-04-27 18:00:00,416.04,41
2022-04-27 19:00:00,305.67,40
2022-04-27 20:00:00,199.19,23
2022-04-27 21:00:00,150.84,25
2022-04-27 22:00:00,177.42,25
2022-04-27 23:00:00,199.95,23
2022-04-28 0:00:00,68.12,12
2022-04-28 1:00:00,8.56,2
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,21.2,3
2022-04-28 11:00:00,122.8,14
2022-04-28 12:00:00,247.33,40
2022-04-28 13:00:00,173.68,21
2022-04-28 14:00:00,175.79,30
2022-04-28 15:00:00,143.61,29
2022-04-28 16:00:00,226.52,27
2022-04-28 17:00:00,230.27,32
2022-04-28 18:00:00,293.37,32
2022-04-28 19:00:00,260.93,35
2022-04-28 20:00:00,324.15,39
2022-04-28 21:00:00,235.98,34
2022-04-28 22:00:00,174.14,23
2022-04-28 23:00:00,172.74,22
2022-04-29 0:00:00,222.79,32
2022-04-29 1:00:00,114.12,15
2022-04-29 2:00:00,51.79,10
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,40.56,7
2022-04-29 11:00:00,83.25,12
2022-04-29 12:00:00,253.22,44
2022-04-29 13:00:00,277.1,38
2022-04-29 14:00:00,269.57,34
2022-04-29 15:00:00,212.34,29
2022-04-29 16:00:00,280.52,44
2022-04-29 17:00:00,282.7,34
2022-04-29 18:00:00,532.53,47
2022-04-29 19:00:00,312.95,37
2022-04-29 20:00:00,261.37,32
2022-04-29 21:00:00,318.88,32
2022-04-29 22:00:00,194.93,28
2022-04-29 23:00:00,336.57,42
2022-04-30 0:00:00,79.65,16
2022-04-30 1:00:00,49.1,8
2022-04-30 2:00:00,90.38,13
2022-04-30 3:00:00,0.3,1
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,18.28,3
2022-04-30 11:00:00,70.51,12
2022-04-30 12:00:00,108.05,15
2022-04-30 13:00:00,179.4,26
2022-04-30 14:00:00,281.88,38
2022-04-30 15:00:00,177.94,26
2022-04-30 16:00:00,145.15,17
2022-04-30 17:00:00,253.1,30
2022-04-30 18:00:00,340.65,36
2022-04-30 19:00:00,207.84,33
2022-04-30 20:00:00,422.34,39
2022-04-30 21:00:00,289,32
2022-04-30 22:00:00,246.1,25
2022-04-30 23:00:00,144.98,23
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,22.05,3
2022-05-01 11:00:00,84.41,11
2022-05-01 12:00:00,114.84,21
2022-05-01 13:00:00,336.73,36
2022-05-01 14:00:00,207.92,26
2022-05-01 15:00:00,301.91,30
2022-05-01 16:00:00,348.53,34
