Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,35.62,5
2022-04-25 11:00:00,139.44,20
2022-04-25 12:00:00,237.99,26
2022-04-25 13:00:00,234.54,33
2022-04-25 14:00:00,159.72,22
2022-04-25 15:00:00,166.8,19
2022-04-25 16:00:00,95.34,12
2022-04-25 17:00:00,237.85,26
2022-04-25 18:00:00,341.96,33
2022-04-25 19:00:00,308,27
2022-04-25 20:00:00,310.21,28
2022-04-25 21:00:00,230.7,29
2022-04-25 22:00:00,140.42,15
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,2
2022-04-26 10:00:00,15.78,5
2022-04-26 11:00:00,95.94,12
2022-04-26 12:00:00,245.51,33
2022-04-26 13:00:00,253.88,40
2022-04-26 14:00:00,198.7,23
2022-04-26 15:00:00,216.53,26
2022-04-26 16:00:00,252.41,29
2022-04-26 17:00:00,397.86,41
2022-04-26 18:00:00,476.23,47
2022-04-26 19:00:00,432.29,40
2022-04-26 20:00:00,452.53,31
2022-04-26 21:00:00,190.03,20
2022-04-26 22:00:00,228.93,19
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,11.59,5
2022-04-27 11:00:00,220.57,32
2022-04-27 12:00:00,354.79,35
2022-04-27 13:00:00,276.49,36
2022-04-27 14:00:00,112.14,17
2022-04-27 15:00:00,180.2,21
2022-04-27 16:00:00,244.79,23
2022-04-27 17:00:00,293.69,27
2022-04-27 18:00:00,437.13,42
2022-04-27 19:00:00,592.88,60
2022-04-27 20:00:00,295.64,34
2022-04-27 21:00:00,262.42,30
2022-04-27 22:00:00,44.62,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,26.6,4
2022-04-28 11:00:00,108.41,16
2022-04-28 12:00:00,291.85,33
2022-04-28 13:00:00,169.64,23
2022-04-28 14:00:00,182.77,23
2022-04-28 15:00:00,157.53,20
2022-04-28 16:00:00,274.91,29
2022-04-28 17:00:00,340.96,31
2022-04-28 18:00:00,472.36,47
2022-04-28 19:00:00,560.41,50
2022-04-28 20:00:00,321.41,27
2022-04-28 21:00:00,333.18,41
2022-04-28 22:00:00,176.04,16
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,87.67,13
2022-04-29 11:00:00,170.58,22
2022-04-29 12:00:00,366.03,51
2022-04-29 13:00:00,360.57,46
2022-04-29 14:00:00,170.01,22
2022-04-29 15:00:00,150.24,21
2022-04-29 16:00:00,361.26,32
2022-04-29 17:00:00,409.42,40
2022-04-29 18:00:00,666.25,55
2022-04-29 19:00:00,711.66,60
2022-04-29 20:00:00,489.96,40
2022-04-29 21:00:00,309.27,35
2022-04-29 22:00:00,162.13,18
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,17.86,2
2022-04-30 11:00:00,121.46,17
2022-04-30 12:00:00,569.68,56
2022-04-30 13:00:00,849.06,101
2022-04-30 14:00:00,799.4,105
2022-04-30 15:00:00,423.75,39
2022-04-30 16:00:00,271.57,32
2022-04-30 17:00:00,539.81,85
2022-04-30 18:00:00,630.12,57
2022-04-30 19:00:00,584.58,42
2022-04-30 20:00:00,376.93,35
2022-04-30 21:00:00,363.63,32
2022-04-30 22:00:00,160.73,17
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,58.46,5
2022-05-01 11:00:00,226.17,19
2022-05-01 12:00:00,468.58,41
2022-05-01 13:00:00,487.15,50
2022-05-01 14:00:00,686.54,69
2022-05-01 15:00:00,493.67,63
2022-05-01 16:00:00,530.09,49
2022-05-01 17:00:00,534.91,48
