Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,92.31,11
2022-04-25 11:00:00,171.95,20
2022-04-25 12:00:00,251.63,28
2022-04-25 13:00:00,284.28,44
2022-04-25 14:00:00,250.3,33
2022-04-25 15:00:00,359.43,37
2022-04-25 16:00:00,375.3,30
2022-04-25 17:00:00,514.71,45
2022-04-25 18:00:00,536.62,51
2022-04-25 19:00:00,549.97,52
2022-04-25 20:00:00,362.83,34
2022-04-25 21:00:00,416.81,32
2022-04-25 22:00:00,125.26,17
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,100.41,8
2022-04-26 11:00:00,166.42,21
2022-04-26 12:00:00,380.41,45
2022-04-26 13:00:00,380.69,44
2022-04-26 14:00:00,247.07,35
2022-04-26 15:00:00,226.17,30
2022-04-26 16:00:00,437.8,50
2022-04-26 17:00:00,500.4,48
2022-04-26 18:00:00,629.24,71
2022-04-26 19:00:00,828.12,75
2022-04-26 20:00:00,407.31,44
2022-04-26 21:00:00,381.71,36
2022-04-26 22:00:00,169.91,21
2022-04-26 23:00:00,0,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,66.99,7
2022-04-27 11:00:00,200.68,21
2022-04-27 12:00:00,307.8,30
2022-04-27 13:00:00,360.8,49
2022-04-27 14:00:00,287,32
2022-04-27 15:00:00,342.85,40
2022-04-27 16:00:00,368.83,40
2022-04-27 17:00:00,519.99,48
2022-04-27 18:00:00,763.9,65
2022-04-27 19:00:00,646.91,59
2022-04-27 20:00:00,553.69,55
2022-04-27 21:00:00,329.7,32
2022-04-27 22:00:00,129.29,15
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,67.07,11
2022-04-28 11:00:00,134.29,22
2022-04-28 12:00:00,289.28,32
2022-04-28 13:00:00,470.28,53
2022-04-28 14:00:00,247.93,34
2022-04-28 15:00:00,206.92,32
2022-04-28 16:00:00,429.1,33
2022-04-28 17:00:00,578.09,55
2022-04-28 18:00:00,683.54,63
2022-04-28 19:00:00,560.88,53
2022-04-28 20:00:00,647.42,45
2022-04-28 21:00:00,469.15,47
2022-04-28 22:00:00,296.1,32
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,56.46,8
2022-04-29 11:00:00,247.12,36
2022-04-29 12:00:00,339.44,46
2022-04-29 13:00:00,583.47,63
2022-04-29 14:00:00,412.6,41
2022-04-29 15:00:00,310.69,32
2022-04-29 16:00:00,633.51,57
2022-04-29 17:00:00,820.17,78
2022-04-29 18:00:00,989.85,82
2022-04-29 19:00:00,814.1,68
2022-04-29 20:00:00,634.37,53
2022-04-29 21:00:00,469.18,49
2022-04-29 22:00:00,285.95,28
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,57.81,8
2022-04-30 11:00:00,189.95,24
2022-04-30 12:00:00,506.35,48
2022-04-30 13:00:00,442.77,46
2022-04-30 14:00:00,439.09,52
2022-04-30 15:00:00,605.63,65
2022-04-30 16:00:00,482.85,49
2022-04-30 17:00:00,712.29,64
2022-04-30 18:00:00,793.02,69
2022-04-30 19:00:00,966.09,78
2022-04-30 20:00:00,595.44,49
2022-04-30 21:00:00,473.38,47
2022-04-30 22:00:00,302.9,34
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,110.15,11
2022-05-01 11:00:00,238.96,22
2022-05-01 12:00:00,420.75,38
2022-05-01 13:00:00,673,58
2022-05-01 14:00:00,623.78,64
2022-05-01 15:00:00,480.58,45
2022-05-01 16:00:00,500.34,47
2022-05-01 17:00:00,609.69,56
2022-05-01 18:00:00,887.56,73
