Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,33.06,4
2022-04-25 10:00:00,103.78,14
2022-04-25 11:00:00,232.97,40
2022-04-25 12:00:00,469.23,66
2022-04-25 13:00:00,370.23,56
2022-04-25 14:00:00,444.28,62
2022-04-25 15:00:00,353.31,52
2022-04-25 16:00:00,477.63,60
2022-04-25 17:00:00,386.64,62
2022-04-25 18:00:00,614.09,65
2022-04-25 19:00:00,754.39,71
2022-04-25 20:00:00,844.14,75
2022-04-25 21:00:00,598.38,61
2022-04-25 22:00:00,476.03,48
2022-04-25 23:00:00,222.43,24
2022-04-26 0:00:00,7.79,2
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,16.36,3
2022-04-26 10:00:00,135.72,21
2022-04-26 11:00:00,375.04,52
2022-04-26 12:00:00,556.55,83
2022-04-26 13:00:00,520.08,88
2022-04-26 14:00:00,505.1,68
2022-04-26 15:00:00,307.43,54
2022-04-26 16:00:00,500.71,71
2022-04-26 17:00:00,596.08,79
2022-04-26 18:00:00,850.01,110
2022-04-26 19:00:00,811.24,87
2022-04-26 20:00:00,1012.67,109
2022-04-26 21:00:00,518.35,61
2022-04-26 22:00:00,548.19,71
2022-04-26 23:00:00,128.05,21
2022-04-27 0:00:00,0,1
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,21.15,2
2022-04-27 10:00:00,175.43,25
2022-04-27 11:00:00,296.79,50
2022-04-27 12:00:00,640.87,85
2022-04-27 13:00:00,617.36,101
2022-04-27 14:00:00,365.97,55
2022-04-27 15:00:00,340.94,47
2022-04-27 16:00:00,258.32,49
2022-04-27 17:00:00,553.62,76
2022-04-27 18:00:00,557.49,70
2022-04-27 19:00:00,556.22,67
2022-04-27 20:00:00,674.25,77
2022-04-27 21:00:00,450.6,51
2022-04-27 22:00:00,478.61,56
2022-04-27 23:00:00,286.79,26
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,46.61,4
2022-04-28 10:00:00,162.21,22
2022-04-28 11:00:00,342.04,44
2022-04-28 12:00:00,577.14,74
2022-04-28 13:00:00,699.56,91
2022-04-28 14:00:00,340.73,48
2022-04-28 15:00:00,344.98,65
2022-04-28 16:00:00,432.7,71
2022-04-28 17:00:00,453.84,61
2022-04-28 18:00:00,522.68,63
2022-04-28 19:00:00,681.81,70
2022-04-28 20:00:00,990.83,88
2022-04-28 21:00:00,515.8,52
2022-04-28 22:00:00,536.86,60
2022-04-28 23:00:00,188.25,28
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,17.27,3
2022-04-29 10:00:00,245.86,35
2022-04-29 11:00:00,360.86,42
2022-04-29 12:00:00,683.91,89
2022-04-29 13:00:00,653.03,83
2022-04-29 14:00:00,439.57,64
2022-04-29 15:00:00,505.59,66
2022-04-29 16:00:00,536.18,64
2022-04-29 17:00:00,613.83,86
2022-04-29 18:00:00,781.29,88
2022-04-29 19:00:00,682.05,66
2022-04-29 20:00:00,1050.25,93
2022-04-29 21:00:00,607.58,75
2022-04-29 22:00:00,573.3,70
2022-04-29 23:00:00,269.3,34
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,167.59,8
2022-04-30 10:00:00,174.06,20
2022-04-30 11:00:00,440.78,55
2022-04-30 12:00:00,677.46,63
2022-04-30 13:00:00,740.29,83
2022-04-30 14:00:00,914.43,99
2022-04-30 15:00:00,752.66,91
2022-04-30 16:00:00,797.32,80
2022-04-30 17:00:00,776.74,82
2022-04-30 18:00:00,839.75,84
2022-04-30 19:00:00,865.68,94
2022-04-30 20:00:00,987.49,87
2022-04-30 21:00:00,705.79,80
2022-04-30 22:00:00,559.59,70
2022-04-30 23:00:00,496.41,52
2022-05-01 0:00:00,18.15,5
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,44.91,5
2022-05-01 10:00:00,185.82,24
2022-05-01 11:00:00,302.39,26
2022-05-01 12:00:00,686.85,74
2022-05-01 13:00:00,919.12,93
2022-05-01 14:00:00,850.54,88
2022-05-01 15:00:00,436.69,60
2022-05-01 16:00:00,762.08,96
