Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,11.66,3
2022-04-25 11:00:00,92.46,17
2022-04-25 12:00:00,144.51,26
2022-04-25 13:00:00,183.21,34
2022-04-25 14:00:00,133.76,25
2022-04-25 15:00:00,88.07,15
2022-04-25 16:00:00,82.58,15
2022-04-25 17:00:00,70.94,15
2022-04-25 18:00:00,157.24,21
2022-04-25 19:00:00,173.49,23
2022-04-25 20:00:00,237.12,25
2022-04-25 21:00:00,153.3,24
2022-04-25 22:00:00,160.35,22
2022-04-25 23:00:00,220.47,19
2022-04-26 0:00:00,18.73,2
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,25.71,5
2022-04-26 11:00:00,76.79,14
2022-04-26 12:00:00,280.12,38
2022-04-26 13:00:00,242.85,41
2022-04-26 14:00:00,182.92,33
2022-04-26 15:00:00,90.66,16
2022-04-26 16:00:00,183.54,31
2022-04-26 17:00:00,248.76,25
2022-04-26 18:00:00,207.55,23
2022-04-26 19:00:00,209.29,25
2022-04-26 20:00:00,216.62,27
2022-04-26 21:00:00,146.03,19
2022-04-26 22:00:00,206.53,26
2022-04-26 23:00:00,252.57,27
2022-04-27 0:00:00,100.93,8
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,40.09,8
2022-04-27 11:00:00,75.84,10
2022-04-27 12:00:00,131.38,22
2022-04-27 13:00:00,80.86,15
2022-04-27 14:00:00,208.21,22
2022-04-27 15:00:00,204.63,33
2022-04-27 16:00:00,105.6,25
2022-04-27 17:00:00,267.88,36
2022-04-27 18:00:00,302.7,43
2022-04-27 19:00:00,200.95,25
2022-04-27 20:00:00,238.13,35
2022-04-27 21:00:00,252.81,29
2022-04-27 22:00:00,211.81,25
2022-04-27 23:00:00,376.03,37
2022-04-28 0:00:00,288.23,22
2022-04-28 1:00:00,219.13,21
2022-04-28 2:00:00,50.68,5
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,30.27,7
2022-04-28 11:00:00,117.64,19
2022-04-28 12:00:00,254.31,39
2022-04-28 13:00:00,245.18,42
2022-04-28 14:00:00,165.98,23
2022-04-28 15:00:00,148.8,25
2022-04-28 16:00:00,192.17,26
2022-04-28 17:00:00,194.49,27
2022-04-28 18:00:00,189.67,25
2022-04-28 19:00:00,279.12,30
2022-04-28 20:00:00,242.87,25
2022-04-28 21:00:00,192.49,22
2022-04-28 22:00:00,221.17,24
2022-04-28 23:00:00,268.51,23
2022-04-29 0:00:00,317.85,34
2022-04-29 1:00:00,309.81,35
2022-04-29 2:00:00,304.37,34
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,111.97,12
2022-04-29 11:00:00,118.51,15
2022-04-29 12:00:00,224.96,38
2022-04-29 13:00:00,208.06,26
2022-04-29 14:00:00,226.45,37
2022-04-29 15:00:00,180.21,28
2022-04-29 16:00:00,299.42,44
2022-04-29 17:00:00,249.24,36
2022-04-29 18:00:00,377.88,37
2022-04-29 19:00:00,460.33,47
2022-04-29 20:00:00,337.22,36
2022-04-29 21:00:00,260.33,33
2022-04-29 22:00:00,269.08,40
2022-04-29 23:00:00,432.92,48
2022-04-30 0:00:00,340.19,49
2022-04-30 1:00:00,318.69,44
2022-04-30 2:00:00,238.63,38
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,64.39,8
2022-04-30 11:00:00,232.96,25
2022-04-30 12:00:00,229.14,32
2022-04-30 13:00:00,305.12,45
2022-04-30 14:00:00,459.17,66
2022-04-30 15:00:00,498.01,63
2022-04-30 16:00:00,435.38,56
2022-04-30 17:00:00,479.16,64
2022-04-30 18:00:00,324.68,44
2022-04-30 19:00:00,525.28,56
2022-04-30 20:00:00,342.61,52
2022-04-30 21:00:00,308.71,41
2022-04-30 22:00:00,458.78,60
2022-04-30 23:00:00,473.8,52
2022-05-01 0:00:00,235.43,16
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,47.42,3
2022-05-01 11:00:00,127.16,15
2022-05-01 12:00:00,180.71,17
2022-05-01 13:00:00,279.71,35
2022-05-01 14:00:00,286.31,38
2022-05-01 15:00:00,197.47,26
