Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,42.57,4
2022-04-25 11:00:00,90.75,10
2022-04-25 12:00:00,272.03,27
2022-04-25 13:00:00,282.59,32
2022-04-25 14:00:00,236.49,27
2022-04-25 15:00:00,220.16,23
2022-04-25 16:00:00,176.16,15
2022-04-25 17:00:00,398.95,31
2022-04-25 18:00:00,538.44,44
2022-04-25 19:00:00,447.64,34
2022-04-25 20:00:00,294.82,31
2022-04-25 21:00:00,319.68,25
2022-04-25 22:00:00,87.81,9
2022-04-25 23:00:00,-21.25,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,181.2,15
2022-04-26 12:00:00,160.31,20
2022-04-26 13:00:00,316.52,34
2022-04-26 14:00:00,231.11,24
2022-04-26 15:00:00,124.05,16
2022-04-26 16:00:00,269.22,28
2022-04-26 17:00:00,363.34,38
2022-04-26 18:00:00,364.81,36
2022-04-26 19:00:00,417.83,80
2022-04-26 20:00:00,389.13,34
2022-04-26 21:00:00,220.84,24
2022-04-26 22:00:00,108.03,10
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,16.35,2
2022-04-27 11:00:00,127.7,14
2022-04-27 12:00:00,309.86,27
2022-04-27 13:00:00,181.32,23
2022-04-27 14:00:00,181.32,24
2022-04-27 15:00:00,222.68,19
2022-04-27 16:00:00,286.45,23
2022-04-27 17:00:00,549.9,46
2022-04-27 18:00:00,428.18,43
2022-04-27 19:00:00,470.39,35
2022-04-27 20:00:00,301.78,27
2022-04-27 21:00:00,172.22,16
2022-04-27 22:00:00,2.01,1
2022-04-27 23:00:00,-31.89,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,6.64,1
2022-04-28 11:00:00,120.1,16
2022-04-28 12:00:00,334.81,41
2022-04-28 13:00:00,322.64,40
2022-04-28 14:00:00,107.92,14
2022-04-28 15:00:00,166.03,17
2022-04-28 16:00:00,269.71,21
2022-04-28 17:00:00,320.41,30
2022-04-28 18:00:00,403.34,37
2022-04-28 19:00:00,501.45,38
2022-04-28 20:00:00,341.67,26
2022-04-28 21:00:00,135.09,19
2022-04-28 22:00:00,288.89,31
2022-04-28 23:00:00,31.29,3
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,76.18,8
2022-04-29 11:00:00,164.99,20
2022-04-29 12:00:00,403.18,48
2022-04-29 13:00:00,522.07,57
2022-04-29 14:00:00,355.06,38
2022-04-29 15:00:00,244.08,43
2022-04-29 16:00:00,282.39,33
2022-04-29 17:00:00,677.24,54
2022-04-29 18:00:00,811.56,59
2022-04-29 19:00:00,795.87,67
2022-04-29 20:00:00,590.01,44
2022-04-29 21:00:00,363.36,29
2022-04-29 22:00:00,18.26,2
2022-04-29 23:00:00,-46.63,1
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,99.69,6
2022-04-30 11:00:00,261.9,26
2022-04-30 12:00:00,422.14,39
2022-04-30 13:00:00,532.9,48
2022-04-30 14:00:00,468.51,41
2022-04-30 15:00:00,265.33,25
2022-04-30 16:00:00,488.25,41
2022-04-30 17:00:00,762.74,54
2022-04-30 18:00:00,469.66,45
2022-04-30 19:00:00,602.24,45
2022-04-30 20:00:00,409.8,39
2022-04-30 21:00:00,207.65,16
2022-04-30 22:00:00,-7.98,3
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,27.61,3
2022-05-01 11:00:00,249.9,23
2022-05-01 12:00:00,477.96,41
2022-05-01 13:00:00,647.51,50
2022-05-01 14:00:00,662.13,52
2022-05-01 15:00:00,504.51,44
2022-05-01 16:00:00,481.93,45
2022-05-01 17:00:00,466.41,35
