Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,78.36,9
2022-04-25 11:00:00,174.6,20
2022-04-25 12:00:00,268.03,46
2022-04-25 13:00:00,241.69,38
2022-04-25 14:00:00,247.12,35
2022-04-25 15:00:00,214.85,30
2022-04-25 16:00:00,337.77,46
2022-04-25 17:00:00,263.8,38
2022-04-25 18:00:00,384.17,34
2022-04-25 19:00:00,421.36,46
2022-04-25 20:00:00,280.18,32
2022-04-25 21:00:00,269.88,34
2022-04-25 22:00:00,261.63,26
2022-04-25 23:00:00,237.31,30
2022-04-26 0:00:00,269.59,29
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,51.34,9
2022-04-26 11:00:00,161.55,22
2022-04-26 12:00:00,289.69,44
2022-04-26 13:00:00,330.21,44
2022-04-26 14:00:00,185.23,33
2022-04-26 15:00:00,158.75,35
2022-04-26 16:00:00,278.56,35
2022-04-26 17:00:00,316.36,39
2022-04-26 18:00:00,459.8,45
2022-04-26 19:00:00,567.63,47
2022-04-26 20:00:00,485.34,48
2022-04-26 21:00:00,194.32,22
2022-04-26 22:00:00,198.73,31
2022-04-26 23:00:00,324.46,39
2022-04-27 0:00:00,244.98,30
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,94.55,14
2022-04-27 11:00:00,190.51,27
2022-04-27 12:00:00,230.75,37
2022-04-27 13:00:00,252.68,41
2022-04-27 14:00:00,215.7,27
2022-04-27 15:00:00,219.57,35
2022-04-27 16:00:00,246.68,35
2022-04-27 17:00:00,304.17,33
2022-04-27 18:00:00,263.39,36
2022-04-27 19:00:00,524.96,69
2022-04-27 20:00:00,482.65,55
2022-04-27 21:00:00,253.09,32
2022-04-27 22:00:00,211.12,26
2022-04-27 23:00:00,246.13,33
2022-04-28 0:00:00,430.2,48
2022-04-28 1:00:00,383.23,44
2022-04-28 2:00:00,576.28,53
2022-04-28 3:00:00,84.43,15
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,117.01,14
2022-04-28 11:00:00,123.87,19
2022-04-28 12:00:00,215.73,31
2022-04-28 13:00:00,249.65,49
2022-04-28 14:00:00,189.56,34
2022-04-28 15:00:00,185.75,26
2022-04-28 16:00:00,260.63,39
2022-04-28 17:00:00,288.09,47
2022-04-28 18:00:00,329.76,43
2022-04-28 19:00:00,514.32,56
2022-04-28 20:00:00,436.83,38
2022-04-28 21:00:00,320.35,27
2022-04-28 22:00:00,330.52,40
2022-04-28 23:00:00,626.03,66
2022-04-29 0:00:00,492.35,53
2022-04-29 1:00:00,623.02,72
2022-04-29 2:00:00,595.34,61
2022-04-29 3:00:00,354.12,37
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,121.77,18
2022-04-29 11:00:00,302.12,35
2022-04-29 12:00:00,388.23,54
2022-04-29 13:00:00,351.36,50
2022-04-29 14:00:00,256.4,42
2022-04-29 15:00:00,273.99,39
2022-04-29 16:00:00,293.27,43
2022-04-29 17:00:00,451.14,53
2022-04-29 18:00:00,572.54,46
2022-04-29 19:00:00,811.94,66
2022-04-29 20:00:00,430.16,41
2022-04-29 21:00:00,388.92,42
2022-04-29 22:00:00,356.11,42
2022-04-29 23:00:00,486.68,62
2022-04-30 0:00:00,832.83,67
2022-04-30 1:00:00,539.64,52
2022-04-30 2:00:00,410.96,52
2022-04-30 3:00:00,339.33,41
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,80.67,9
2022-04-30 11:00:00,262.12,27
2022-04-30 12:00:00,403.9,39
2022-04-30 13:00:00,388.24,41
2022-04-30 14:00:00,179.84,23
2022-04-30 15:00:00,244.44,31
2022-04-30 16:00:00,389.78,41
2022-04-30 17:00:00,372.33,39
2022-04-30 18:00:00,752.35,44
2022-04-30 19:00:00,610.43,56
2022-04-30 20:00:00,497.08,50
2022-04-30 21:00:00,521.54,46
2022-04-30 22:00:00,579.5,50
2022-04-30 23:00:00,645.09,62
2022-05-01 0:00:00,479.61,54
2022-05-01 1:00:00,332.64,47
2022-05-01 2:00:00,-4.99,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,263.2,19
2022-05-01 11:00:00,211.96,21
2022-05-01 12:00:00,495.08,42
2022-05-01 13:00:00,286.25,29
2022-05-01 14:00:00,379.55,39
2022-05-01 15:00:00,418.54,35
