Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,21.13,7
2022-04-25 11:00:00,111.42,17
2022-04-25 12:00:00,498.91,61
2022-04-25 13:00:00,299.47,42
2022-04-25 14:00:00,147.51,28
2022-04-25 15:00:00,155.97,24
2022-04-25 16:00:00,239.93,29
2022-04-25 17:00:00,357.73,41
2022-04-25 18:00:00,514.26,41
2022-04-25 19:00:00,249.29,23
2022-04-25 20:00:00,269.39,29
2022-04-25 21:00:00,179.22,20
2022-04-25 22:00:00,76.86,9
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,49.85,12
2022-04-26 11:00:00,193.32,22
2022-04-26 12:00:00,437.93,60
2022-04-26 13:00:00,241.56,29
2022-04-26 14:00:00,179.53,30
2022-04-26 15:00:00,194.11,24
2022-04-26 16:00:00,206.79,25
2022-04-26 17:00:00,379.14,40
2022-04-26 18:00:00,478.22,44
2022-04-26 19:00:00,386.19,41
2022-04-26 20:00:00,232.52,25
2022-04-26 21:00:00,194.3,18
2022-04-26 22:00:00,48.85,5
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,56.65,13
2022-04-27 11:00:00,249.42,32
2022-04-27 12:00:00,456.48,73
2022-04-27 13:00:00,349.25,47
2022-04-27 14:00:00,147.06,27
2022-04-27 15:00:00,199.92,24
2022-04-27 16:00:00,242.69,29
2022-04-27 17:00:00,563.58,41
2022-04-27 18:00:00,513.62,41
2022-04-27 19:00:00,384.29,36
2022-04-27 20:00:00,388.72,33
2022-04-27 21:00:00,84.73,11
2022-04-27 22:00:00,69.47,9
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,25.97,10
2022-04-28 11:00:00,163.79,21
2022-04-28 12:00:00,437.13,63
2022-04-28 13:00:00,266.07,35
2022-04-28 14:00:00,296.12,43
2022-04-28 15:00:00,256.78,27
2022-04-28 16:00:00,376.62,37
2022-04-28 17:00:00,514.68,48
2022-04-28 18:00:00,664.4,57
2022-04-28 19:00:00,515.16,38
2022-04-28 20:00:00,330.46,31
2022-04-28 21:00:00,230.54,23
2022-04-28 22:00:00,43.5,7
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,57.11,6
2022-04-29 11:00:00,274.78,23
2022-04-29 12:00:00,724.86,78
2022-04-29 13:00:00,353.53,38
2022-04-29 14:00:00,262.06,33
2022-04-29 15:00:00,276.6,31
2022-04-29 16:00:00,404.38,43
2022-04-29 17:00:00,912.06,61
2022-04-29 18:00:00,886.39,76
2022-04-29 19:00:00,872.27,69
2022-04-29 20:00:00,621.63,47
2022-04-29 21:00:00,251.98,25
2022-04-29 22:00:00,26.19,2
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,44.88,5
2022-04-30 11:00:00,155.77,14
2022-04-30 12:00:00,390.39,32
2022-04-30 13:00:00,378.78,40
2022-04-30 14:00:00,407.3,43
2022-04-30 15:00:00,361.24,37
2022-04-30 16:00:00,411.13,33
2022-04-30 17:00:00,568.7,40
2022-04-30 18:00:00,615.4,44
2022-04-30 19:00:00,526.17,37
2022-04-30 20:00:00,337.58,34
2022-04-30 21:00:00,254.43,24
2022-04-30 22:00:00,174.29,13
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,33.22,5
2022-05-01 11:00:00,182.22,14
2022-05-01 12:00:00,607.73,56
2022-05-01 13:00:00,438.72,33
2022-05-01 14:00:00,405.7,37
2022-05-01 15:00:00,354.79,25
2022-05-01 16:00:00,388.04,40
2022-05-01 17:00:00,426.13,38
