Time,Sale,Guest
2022-04-25 6:00:00,0,1
2022-04-25 7:00:00,35.86,8
2022-04-25 8:00:00,73.63,15
2022-04-25 9:00:00,166.5,24
2022-04-25 10:00:00,313.29,45
2022-04-25 11:00:00,361.15,46
2022-04-25 12:00:00,619.05,71
2022-04-25 13:00:00,555.71,59
2022-04-25 14:00:00,534.34,74
2022-04-25 15:00:00,413.2,49
2022-04-25 16:00:00,348.37,44
2022-04-25 17:00:00,528.98,59
2022-04-25 18:00:00,707.09,74
2022-04-25 19:00:00,566.28,61
2022-04-25 20:00:00,432.61,47
2022-04-25 21:00:00,327.06,35
2022-04-25 22:00:00,306.31,32
2022-04-25 23:00:00,227.05,27
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,29.23,7
2022-04-26 8:00:00,79.89,17
2022-04-26 9:00:00,86.82,14
2022-04-26 10:00:00,242.02,35
2022-04-26 11:00:00,391.36,49
2022-04-26 12:00:00,478.92,56
2022-04-26 13:00:00,527.72,60
2022-04-26 14:00:00,437.56,53
2022-04-26 15:00:00,352.74,44
2022-04-26 16:00:00,272.11,37
2022-04-26 17:00:00,574.37,50
2022-04-26 18:00:00,789.2,55
2022-04-26 19:00:00,746.94,71
2022-04-26 20:00:00,432.15,48
2022-04-26 21:00:00,269.77,29
2022-04-26 22:00:00,343.69,38
2022-04-26 23:00:00,158.49,18
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,35.14,5
2022-04-27 8:00:00,114.27,20
2022-04-27 9:00:00,141.46,23
2022-04-27 10:00:00,196.79,27
2022-04-27 11:00:00,399.45,53
2022-04-27 12:00:00,498.62,65
2022-04-27 13:00:00,740.07,85
2022-04-27 14:00:00,414.62,49
2022-04-27 15:00:00,380.54,48
2022-04-27 16:00:00,461.67,56
2022-04-27 17:00:00,593.83,56
2022-04-27 18:00:00,595.11,60
2022-04-27 19:00:00,536.73,48
2022-04-27 20:00:00,450.48,41
2022-04-27 21:00:00,304.58,35
2022-04-27 22:00:00,363.96,36
2022-04-27 23:00:00,165.37,22
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,56.45,6
2022-04-28 8:00:00,70.56,14
2022-04-28 9:00:00,88.51,16
2022-04-28 10:00:00,241.13,29
2022-04-28 11:00:00,430.99,53
2022-04-28 12:00:00,577.29,65
2022-04-28 13:00:00,564.61,64
2022-04-28 14:00:00,474.88,59
2022-04-28 15:00:00,387.39,42
2022-04-28 16:00:00,436.19,53
2022-04-28 17:00:00,492.9,54
2022-04-28 18:00:00,851.77,81
2022-04-28 19:00:00,768.91,70
2022-04-28 20:00:00,685.91,61
2022-04-28 21:00:00,355.41,37
2022-04-28 22:00:00,372.47,23
2022-04-28 23:00:00,136.76,17
2022-04-29 0:00:00,213.84,28
2022-04-29 1:00:00,19.29,3
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,35.28,6
2022-04-29 8:00:00,114.61,18
2022-04-29 9:00:00,111.54,19
2022-04-29 10:00:00,344.39,45
2022-04-29 11:00:00,452.18,60
2022-04-29 12:00:00,862.72,74
2022-04-29 13:00:00,901.66,93
2022-04-29 14:00:00,674.33,71
2022-04-29 15:00:00,627.18,64
2022-04-29 16:00:00,458.06,51
2022-04-29 17:00:00,579.46,57
2022-04-29 18:00:00,883.04,55
2022-04-29 19:00:00,952.36,69
2022-04-29 20:00:00,565.08,47
2022-04-29 21:00:00,355.72,40
2022-04-29 22:00:00,390.08,38
2022-04-29 23:00:00,167,20
2022-04-30 0:00:00,176.71,25
2022-04-30 1:00:00,14.14,2
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,56.35,9
2022-04-30 8:00:00,173.92,22
2022-04-30 9:00:00,506.9,65
2022-04-30 10:00:00,376.59,46
2022-04-30 11:00:00,609.87,68
2022-04-30 12:00:00,668.46,66
2022-04-30 13:00:00,800.18,65
2022-04-30 14:00:00,769.93,78
2022-04-30 15:00:00,785.11,79
2022-04-30 16:00:00,699.76,73
2022-04-30 17:00:00,805.3,75
2022-04-30 18:00:00,1033.02,104
2022-04-30 19:00:00,1126.57,92
2022-04-30 20:00:00,788.38,73
2022-04-30 21:00:00,404.95,43
2022-04-30 22:00:00,496.61,57
2022-04-30 23:00:00,304.1,44
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0.4,1
2022-05-01 8:00:00,87.99,11
2022-05-01 9:00:00,424.09,47
2022-05-01 10:00:00,372.83,41
2022-05-01 11:00:00,484.09,62
2022-05-01 12:00:00,736.13,80
