Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,65.94,5
2022-04-25 11:00:00,109.76,16
2022-04-25 12:00:00,459.27,56
2022-04-25 13:00:00,383.75,45
2022-04-25 14:00:00,244.68,37
2022-04-25 15:00:00,184.8,25
2022-04-25 16:00:00,525.93,50
2022-04-25 17:00:00,683.41,56
2022-04-25 18:00:00,702.94,60
2022-04-25 19:00:00,504.62,47
2022-04-25 20:00:00,480.99,47
2022-04-25 21:00:00,168.47,17
2022-04-25 22:00:00,85.22,7
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,59.92,9
2022-04-26 11:00:00,218.78,23
2022-04-26 12:00:00,475.62,57
2022-04-26 13:00:00,407.02,54
2022-04-26 14:00:00,225.93,36
2022-04-26 15:00:00,285.74,29
2022-04-26 16:00:00,472.93,57
2022-04-26 17:00:00,662.12,62
2022-04-26 18:00:00,657.34,63
2022-04-26 19:00:00,850.34,67
2022-04-26 20:00:00,552.08,50
2022-04-26 21:00:00,374.36,35
2022-04-26 22:00:00,180.4,21
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,105.58,9
2022-04-27 11:00:00,228.16,32
2022-04-27 12:00:00,430.79,54
2022-04-27 13:00:00,338.53,38
2022-04-27 14:00:00,226.75,35
2022-04-27 15:00:00,479.15,47
2022-04-27 16:00:00,518.3,49
2022-04-27 17:00:00,718.12,65
2022-04-27 18:00:00,1041.66,74
2022-04-27 19:00:00,939.92,70
2022-04-27 20:00:00,441.56,47
2022-04-27 21:00:00,454.29,46
2022-04-27 22:00:00,258.98,25
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,36.01,6
2022-04-28 11:00:00,326.88,38
2022-04-28 12:00:00,534.65,70
2022-04-28 13:00:00,331.62,44
2022-04-28 14:00:00,261.95,34
2022-04-28 15:00:00,282.96,37
2022-04-28 16:00:00,656.69,59
2022-04-28 17:00:00,754.93,63
2022-04-28 18:00:00,1170.02,83
2022-04-28 19:00:00,1029.76,81
2022-04-28 20:00:00,772.6,62
2022-04-28 21:00:00,453.46,42
2022-04-28 22:00:00,102.98,20
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,158.22,13
2022-04-29 11:00:00,264.73,26
2022-04-29 12:00:00,708.48,75
2022-04-29 13:00:00,539.79,71
2022-04-29 14:00:00,445.67,44
2022-04-29 15:00:00,587.44,58
2022-04-29 16:00:00,942.74,80
2022-04-29 17:00:00,1097.42,80
2022-04-29 18:00:00,1583.16,106
2022-04-29 19:00:00,1198.08,89
2022-04-29 20:00:00,866.58,70
2022-04-29 21:00:00,498.58,46
2022-04-29 22:00:00,244.25,25
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,178.24,17
2022-04-30 11:00:00,229.74,23
2022-04-30 12:00:00,483.16,46
2022-04-30 13:00:00,795.05,67
2022-04-30 14:00:00,448.81,52
2022-04-30 15:00:00,468.55,51
2022-04-30 16:00:00,870.41,69
2022-04-30 17:00:00,1190.75,89
2022-04-30 18:00:00,1118.33,90
2022-04-30 19:00:00,906.09,68
2022-04-30 20:00:00,934.25,71
2022-04-30 21:00:00,410.26,37
2022-04-30 22:00:00,260.56,23
2022-04-30 23:00:00,-41.87,3
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,1
2022-05-01 10:00:00,65.63,7
2022-05-01 11:00:00,288.27,30
2022-05-01 12:00:00,541.7,49
2022-05-01 13:00:00,726.92,57
2022-05-01 14:00:00,581.55,53
2022-05-01 15:00:00,504.52,47
2022-05-01 16:00:00,857.16,69
2022-05-01 17:00:00,788.17,62
