Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,5.95,7
2022-04-25 11:00:00,87.54,15
2022-04-25 12:00:00,124.65,20
2022-04-25 13:00:00,131.28,18
2022-04-25 14:00:00,115.69,21
2022-04-25 15:00:00,252.84,31
2022-04-25 16:00:00,173.69,26
2022-04-25 17:00:00,130.58,19
2022-04-25 18:00:00,250.23,36
2022-04-25 19:00:00,540.59,46
2022-04-25 20:00:00,189.73,20
2022-04-25 21:00:00,199.91,19
2022-04-25 22:00:00,121.15,15
2022-04-25 23:00:00,168.96,17
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,1
2022-04-26 11:00:00,87.9,11
2022-04-26 12:00:00,160.93,24
2022-04-26 13:00:00,258.5,42
2022-04-26 14:00:00,101.43,21
2022-04-26 15:00:00,175.17,30
2022-04-26 16:00:00,249.58,34
2022-04-26 17:00:00,267.59,34
2022-04-26 18:00:00,263.55,40
2022-04-26 19:00:00,333.73,40
2022-04-26 20:00:00,337.36,39
2022-04-26 21:00:00,167.4,19
2022-04-26 22:00:00,217.93,27
2022-04-26 23:00:00,189.97,22
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,22.65,4
2022-04-27 11:00:00,118.33,15
2022-04-27 12:00:00,192.53,28
2022-04-27 13:00:00,159.78,23
2022-04-27 14:00:00,221.32,31
2022-04-27 15:00:00,291.32,40
2022-04-27 16:00:00,119.93,28
2022-04-27 17:00:00,178.42,26
2022-04-27 18:00:00,344.1,39
2022-04-27 19:00:00,326.1,38
2022-04-27 20:00:00,358.01,37
2022-04-27 21:00:00,178.73,17
2022-04-27 22:00:00,229.44,21
2022-04-27 23:00:00,74.58,12
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,4.73,2
2022-04-28 11:00:00,71.18,13
2022-04-28 12:00:00,198.72,21
2022-04-28 13:00:00,210.93,32
2022-04-28 14:00:00,91.97,19
2022-04-28 15:00:00,118.11,19
2022-04-28 16:00:00,134.95,24
2022-04-28 17:00:00,183.03,31
2022-04-28 18:00:00,401.39,35
2022-04-28 19:00:00,347.48,40
2022-04-28 20:00:00,442.62,44
2022-04-28 21:00:00,199.16,28
2022-04-28 22:00:00,287.24,33
2022-04-28 23:00:00,219.87,23
2022-04-29 0:00:00,111.78,16
2022-04-29 1:00:00,33.99,7
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,10.37,2
2022-04-29 11:00:00,216.62,26
2022-04-29 12:00:00,234.8,24
2022-04-29 13:00:00,234.24,36
2022-04-29 14:00:00,216.41,31
2022-04-29 15:00:00,171,32
2022-04-29 16:00:00,187.25,26
2022-04-29 17:00:00,265.56,37
2022-04-29 18:00:00,315.85,43
2022-04-29 19:00:00,487.57,56
2022-04-29 20:00:00,550.28,49
2022-04-29 21:00:00,286.76,32
2022-04-29 22:00:00,205.28,18
2022-04-29 23:00:00,380.06,39
2022-04-30 0:00:00,42.34,7
2022-04-30 1:00:00,58.63,10
2022-04-30 2:00:00,1.07,1
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,3
2022-04-30 11:00:00,87.78,13
2022-04-30 12:00:00,184.68,29
2022-04-30 13:00:00,146.98,20
2022-04-30 14:00:00,276.81,35
2022-04-30 15:00:00,310.48,29
2022-04-30 16:00:00,161.82,20
2022-04-30 17:00:00,229.05,33
2022-04-30 18:00:00,296.17,32
2022-04-30 19:00:00,447.72,38
2022-04-30 20:00:00,380.47,40
2022-04-30 21:00:00,270.26,28
2022-04-30 22:00:00,230.07,24
2022-04-30 23:00:00,203.11,21
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,161.23,16
2022-05-01 12:00:00,131.73,16
2022-05-01 13:00:00,219.64,24
2022-05-01 14:00:00,264.9,31
2022-05-01 15:00:00,270.32,30
2022-05-01 16:00:00,186.08,21
2022-05-01 17:00:00,308.91,34
