Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,47.05,5
2022-04-25 11:00:00,99.95,12
2022-04-25 12:00:00,306.02,39
2022-04-25 13:00:00,249.98,31
2022-04-25 14:00:00,224.95,24
2022-04-25 15:00:00,142.28,16
2022-04-25 16:00:00,125.38,17
2022-04-25 17:00:00,364.27,33
2022-04-25 18:00:00,392.92,33
2022-04-25 19:00:00,210.84,25
2022-04-25 20:00:00,139.46,14
2022-04-25 21:00:00,114.38,10
2022-04-25 22:00:00,14.64,2
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,26.29,4
2022-04-26 11:00:00,111.49,12
2022-04-26 12:00:00,127.78,18
2022-04-26 13:00:00,177.39,28
2022-04-26 14:00:00,71.09,10
2022-04-26 15:00:00,190.1,21
2022-04-26 16:00:00,166.12,21
2022-04-26 17:00:00,257.06,25
2022-04-26 18:00:00,332.26,33
2022-04-26 19:00:00,383.93,33
2022-04-26 20:00:00,319.13,32
2022-04-26 21:00:00,124.85,26
2022-04-26 22:00:00,90,12
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,1.29,0
2022-04-27 11:00:00,82.76,10
2022-04-27 12:00:00,163.84,22
2022-04-27 13:00:00,196.18,31
2022-04-27 14:00:00,147.72,21
2022-04-27 15:00:00,76.92,13
2022-04-27 16:00:00,267.39,22
2022-04-27 17:00:00,270.95,27
2022-04-27 18:00:00,282.41,31
2022-04-27 19:00:00,387.92,34
2022-04-27 20:00:00,204.95,22
2022-04-27 21:00:00,169.77,15
2022-04-27 22:00:00,46.05,4
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,29.29,2
2022-04-28 11:00:00,58.32,7
2022-04-28 12:00:00,223.02,26
2022-04-28 13:00:00,113.16,16
2022-04-28 14:00:00,225.53,29
2022-04-28 15:00:00,98.28,16
2022-04-28 16:00:00,215.32,20
2022-04-28 17:00:00,337.48,31
2022-04-28 18:00:00,381.19,36
2022-04-28 19:00:00,355.61,32
2022-04-28 20:00:00,331.26,26
2022-04-28 21:00:00,163.26,14
2022-04-28 22:00:00,-48.5,8
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,20.84,2
2022-04-29 11:00:00,118.66,13
2022-04-29 12:00:00,215.07,27
2022-04-29 13:00:00,313.6,34
2022-04-29 14:00:00,229.14,35
2022-04-29 15:00:00,219.6,27
2022-04-29 16:00:00,299.43,25
2022-04-29 17:00:00,446.83,38
2022-04-29 18:00:00,452.93,41
2022-04-29 19:00:00,573.82,36
2022-04-29 20:00:00,375.08,33
2022-04-29 21:00:00,263.23,26
2022-04-29 22:00:00,58.56,7
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,29.06,5
2022-04-30 11:00:00,60.65,7
2022-04-30 12:00:00,253.45,22
2022-04-30 13:00:00,308.28,34
2022-04-30 14:00:00,273.6,32
2022-04-30 15:00:00,140.43,22
2022-04-30 16:00:00,274.81,25
2022-04-30 17:00:00,335.76,27
2022-04-30 18:00:00,433.94,38
2022-04-30 19:00:00,447.75,38
2022-04-30 20:00:00,274.09,25
2022-04-30 21:00:00,176.98,18
2022-04-30 22:00:00,17.09,2
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,22.66,2
2022-05-01 11:00:00,25.16,6
2022-05-01 12:00:00,414.19,32
2022-05-01 13:00:00,336.84,30
2022-05-01 14:00:00,365.58,33
2022-05-01 15:00:00,363.03,42
2022-05-01 16:00:00,401.78,31
2022-05-01 17:00:00,274.87,27
