Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,15.78,4
2022-04-25 11:00:00,78.92,10
2022-04-25 12:00:00,223.71,34
2022-04-25 13:00:00,232.51,41
2022-04-25 14:00:00,250,29
2022-04-25 15:00:00,146,28
2022-04-25 16:00:00,276.62,40
2022-04-25 17:00:00,285.96,39
2022-04-25 18:00:00,353.54,48
2022-04-25 19:00:00,198.9,37
2022-04-25 20:00:00,173.73,24
2022-04-25 21:00:00,142.57,24
2022-04-25 22:00:00,124.56,24
2022-04-25 23:00:00,232.68,27
2022-04-26 0:00:00,-7.73,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,32.9,5
2022-04-26 11:00:00,123.33,21
2022-04-26 12:00:00,177.45,34
2022-04-26 13:00:00,219.25,37
2022-04-26 14:00:00,145.72,27
2022-04-26 15:00:00,160.82,27
2022-04-26 16:00:00,287.2,43
2022-04-26 17:00:00,276.57,42
2022-04-26 18:00:00,332.78,43
2022-04-26 19:00:00,338.1,41
2022-04-26 20:00:00,259.75,29
2022-04-26 21:00:00,172.73,28
2022-04-26 22:00:00,205.67,26
2022-04-26 23:00:00,155.69,16
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,24.08,6
2022-04-27 11:00:00,112.84,21
2022-04-27 12:00:00,207.93,29
2022-04-27 13:00:00,228.49,41
2022-04-27 14:00:00,142.24,33
2022-04-27 15:00:00,296.33,39
2022-04-27 16:00:00,173.9,39
2022-04-27 17:00:00,250.42,38
2022-04-27 18:00:00,279.63,37
2022-04-27 19:00:00,179.51,29
2022-04-27 20:00:00,240.34,32
2022-04-27 21:00:00,177.05,22
2022-04-27 22:00:00,215.68,30
2022-04-27 23:00:00,189.74,21
2022-04-28 0:00:00,-5.39,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,46.59,5
2022-04-28 11:00:00,102.08,17
2022-04-28 12:00:00,138.97,29
2022-04-28 13:00:00,293.77,44
2022-04-28 14:00:00,146.87,27
2022-04-28 15:00:00,143.48,32
2022-04-28 16:00:00,204.24,38
2022-04-28 17:00:00,162,31
2022-04-28 18:00:00,344.36,48
2022-04-28 19:00:00,387.84,42
2022-04-28 20:00:00,425.01,39
2022-04-28 21:00:00,201.22,29
2022-04-28 22:00:00,188.77,26
2022-04-28 23:00:00,381.07,38
2022-04-29 0:00:00,181.93,35
2022-04-29 1:00:00,71.76,17
2022-04-29 2:00:00,4.1,1
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,51.57,9
2022-04-29 11:00:00,153.91,26
2022-04-29 12:00:00,149.1,33
2022-04-29 13:00:00,263.06,52
2022-04-29 14:00:00,241.64,43
2022-04-29 15:00:00,204.56,36
2022-04-29 16:00:00,255.66,38
2022-04-29 17:00:00,361.95,47
2022-04-29 18:00:00,368.43,43
2022-04-29 19:00:00,468.75,51
2022-04-29 20:00:00,419.06,50
2022-04-29 21:00:00,414.54,44
2022-04-29 22:00:00,328.37,39
2022-04-29 23:00:00,435.86,49
2022-04-30 0:00:00,132.18,27
2022-04-30 1:00:00,59.27,11
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,52.95,8
2022-04-30 11:00:00,141.82,22
2022-04-30 12:00:00,216.12,31
2022-04-30 13:00:00,269.95,38
2022-04-30 14:00:00,250.85,35
2022-04-30 15:00:00,461.72,54
2022-04-30 16:00:00,305.57,41
2022-04-30 17:00:00,166.48,27
2022-04-30 18:00:00,352.2,45
2022-04-30 19:00:00,376.1,48
2022-04-30 20:00:00,454.68,50
2022-04-30 21:00:00,313.45,39
2022-04-30 22:00:00,335.38,40
2022-04-30 23:00:00,580.01,57
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,50.82,7
2022-05-01 11:00:00,108.77,12
2022-05-01 12:00:00,195.52,27
2022-05-01 13:00:00,73.66,18
2022-05-01 14:00:00,202.42,28
2022-05-01 15:00:00,265.4,33
2022-05-01 16:00:00,188.08,28
