Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,11.45,4
2022-04-25 11:00:00,29.92,7
2022-04-25 12:00:00,110.78,22
2022-04-25 13:00:00,122.84,23
2022-04-25 14:00:00,94.54,21
2022-04-25 15:00:00,72.01,15
2022-04-25 16:00:00,213.43,26
2022-04-25 17:00:00,189.05,21
2022-04-25 18:00:00,215.18,28
2022-04-25 19:00:00,305.8,34
2022-04-25 20:00:00,176.58,19
2022-04-25 21:00:00,153.87,20
2022-04-25 22:00:00,131.59,17
2022-04-25 23:00:00,174.99,23
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,7.46,2
2022-04-26 11:00:00,106.25,10
2022-04-26 12:00:00,96.11,23
2022-04-26 13:00:00,146.07,22
2022-04-26 14:00:00,165.97,30
2022-04-26 15:00:00,143.41,26
2022-04-26 16:00:00,143.21,22
2022-04-26 17:00:00,197.95,31
2022-04-26 18:00:00,191.6,35
2022-04-26 19:00:00,388.33,43
2022-04-26 20:00:00,169.57,23
2022-04-26 21:00:00,209.33,27
2022-04-26 22:00:00,163.61,28
2022-04-26 23:00:00,124,22
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,11.57,4
2022-04-27 11:00:00,93.01,14
2022-04-27 12:00:00,122.21,21
2022-04-27 13:00:00,108.45,19
2022-04-27 14:00:00,67.91,13
2022-04-27 15:00:00,148.17,25
2022-04-27 16:00:00,163.84,34
2022-04-27 17:00:00,193.71,25
2022-04-27 18:00:00,343.18,36
2022-04-27 19:00:00,311.46,32
2022-04-27 20:00:00,281.56,31
2022-04-27 21:00:00,222.25,33
2022-04-27 22:00:00,221.05,28
2022-04-27 23:00:00,123.88,21
2022-04-28 0:00:00,-7.91,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,18.49,5
2022-04-28 11:00:00,57.51,9
2022-04-28 12:00:00,159.89,22
2022-04-28 13:00:00,180.45,30
2022-04-28 14:00:00,91.93,21
2022-04-28 15:00:00,182.54,31
2022-04-28 16:00:00,162.78,34
2022-04-28 17:00:00,160.38,23
2022-04-28 18:00:00,326.53,40
2022-04-28 19:00:00,409.55,37
2022-04-28 20:00:00,408.8,47
2022-04-28 21:00:00,282.97,42
2022-04-28 22:00:00,221.45,32
2022-04-28 23:00:00,272.63,33
2022-04-29 0:00:00,143.21,23
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,12.87,3
2022-04-29 11:00:00,58.79,11
2022-04-29 12:00:00,230.85,31
2022-04-29 13:00:00,227.4,36
2022-04-29 14:00:00,115.23,26
2022-04-29 15:00:00,218.82,30
2022-04-29 16:00:00,94.9,25
2022-04-29 17:00:00,266.08,36
2022-04-29 18:00:00,357.88,39
2022-04-29 19:00:00,633.58,55
2022-04-29 20:00:00,532.87,40
2022-04-29 21:00:00,314.5,41
2022-04-29 22:00:00,157.33,25
2022-04-29 23:00:00,364.46,45
2022-04-30 0:00:00,134.89,26
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,11.63,1
2022-04-30 11:00:00,139.38,16
2022-04-30 12:00:00,158.63,23
2022-04-30 13:00:00,262.22,27
2022-04-30 14:00:00,273.4,34
2022-04-30 15:00:00,289.01,28
2022-04-30 16:00:00,182.73,35
2022-04-30 17:00:00,293.6,34
2022-04-30 18:00:00,354.34,38
2022-04-30 19:00:00,366.69,41
2022-04-30 20:00:00,436.7,41
2022-04-30 21:00:00,163.62,30
2022-04-30 22:00:00,218.1,28
2022-04-30 23:00:00,434.82,50
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,19.47,5
2022-05-01 11:00:00,115.39,12
2022-05-01 12:00:00,263.16,29
2022-05-01 13:00:00,168.67,23
2022-05-01 14:00:00,173.62,26
2022-05-01 15:00:00,209.34,28
2022-05-01 16:00:00,264.78,33
