Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,46.53,10
2022-04-25 11:00:00,152.99,23
2022-04-25 12:00:00,193.73,22
2022-04-25 13:00:00,296.46,31
2022-04-25 14:00:00,112.99,19
2022-04-25 15:00:00,113.41,13
2022-04-25 16:00:00,160.59,18
2022-04-25 17:00:00,359.16,37
2022-04-25 18:00:00,272.43,23
2022-04-25 19:00:00,168.41,13
2022-04-25 20:00:00,163.45,11
2022-04-25 21:00:00,45.31,7
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,61.95,5
2022-04-26 11:00:00,78.04,16
2022-04-26 12:00:00,163.51,26
2022-04-26 13:00:00,196.17,27
2022-04-26 14:00:00,160.53,20
2022-04-26 15:00:00,18.28,5
2022-04-26 16:00:00,152.66,19
2022-04-26 17:00:00,399.35,37
2022-04-26 18:00:00,336.89,32
2022-04-26 19:00:00,455.39,42
2022-04-26 20:00:00,201.17,17
2022-04-26 21:00:00,102.5,13
2022-04-26 22:00:00,84.7,13
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,182.06,22
2022-04-27 12:00:00,230.37,26
2022-04-27 13:00:00,226.16,28
2022-04-27 14:00:00,72.92,10
2022-04-27 15:00:00,208.91,26
2022-04-27 16:00:00,135.76,13
2022-04-27 17:00:00,258.44,24
2022-04-27 18:00:00,259.02,22
2022-04-27 19:00:00,271.41,23
2022-04-27 20:00:00,142.97,13
2022-04-27 21:00:00,57.41,6
2022-04-27 22:00:00,8.3,1
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,16.33,3
2022-04-28 11:00:00,179.93,19
2022-04-28 12:00:00,256.5,31
2022-04-28 13:00:00,270.56,32
2022-04-28 14:00:00,97.43,13
2022-04-28 15:00:00,160.27,17
2022-04-28 16:00:00,152.9,18
2022-04-28 17:00:00,351.72,31
2022-04-28 18:00:00,452.77,40
2022-04-28 19:00:00,529.72,42
2022-04-28 20:00:00,170.67,13
2022-04-28 21:00:00,179.48,14
2022-04-28 22:00:00,43.43,5
2022-04-28 23:00:00,0,1
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,18.02,3
2022-04-29 11:00:00,164.76,15
2022-04-29 12:00:00,429.08,40
2022-04-29 13:00:00,253.26,33
2022-04-29 14:00:00,122.61,20
2022-04-29 15:00:00,157.1,16
2022-04-29 16:00:00,231.24,20
2022-04-29 17:00:00,475,38
2022-04-29 18:00:00,756.34,55
2022-04-29 19:00:00,341.84,28
2022-04-29 20:00:00,181.58,13
2022-04-29 21:00:00,90.61,9
2022-04-29 22:00:00,0,1
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,80.02,7
2022-04-30 11:00:00,234.21,24
2022-04-30 12:00:00,307.15,35
2022-04-30 13:00:00,373.98,42
2022-04-30 14:00:00,335.71,31
2022-04-30 15:00:00,218.4,23
2022-04-30 16:00:00,391.25,33
2022-04-30 17:00:00,353.55,29
2022-04-30 18:00:00,568.51,45
2022-04-30 19:00:00,303.01,21
2022-04-30 20:00:00,228.16,17
2022-04-30 21:00:00,220.12,14
2022-04-30 22:00:00,20.77,2
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,98.52,8
2022-05-01 11:00:00,147.47,16
2022-05-01 12:00:00,286.21,28
2022-05-01 13:00:00,358.56,30
2022-05-01 14:00:00,402.91,32
2022-05-01 15:00:00,168.7,18
2022-05-01 16:00:00,216.6,16
2022-05-01 17:00:00,465.3,26
2022-05-01 18:00:00,287.41,24
