Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,135.28,25
2022-04-25 11:00:00,275.05,35
2022-04-25 12:00:00,451.22,68
2022-04-25 13:00:00,499.94,70
2022-04-25 14:00:00,279.39,41
2022-04-25 15:00:00,262.54,37
2022-04-25 16:00:00,202.47,32
2022-04-25 17:00:00,349.08,40
2022-04-25 18:00:00,386.12,40
2022-04-25 19:00:00,366.78,50
2022-04-25 20:00:00,326.18,43
2022-04-25 21:00:00,339.12,40
2022-04-25 22:00:00,398.37,43
2022-04-25 23:00:00,490.84,46
2022-04-26 0:00:00,200.89,28
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,161.07,26
2022-04-26 11:00:00,277.33,40
2022-04-26 12:00:00,449.1,60
2022-04-26 13:00:00,573.04,70
2022-04-26 14:00:00,278.05,42
2022-04-26 15:00:00,380.31,47
2022-04-26 16:00:00,266.23,42
2022-04-26 17:00:00,317.96,49
2022-04-26 18:00:00,591.5,70
2022-04-26 19:00:00,369.72,52
2022-04-26 20:00:00,488.5,60
2022-04-26 21:00:00,504.17,56
2022-04-26 22:00:00,424.97,51
2022-04-26 23:00:00,482.77,57
2022-04-27 0:00:00,201.3,25
2022-04-27 1:00:00,28.52,2
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,183.63,32
2022-04-27 11:00:00,322.45,46
2022-04-27 12:00:00,598.69,72
2022-04-27 13:00:00,557.9,82
2022-04-27 14:00:00,412,59
2022-04-27 15:00:00,233,42
2022-04-27 16:00:00,330.5,46
2022-04-27 17:00:00,372.34,47
2022-04-27 18:00:00,456.19,59
2022-04-27 19:00:00,411.72,50
2022-04-27 20:00:00,568.87,63
2022-04-27 21:00:00,426.43,48
2022-04-27 22:00:00,565.68,61
2022-04-27 23:00:00,418.82,56
2022-04-28 0:00:00,356.1,41
2022-04-28 1:00:00,-2.06,1
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,303.63,45
2022-04-28 11:00:00,351.69,45
2022-04-28 12:00:00,611.58,62
2022-04-28 13:00:00,490.56,73
2022-04-28 14:00:00,311.83,52
2022-04-28 15:00:00,242.08,39
2022-04-28 16:00:00,224.24,34
2022-04-28 17:00:00,428.84,43
2022-04-28 18:00:00,504.99,58
2022-04-28 19:00:00,594.2,70
2022-04-28 20:00:00,429.31,51
2022-04-28 21:00:00,402.35,53
2022-04-28 22:00:00,519.66,63
2022-04-28 23:00:00,682.46,63
2022-04-29 0:00:00,174.46,29
2022-04-29 1:00:00,-25,1
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,226.87,37
2022-04-29 11:00:00,378.08,47
2022-04-29 12:00:00,902.06,86
2022-04-29 13:00:00,540.28,76
2022-04-29 14:00:00,273.62,45
2022-04-29 15:00:00,338.65,50
2022-04-29 16:00:00,307.66,51
2022-04-29 17:00:00,437.18,62
2022-04-29 18:00:00,519.21,61
2022-04-29 19:00:00,555.85,62
2022-04-29 20:00:00,675.41,59
2022-04-29 21:00:00,530.52,58
2022-04-29 22:00:00,464.17,50
2022-04-29 23:00:00,716.05,67
2022-04-30 0:00:00,270.42,30
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,222.62,24
2022-04-30 11:00:00,333.8,38
2022-04-30 12:00:00,475.11,54
2022-04-30 13:00:00,459.83,49
2022-04-30 14:00:00,450.89,54
2022-04-30 15:00:00,481.68,51
2022-04-30 16:00:00,321.26,39
2022-04-30 17:00:00,308.03,43
2022-04-30 18:00:00,525.09,54
2022-04-30 19:00:00,501.44,51
2022-04-30 20:00:00,606.28,60
2022-04-30 21:00:00,537.49,56
2022-04-30 22:00:00,460.95,56
2022-04-30 23:00:00,600.64,54
2022-05-01 0:00:00,12.71,2
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,159.18,21
2022-05-01 11:00:00,246.97,27
2022-05-01 12:00:00,438.53,49
2022-05-01 13:00:00,470.32,52
2022-05-01 14:00:00,600,56
2022-05-01 15:00:00,446.76,49
2022-05-01 16:00:00,361.96,48
