Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,108.43,11
2022-04-25 12:00:00,152.45,23
2022-04-25 13:00:00,266.62,31
2022-04-25 14:00:00,187.7,30
2022-04-25 15:00:00,129.25,29
2022-04-25 16:00:00,164.46,26
2022-04-25 17:00:00,127.57,20
2022-04-25 18:00:00,257.06,34
2022-04-25 19:00:00,490.75,40
2022-04-25 20:00:00,265.71,28
2022-04-25 21:00:00,266.93,32
2022-04-25 22:00:00,262.4,24
2022-04-25 23:00:00,187.62,22
2022-04-26 0:00:00,32.41,7
2022-04-26 1:00:00,8.73,2
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,89.85,16
2022-04-26 12:00:00,204.17,31
2022-04-26 13:00:00,202.49,37
2022-04-26 14:00:00,147.63,30
2022-04-26 15:00:00,240.11,31
2022-04-26 16:00:00,193.6,30
2022-04-26 17:00:00,146.32,23
2022-04-26 18:00:00,314.94,42
2022-04-26 19:00:00,454.03,45
2022-04-26 20:00:00,321.89,34
2022-04-26 21:00:00,209.51,20
2022-04-26 22:00:00,217.09,31
2022-04-26 23:00:00,170.38,21
2022-04-27 0:00:00,29.41,7
2022-04-27 1:00:00,9.52,3
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,80.22,8
2022-04-27 12:00:00,162.97,22
2022-04-27 13:00:00,165.95,34
2022-04-27 14:00:00,146.36,27
2022-04-27 15:00:00,129.57,20
2022-04-27 16:00:00,286.33,44
2022-04-27 17:00:00,269.39,34
2022-04-27 18:00:00,299.87,28
2022-04-27 19:00:00,383.14,43
2022-04-27 20:00:00,359.48,36
2022-04-27 21:00:00,197.17,23
2022-04-27 22:00:00,194.24,25
2022-04-27 23:00:00,126.65,18
2022-04-28 0:00:00,81.78,9
2022-04-28 1:00:00,23.91,8
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,42.31,10
2022-04-28 12:00:00,290.92,35
2022-04-28 13:00:00,201.76,30
2022-04-28 14:00:00,115.19,21
2022-04-28 15:00:00,195.29,31
2022-04-28 16:00:00,267.53,35
2022-04-28 17:00:00,207.34,28
2022-04-28 18:00:00,276.46,31
2022-04-28 19:00:00,497.35,45
2022-04-28 20:00:00,385.06,44
2022-04-28 21:00:00,153.54,18
2022-04-28 22:00:00,296.98,39
2022-04-28 23:00:00,178.06,23
2022-04-29 0:00:00,34.77,10
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,156.71,26
2022-04-29 12:00:00,232.25,31
2022-04-29 13:00:00,328.54,44
2022-04-29 14:00:00,211.11,39
2022-04-29 15:00:00,208.76,31
2022-04-29 16:00:00,309.26,41
2022-04-29 17:00:00,349.62,42
2022-04-29 18:00:00,494.8,52
2022-04-29 19:00:00,632.61,54
2022-04-29 20:00:00,502.61,44
2022-04-29 21:00:00,411.48,44
2022-04-29 22:00:00,229.45,28
2022-04-29 23:00:00,249.99,25
2022-04-30 0:00:00,53.94,11
2022-04-30 1:00:00,1.66,1
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,116.9,11
2022-04-30 12:00:00,234.44,30
2022-04-30 13:00:00,348.28,40
2022-04-30 14:00:00,276.27,33
2022-04-30 15:00:00,269.24,29
2022-04-30 16:00:00,166.98,28
2022-04-30 17:00:00,304.4,35
2022-04-30 18:00:00,315.95,30
2022-04-30 19:00:00,299.9,33
2022-04-30 20:00:00,603.49,53
2022-04-30 21:00:00,330.18,39
2022-04-30 22:00:00,340.42,32
2022-04-30 23:00:00,173.27,20
2022-05-01 0:00:00,6.14,2
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,76.1,10
2022-05-01 12:00:00,147.64,17
2022-05-01 13:00:00,186.51,33
2022-05-01 14:00:00,356.91,39
2022-05-01 15:00:00,235.66,23
2022-05-01 16:00:00,316.49,37
