Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,52.29,3
2022-04-25 11:00:00,116.56,21
2022-04-25 12:00:00,363.29,48
2022-04-25 13:00:00,440.96,60
2022-04-25 14:00:00,262.77,32
2022-04-25 15:00:00,226.49,32
2022-04-25 16:00:00,326.73,33
2022-04-25 17:00:00,513.74,40
2022-04-25 18:00:00,669.12,54
2022-04-25 19:00:00,525.69,48
2022-04-25 20:00:00,495.11,45
2022-04-25 21:00:00,146.37,19
2022-04-25 22:00:00,196.82,16
2022-04-25 23:00:00,70.36,8
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,57.97,9
2022-04-26 11:00:00,250.72,29
2022-04-26 12:00:00,573.36,62
2022-04-26 13:00:00,640.21,75
2022-04-26 14:00:00,309.75,37
2022-04-26 15:00:00,271.38,33
2022-04-26 16:00:00,492.72,49
2022-04-26 17:00:00,795.79,61
2022-04-26 18:00:00,945.41,70
2022-04-26 19:00:00,895.86,76
2022-04-26 20:00:00,505.91,56
2022-04-26 21:00:00,218.03,23
2022-04-26 22:00:00,126.97,16
2022-04-26 23:00:00,87.08,10
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,150.84,13
2022-04-27 11:00:00,199.55,25
2022-04-27 12:00:00,583.89,74
2022-04-27 13:00:00,598.54,76
2022-04-27 14:00:00,195.2,25
2022-04-27 15:00:00,298.96,38
2022-04-27 16:00:00,532.87,43
2022-04-27 17:00:00,624.62,50
2022-04-27 18:00:00,919.12,68
2022-04-27 19:00:00,908.93,75
2022-04-27 20:00:00,457.82,43
2022-04-27 21:00:00,333.63,34
2022-04-27 22:00:00,165.48,19
2022-04-27 23:00:00,88.91,6
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,134.86,14
2022-04-28 11:00:00,177.27,27
2022-04-28 12:00:00,616.73,69
2022-04-28 13:00:00,509.32,59
2022-04-28 14:00:00,207.67,33
2022-04-28 15:00:00,465.39,49
2022-04-28 16:00:00,715.65,54
2022-04-28 17:00:00,698.3,63
2022-04-28 18:00:00,1325.7,95
2022-04-28 19:00:00,867.3,73
2022-04-28 20:00:00,719.28,62
2022-04-28 21:00:00,423.49,39
2022-04-28 22:00:00,248.66,21
2022-04-28 23:00:00,71.71,9
2022-04-29 0:00:00,77.35,6
2022-04-29 1:00:00,5.81,1
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,109.53,11
2022-04-29 11:00:00,457.15,43
2022-04-29 12:00:00,1040.81,92
2022-04-29 13:00:00,743.18,93
2022-04-29 14:00:00,486.11,47
2022-04-29 15:00:00,447.53,49
2022-04-29 16:00:00,899.99,66
2022-04-29 17:00:00,999.47,67
2022-04-29 18:00:00,1431.09,99
2022-04-29 19:00:00,1399.41,94
2022-04-29 20:00:00,905.65,78
2022-04-29 21:00:00,571.72,52
2022-04-29 22:00:00,204.47,22
2022-04-29 23:00:00,227.01,20
2022-04-30 0:00:00,60.87,7
2022-04-30 1:00:00,6.65,1
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,152.83,15
2022-04-30 11:00:00,306.82,28
2022-04-30 12:00:00,732.18,67
2022-04-30 13:00:00,812.67,75
2022-04-30 14:00:00,673.46,67
2022-04-30 15:00:00,725.1,67
2022-04-30 16:00:00,751.96,54
2022-04-30 17:00:00,1069.89,89
2022-04-30 18:00:00,1243.31,91
2022-04-30 19:00:00,1205.73,80
2022-04-30 20:00:00,895.9,66
2022-04-30 21:00:00,616.21,56
2022-04-30 22:00:00,408.68,32
2022-04-30 23:00:00,197.13,22
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,155.69,10
2022-05-01 11:00:00,309.71,26
2022-05-01 12:00:00,761.33,63
2022-05-01 13:00:00,835.53,75
2022-05-01 14:00:00,582.34,51
2022-05-01 15:00:00,552.65,46
2022-05-01 16:00:00,668.86,53
