Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,81.35,13
2022-04-25 11:00:00,99.97,13
2022-04-25 12:00:00,224.75,31
2022-04-25 13:00:00,216.7,39
2022-04-25 14:00:00,97.43,19
2022-04-25 15:00:00,190,29
2022-04-25 16:00:00,225.55,28
2022-04-25 17:00:00,243.87,34
2022-04-25 18:00:00,185.74,28
2022-04-25 19:00:00,549.6,43
2022-04-25 20:00:00,358.64,34
2022-04-25 21:00:00,279.32,38
2022-04-25 22:00:00,331.13,36
2022-04-25 23:00:00,301.83,34
2022-04-26 0:00:00,77.07,17
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,68.31,11
2022-04-26 11:00:00,137.16,19
2022-04-26 12:00:00,238.47,33
2022-04-26 13:00:00,269.16,46
2022-04-26 14:00:00,234.74,36
2022-04-26 15:00:00,124.93,26
2022-04-26 16:00:00,209.22,33
2022-04-26 17:00:00,269.92,33
2022-04-26 18:00:00,325.91,49
2022-04-26 19:00:00,483.6,51
2022-04-26 20:00:00,612.7,59
2022-04-26 21:00:00,274.67,30
2022-04-26 22:00:00,346.76,35
2022-04-26 23:00:00,317.76,38
2022-04-27 0:00:00,94.98,11
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,91.39,13
2022-04-27 11:00:00,119.4,22
2022-04-27 12:00:00,190.12,35
2022-04-27 13:00:00,165.93,30
2022-04-27 14:00:00,186.21,31
2022-04-27 15:00:00,157.05,23
2022-04-27 16:00:00,292.45,39
2022-04-27 17:00:00,295.44,35
2022-04-27 18:00:00,459.19,51
2022-04-27 19:00:00,449.12,45
2022-04-27 20:00:00,618.69,61
2022-04-27 21:00:00,296.44,42
2022-04-27 22:00:00,273.5,39
2022-04-27 23:00:00,303.23,40
2022-04-28 0:00:00,124.77,23
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,87.71,10
2022-04-28 11:00:00,204.56,27
2022-04-28 12:00:00,204.27,27
2022-04-28 13:00:00,322.83,40
2022-04-28 14:00:00,118.37,22
2022-04-28 15:00:00,200.47,33
2022-04-28 16:00:00,234.15,32
2022-04-28 17:00:00,299.1,34
2022-04-28 18:00:00,334.57,36
2022-04-28 19:00:00,804.07,67
2022-04-28 20:00:00,573.33,56
2022-04-28 21:00:00,324.71,38
2022-04-28 22:00:00,336.22,44
2022-04-28 23:00:00,501.27,52
2022-04-29 0:00:00,142.48,27
2022-04-29 1:00:00,4.45,1
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,189.84,23
2022-04-29 11:00:00,250.31,34
2022-04-29 12:00:00,307.58,44
2022-04-29 13:00:00,228.1,38
2022-04-29 14:00:00,240.62,36
2022-04-29 15:00:00,198.8,39
2022-04-29 16:00:00,284.46,42
2022-04-29 17:00:00,433.63,52
2022-04-29 18:00:00,431.59,45
2022-04-29 19:00:00,868.18,71
2022-04-29 20:00:00,658.89,62
2022-04-29 21:00:00,687.95,66
2022-04-29 22:00:00,330.19,37
2022-04-29 23:00:00,474.33,53
2022-04-30 0:00:00,149.71,20
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,55.13,7
2022-04-30 11:00:00,166.25,18
2022-04-30 12:00:00,266.17,28
2022-04-30 13:00:00,244.65,32
2022-04-30 14:00:00,247.68,35
2022-04-30 15:00:00,183.93,32
2022-04-30 16:00:00,250.17,32
2022-04-30 17:00:00,445.97,46
2022-04-30 18:00:00,397.69,38
2022-04-30 19:00:00,587.41,57
2022-04-30 20:00:00,804.61,71
2022-04-30 21:00:00,398.08,41
2022-04-30 22:00:00,337.48,36
2022-04-30 23:00:00,357.33,43
2022-05-01 0:00:00,19.18,4
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,1
2022-05-01 10:00:00,76.18,7
2022-05-01 11:00:00,168.19,16
2022-05-01 12:00:00,312.09,30
2022-05-01 13:00:00,224.36,29
2022-05-01 14:00:00,235.07,29
2022-05-01 15:00:00,305.12,44
2022-05-01 16:00:00,343.38,37
