Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,39.61,8
2022-04-25 11:00:00,88.87,15
2022-04-25 12:00:00,291.28,47
2022-04-25 13:00:00,292.11,42
2022-04-25 14:00:00,207.09,28
2022-04-25 15:00:00,419.66,54
2022-04-25 16:00:00,256.23,43
2022-04-25 17:00:00,246.24,29
2022-04-25 18:00:00,472.78,50
2022-04-25 19:00:00,690.38,65
2022-04-25 20:00:00,638.42,63
2022-04-25 21:00:00,279.35,39
2022-04-25 22:00:00,201.73,26
2022-04-25 23:00:00,185.87,23
2022-04-26 0:00:00,9.25,3
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,5.82,1
2022-04-26 10:00:00,82.35,11
2022-04-26 11:00:00,224.95,31
2022-04-26 12:00:00,386.17,53
2022-04-26 13:00:00,385.01,56
2022-04-26 14:00:00,246.64,39
2022-04-26 15:00:00,326.53,50
2022-04-26 16:00:00,463.29,64
2022-04-26 17:00:00,398.35,51
2022-04-26 18:00:00,749.95,78
2022-04-26 19:00:00,1035.12,86
2022-04-26 20:00:00,917.46,84
2022-04-26 21:00:00,354.52,41
2022-04-26 22:00:00,266.83,34
2022-04-26 23:00:00,176.77,27
2022-04-27 0:00:00,1.47,2
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,54.83,7
2022-04-27 11:00:00,99.34,16
2022-04-27 12:00:00,447.68,61
2022-04-27 13:00:00,419.2,59
2022-04-27 14:00:00,338.03,42
2022-04-27 15:00:00,247.09,42
2022-04-27 16:00:00,362.08,51
2022-04-27 17:00:00,401.9,50
2022-04-27 18:00:00,512.56,51
2022-04-27 19:00:00,833.16,70
2022-04-27 20:00:00,791.26,74
2022-04-27 21:00:00,388.78,46
2022-04-27 22:00:00,308.46,35
2022-04-27 23:00:00,167.23,23
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,60.66,6
2022-04-28 11:00:00,149.15,28
2022-04-28 12:00:00,473.34,63
2022-04-28 13:00:00,419.55,52
2022-04-28 14:00:00,229.84,32
2022-04-28 15:00:00,404.61,53
2022-04-28 16:00:00,234.9,41
2022-04-28 17:00:00,501.18,53
2022-04-28 18:00:00,498.41,53
2022-04-28 19:00:00,950.02,80
2022-04-28 20:00:00,622.04,64
2022-04-28 21:00:00,369.46,47
2022-04-28 22:00:00,322.67,40
2022-04-28 23:00:00,96.05,18
2022-04-29 0:00:00,329.07,41
2022-04-29 1:00:00,85.27,14
2022-04-29 2:00:00,4.15,1
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,72.77,10
2022-04-29 11:00:00,159.39,19
2022-04-29 12:00:00,320.85,48
2022-04-29 13:00:00,426.67,62
2022-04-29 14:00:00,381.16,48
2022-04-29 15:00:00,493.04,58
2022-04-29 16:00:00,458.37,54
2022-04-29 17:00:00,498.71,48
2022-04-29 18:00:00,715.84,67
2022-04-29 19:00:00,934.28,78
2022-04-29 20:00:00,1104.24,82
2022-04-29 21:00:00,559.37,64
2022-04-29 22:00:00,416.35,54
2022-04-29 23:00:00,428.83,53
2022-04-30 0:00:00,229.05,30
2022-04-30 1:00:00,57.83,8
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,2
2022-04-30 10:00:00,63.8,7
2022-04-30 11:00:00,178.39,19
2022-04-30 12:00:00,469.84,55
2022-04-30 13:00:00,494.27,51
2022-04-30 14:00:00,529.22,59
2022-04-30 15:00:00,466.57,48
2022-04-30 16:00:00,441.39,48
2022-04-30 17:00:00,415.58,53
2022-04-30 18:00:00,833.45,82
2022-04-30 19:00:00,1026.9,78
2022-04-30 20:00:00,863.5,67
2022-04-30 21:00:00,561.43,55
2022-04-30 22:00:00,474.06,55
2022-04-30 23:00:00,280.18,37
2022-05-01 0:00:00,21.92,6
2022-05-01 1:00:00,0,1
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,66.99,9
2022-05-01 11:00:00,153.09,17
2022-05-01 12:00:00,289.75,36
2022-05-01 13:00:00,489.91,53
2022-05-01 14:00:00,632.43,69
2022-05-01 15:00:00,447.66,51
2022-05-01 16:00:00,531.51,63
