Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,59.98,8
2022-04-25 11:00:00,140.01,17
2022-04-25 12:00:00,334.07,49
2022-04-25 13:00:00,223.46,35
2022-04-25 14:00:00,301.55,37
2022-04-25 15:00:00,322.34,42
2022-04-25 16:00:00,389.68,50
2022-04-25 17:00:00,324.77,47
2022-04-25 18:00:00,326.58,44
2022-04-25 19:00:00,968.5,91
2022-04-25 20:00:00,799.93,73
2022-04-25 21:00:00,504.44,54
2022-04-25 22:00:00,395.36,50
2022-04-25 23:00:00,268.69,32
2022-04-26 0:00:00,124.38,13
2022-04-26 1:00:00,144.29,23
2022-04-26 2:00:00,-6.64,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,64.76,12
2022-04-26 11:00:00,122.76,24
2022-04-26 12:00:00,355.83,57
2022-04-26 13:00:00,305.78,40
2022-04-26 14:00:00,189.02,30
2022-04-26 15:00:00,399.54,52
2022-04-26 16:00:00,355.24,47
2022-04-26 17:00:00,538.76,58
2022-04-26 18:00:00,602.56,63
2022-04-26 19:00:00,836.54,72
2022-04-26 20:00:00,935.68,83
2022-04-26 21:00:00,532.14,63
2022-04-26 22:00:00,470.41,62
2022-04-26 23:00:00,246.17,29
2022-04-27 0:00:00,186.13,21
2022-04-27 1:00:00,42.98,5
2022-04-27 2:00:00,7.73,1
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,61.14,7
2022-04-27 11:00:00,159.31,20
2022-04-27 12:00:00,313.33,47
2022-04-27 13:00:00,337.32,46
2022-04-27 14:00:00,340.78,42
2022-04-27 15:00:00,422.19,49
2022-04-27 16:00:00,394.7,48
2022-04-27 17:00:00,414.94,44
2022-04-27 18:00:00,653.12,72
2022-04-27 19:00:00,731.28,64
2022-04-27 20:00:00,870,78
2022-04-27 21:00:00,423.52,44
2022-04-27 22:00:00,363.03,43
2022-04-27 23:00:00,193.44,21
2022-04-28 0:00:00,132.92,12
2022-04-28 1:00:00,51.32,8
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,89.6,16
2022-04-28 11:00:00,155.97,23
2022-04-28 12:00:00,454.96,57
2022-04-28 13:00:00,431.43,64
2022-04-28 14:00:00,341.2,57
2022-04-28 15:00:00,371.89,49
2022-04-28 16:00:00,411.99,51
2022-04-28 17:00:00,464.04,64
2022-04-28 18:00:00,810.08,83
2022-04-28 19:00:00,841.32,86
2022-04-28 20:00:00,908.69,78
2022-04-28 21:00:00,347.72,43
2022-04-28 22:00:00,259.1,33
2022-04-28 23:00:00,192.56,26
2022-04-29 0:00:00,165.55,19
2022-04-29 1:00:00,176.31,20
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,107.54,16
2022-04-29 11:00:00,152.13,20
2022-04-29 12:00:00,328.76,41
2022-04-29 13:00:00,408.94,48
2022-04-29 14:00:00,489.43,56
2022-04-29 15:00:00,623.6,66
2022-04-29 16:00:00,455.29,58
2022-04-29 17:00:00,586.62,58
2022-04-29 18:00:00,1029.22,100
2022-04-29 19:00:00,1213.72,94
2022-04-29 20:00:00,1042.98,105
2022-04-29 21:00:00,800.33,80
2022-04-29 22:00:00,515.38,61
2022-04-29 23:00:00,354.16,39
2022-04-30 0:00:00,161.6,20
2022-04-30 1:00:00,54.8,7
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,42.16,9
2022-04-30 11:00:00,238.14,29
2022-04-30 12:00:00,501.42,56
2022-04-30 13:00:00,409.18,48
2022-04-30 14:00:00,452.26,59
2022-04-30 15:00:00,500.18,64
2022-04-30 16:00:00,503.19,53
2022-04-30 17:00:00,602.5,67
2022-04-30 18:00:00,954.56,85
2022-04-30 19:00:00,1372.93,103
2022-04-30 20:00:00,1252.09,91
2022-04-30 21:00:00,933.56,80
2022-04-30 22:00:00,478.62,44
2022-04-30 23:00:00,419.29,37
2022-05-01 0:00:00,193,23
2022-05-01 1:00:00,87.6,14
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,91.2,12
2022-05-01 11:00:00,241.24,25
2022-05-01 12:00:00,508,40
2022-05-01 13:00:00,581.07,61
2022-05-01 14:00:00,368.42,49
2022-05-01 15:00:00,505.08,56
