Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,5.41,3
2022-04-25 11:00:00,103.59,13
2022-04-25 12:00:00,242.24,34
2022-04-25 13:00:00,249.52,30
2022-04-25 14:00:00,143.9,19
2022-04-25 15:00:00,151.58,19
2022-04-25 16:00:00,222.8,22
2022-04-25 17:00:00,393.53,27
2022-04-25 18:00:00,399.19,28
2022-04-25 19:00:00,360.89,29
2022-04-25 20:00:00,266.04,21
2022-04-25 21:00:00,131.83,12
2022-04-25 22:00:00,160.19,17
2022-04-25 23:00:00,32.61,5
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,15.77,1
2022-04-26 11:00:00,138.26,19
2022-04-26 12:00:00,153.78,21
2022-04-26 13:00:00,165.15,18
2022-04-26 14:00:00,167.16,22
2022-04-26 15:00:00,121.11,19
2022-04-26 16:00:00,203.72,25
2022-04-26 17:00:00,262.36,20
2022-04-26 18:00:00,475.18,37
2022-04-26 19:00:00,317.09,27
2022-04-26 20:00:00,373.66,31
2022-04-26 21:00:00,201.43,19
2022-04-26 22:00:00,239.28,21
2022-04-26 23:00:00,57.47,10
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,1.66,1
2022-04-27 11:00:00,66.21,8
2022-04-27 12:00:00,241.86,36
2022-04-27 13:00:00,230.07,32
2022-04-27 14:00:00,247.74,22
2022-04-27 15:00:00,217.17,25
2022-04-27 16:00:00,161.87,20
2022-04-27 17:00:00,554.26,40
2022-04-27 18:00:00,322.5,27
2022-04-27 19:00:00,437.24,37
2022-04-27 20:00:00,298.07,31
2022-04-27 21:00:00,139.23,17
2022-04-27 22:00:00,87.18,9
2022-04-27 23:00:00,42.09,6
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,26.86,7
2022-04-28 11:00:00,132.69,19
2022-04-28 12:00:00,265.17,37
2022-04-28 13:00:00,276.75,22
2022-04-28 14:00:00,115.36,12
2022-04-28 15:00:00,257.94,32
2022-04-28 16:00:00,271.95,24
2022-04-28 17:00:00,572.91,37
2022-04-28 18:00:00,450.62,41
2022-04-28 19:00:00,618.64,47
2022-04-28 20:00:00,536.94,33
2022-04-28 21:00:00,368.73,29
2022-04-28 22:00:00,286.89,29
2022-04-28 23:00:00,149.25,17
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,13.32,3
2022-04-29 11:00:00,304.65,25
2022-04-29 12:00:00,480.62,61
2022-04-29 13:00:00,307.67,37
2022-04-29 14:00:00,187.26,20
2022-04-29 15:00:00,210.54,25
2022-04-29 16:00:00,482.5,43
2022-04-29 17:00:00,589.24,45
2022-04-29 18:00:00,919.88,71
2022-04-29 19:00:00,914.7,77
2022-04-29 20:00:00,652.11,51
2022-04-29 21:00:00,329.69,30
2022-04-29 22:00:00,434.16,40
2022-04-29 23:00:00,110.37,15
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,6.23,1
2022-04-30 11:00:00,101.62,12
2022-04-30 12:00:00,303.26,25
2022-04-30 13:00:00,279.89,22
2022-04-30 14:00:00,273.41,33
2022-04-30 15:00:00,276.46,31
2022-04-30 16:00:00,388.76,39
2022-04-30 17:00:00,797.16,60
2022-04-30 18:00:00,854.43,67
2022-04-30 19:00:00,781.16,59
2022-04-30 20:00:00,624.05,46
2022-04-30 21:00:00,589.75,41
2022-04-30 22:00:00,306.28,29
2022-04-30 23:00:00,140.79,16
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,4.57,2
2022-05-01 11:00:00,152.68,12
2022-05-01 12:00:00,322.7,24
2022-05-01 13:00:00,302.14,23
2022-05-01 14:00:00,320.22,31
2022-05-01 15:00:00,379.03,45
2022-05-01 16:00:00,438.95,42
2022-05-01 17:00:00,525,40
