Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,3
2022-04-25 10:00:00,65.18,9
2022-04-25 11:00:00,210.14,25
2022-04-25 12:00:00,531.61,73
2022-04-25 13:00:00,415.87,71
2022-04-25 14:00:00,206.43,26
2022-04-25 15:00:00,152.75,18
2022-04-25 16:00:00,365.31,32
2022-04-25 17:00:00,531.72,51
2022-04-25 18:00:00,565.85,49
2022-04-25 19:00:00,621.01,56
2022-04-25 20:00:00,472.84,41
2022-04-25 21:00:00,261.1,25
2022-04-25 22:00:00,209.24,19
2022-04-25 23:00:00,-9.8,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,52.31,8
2022-04-26 11:00:00,162.78,27
2022-04-26 12:00:00,477.25,61
2022-04-26 13:00:00,478.76,60
2022-04-26 14:00:00,345.04,43
2022-04-26 15:00:00,288.5,30
2022-04-26 16:00:00,520,56
2022-04-26 17:00:00,732.2,64
2022-04-26 18:00:00,788.98,67
2022-04-26 19:00:00,562.9,54
2022-04-26 20:00:00,473.77,48
2022-04-26 21:00:00,259.54,30
2022-04-26 22:00:00,184.66,22
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,39.52,3
2022-04-27 11:00:00,187.19,20
2022-04-27 12:00:00,499.05,71
2022-04-27 13:00:00,470.62,53
2022-04-27 14:00:00,328.23,40
2022-04-27 15:00:00,254.23,31
2022-04-27 16:00:00,306.25,40
2022-04-27 17:00:00,622.86,58
2022-04-27 18:00:00,836.39,65
2022-04-27 19:00:00,583.97,47
2022-04-27 20:00:00,424.87,45
2022-04-27 21:00:00,381.44,34
2022-04-27 22:00:00,252.4,26
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,129.21,15
2022-04-28 11:00:00,170.93,16
2022-04-28 12:00:00,586.36,73
2022-04-28 13:00:00,465.41,57
2022-04-28 14:00:00,135.8,17
2022-04-28 15:00:00,262.77,28
2022-04-28 16:00:00,545.87,55
2022-04-28 17:00:00,951.49,62
2022-04-28 18:00:00,1072.65,83
2022-04-28 19:00:00,781.44,60
2022-04-28 20:00:00,478.8,44
2022-04-28 21:00:00,333.88,32
2022-04-28 22:00:00,180.76,19
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,139.99,13
2022-04-29 11:00:00,341.49,32
2022-04-29 12:00:00,613.14,73
2022-04-29 13:00:00,578.79,74
2022-04-29 14:00:00,257.11,40
2022-04-29 15:00:00,337.03,30
2022-04-29 16:00:00,520.25,44
2022-04-29 17:00:00,1071.84,82
2022-04-29 18:00:00,1618.93,112
2022-04-29 19:00:00,1193.61,88
2022-04-29 20:00:00,871.91,70
2022-04-29 21:00:00,523.42,45
2022-04-29 22:00:00,352.33,38
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,312.93,40
2022-04-30 11:00:00,827.77,106
2022-04-30 12:00:00,541.63,60
2022-04-30 13:00:00,513.52,48
2022-04-30 14:00:00,1254.45,130
2022-04-30 15:00:00,748.11,75
2022-04-30 16:00:00,664.28,60
2022-04-30 17:00:00,1257.05,92
2022-04-30 18:00:00,1499.13,113
2022-04-30 19:00:00,1091.21,88
2022-04-30 20:00:00,849.8,78
2022-04-30 21:00:00,677.18,49
2022-04-30 22:00:00,285.61,23
2022-04-30 23:00:00,-6.64,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,105.76,8
2022-05-01 11:00:00,339.95,25
2022-05-01 12:00:00,566.31,48
2022-05-01 13:00:00,853.5,67
2022-05-01 14:00:00,581.56,56
2022-05-01 15:00:00,304.48,25
2022-05-01 16:00:00,682.63,62
2022-05-01 17:00:00,954.19,69
