Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,141.86,13
2022-04-25 12:00:00,194.17,15
2022-04-25 13:00:00,233.33,26
2022-04-25 14:00:00,97.5,10
2022-04-25 15:00:00,121.19,14
2022-04-25 16:00:00,309.53,21
2022-04-25 17:00:00,413.31,29
2022-04-25 18:00:00,569.18,38
2022-04-25 19:00:00,345.85,29
2022-04-25 20:00:00,144.04,17
2022-04-25 21:00:00,273.47,20
2022-04-25 22:00:00,99.54,13
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,39.08,5
2022-04-26 12:00:00,206.17,23
2022-04-26 13:00:00,214.37,24
2022-04-26 14:00:00,83.15,10
2022-04-26 15:00:00,258.1,28
2022-04-26 16:00:00,336.96,30
2022-04-26 17:00:00,334.76,30
2022-04-26 18:00:00,555.97,47
2022-04-26 19:00:00,511.44,37
2022-04-26 20:00:00,365.49,30
2022-04-26 21:00:00,185.23,20
2022-04-26 22:00:00,52.73,7
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,31.28,7
2022-04-27 12:00:00,297.53,28
2022-04-27 13:00:00,231.39,20
2022-04-27 14:00:00,144.12,16
2022-04-27 15:00:00,115.15,12
2022-04-27 16:00:00,240.1,25
2022-04-27 17:00:00,566.3,40
2022-04-27 18:00:00,500.86,36
2022-04-27 19:00:00,345.17,32
2022-04-27 20:00:00,475.93,40
2022-04-27 21:00:00,136.45,12
2022-04-27 22:00:00,46.13,7
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,94.09,15
2022-04-28 12:00:00,214.4,24
2022-04-28 13:00:00,267.8,26
2022-04-28 14:00:00,113.31,13
2022-04-28 15:00:00,152.31,17
2022-04-28 16:00:00,236.55,21
2022-04-28 17:00:00,491.21,33
2022-04-28 18:00:00,749.46,51
2022-04-28 19:00:00,397.76,31
2022-04-28 20:00:00,398.82,31
2022-04-28 21:00:00,269.07,23
2022-04-28 22:00:00,100.63,12
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,368.9,34
2022-04-29 12:00:00,474.3,44
2022-04-29 13:00:00,301.38,35
2022-04-29 14:00:00,124.06,17
2022-04-29 15:00:00,336.48,31
2022-04-29 16:00:00,471.82,28
2022-04-29 17:00:00,795.23,46
2022-04-29 18:00:00,839.2,55
2022-04-29 19:00:00,549.6,45
2022-04-29 20:00:00,311.18,21
2022-04-29 21:00:00,448.71,33
2022-04-29 22:00:00,210.22,18
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,248.69,16
2022-04-30 12:00:00,200.3,21
2022-04-30 13:00:00,363.56,24
2022-04-30 14:00:00,288.05,27
2022-04-30 15:00:00,470.06,31
2022-04-30 16:00:00,488.31,35
2022-04-30 17:00:00,621.6,40
2022-04-30 18:00:00,1101.64,63
2022-04-30 19:00:00,888.83,59
2022-04-30 20:00:00,343.37,29
2022-04-30 21:00:00,397.44,34
2022-04-30 22:00:00,233.3,17
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,181.76,12
2022-05-01 12:00:00,377,29
2022-05-01 13:00:00,419.91,34
2022-05-01 14:00:00,196.04,17
2022-05-01 15:00:00,196.14,18
2022-05-01 16:00:00,429.96,36
2022-05-01 17:00:00,739.89,45
2022-05-01 18:00:00,712.82,50
