Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,2
2022-04-25 10:00:00,30.52,6
2022-04-25 11:00:00,247.96,28
2022-04-25 12:00:00,210.92,33
2022-04-25 13:00:00,318.15,48
2022-04-25 14:00:00,123.68,20
2022-04-25 15:00:00,83.84,13
2022-04-25 16:00:00,294.29,38
2022-04-25 17:00:00,258.01,33
2022-04-25 18:00:00,384.13,43
2022-04-25 19:00:00,421.94,34
2022-04-25 20:00:00,424.4,34
2022-04-25 21:00:00,134.56,13
2022-04-25 22:00:00,34.11,3
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,50.34,5
2022-04-26 11:00:00,121.26,17
2022-04-26 12:00:00,462.64,59
2022-04-26 13:00:00,440.71,55
2022-04-26 14:00:00,243.92,36
2022-04-26 15:00:00,231.75,32
2022-04-26 16:00:00,261.83,36
2022-04-26 17:00:00,363.43,41
2022-04-26 18:00:00,578.46,55
2022-04-26 19:00:00,687.7,60
2022-04-26 20:00:00,610.74,50
2022-04-26 21:00:00,226.21,17
2022-04-26 22:00:00,34.11,4
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,42.44,6
2022-04-27 11:00:00,365.08,36
2022-04-27 12:00:00,438.7,49
2022-04-27 13:00:00,409.02,54
2022-04-27 14:00:00,324.93,48
2022-04-27 15:00:00,189,27
2022-04-27 16:00:00,318.06,44
2022-04-27 17:00:00,536.49,59
2022-04-27 18:00:00,580.35,57
2022-04-27 19:00:00,566.45,55
2022-04-27 20:00:00,592.81,50
2022-04-27 21:00:00,211.63,19
2022-04-27 22:00:00,0,0
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,91.46,11
2022-04-28 11:00:00,228.2,25
2022-04-28 12:00:00,454.19,50
2022-04-28 13:00:00,447.63,60
2022-04-28 14:00:00,201.33,35
2022-04-28 15:00:00,226.29,30
2022-04-28 16:00:00,349.03,31
2022-04-28 17:00:00,438.2,49
2022-04-28 18:00:00,621.45,60
2022-04-28 19:00:00,812.24,61
2022-04-28 20:00:00,456.58,44
2022-04-28 21:00:00,201.92,16
2022-04-28 22:00:00,9.15,2
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,48.68,10
2022-04-29 11:00:00,337.71,39
2022-04-29 12:00:00,640.62,69
2022-04-29 13:00:00,603.13,72
2022-04-29 14:00:00,250.56,40
2022-04-29 15:00:00,235.37,30
2022-04-29 16:00:00,465.52,56
2022-04-29 17:00:00,676.94,68
2022-04-29 18:00:00,1173.08,98
2022-04-29 19:00:00,1014.96,82
2022-04-29 20:00:00,1148.56,83
2022-04-29 21:00:00,440.54,37
2022-04-29 22:00:00,96.93,8
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,31.93,6
2022-04-30 11:00:00,385.04,45
2022-04-30 12:00:00,856.87,88
2022-04-30 13:00:00,804.03,99
2022-04-30 14:00:00,705.86,84
2022-04-30 15:00:00,646.45,78
2022-04-30 16:00:00,690.33,70
2022-04-30 17:00:00,783.68,77
2022-04-30 18:00:00,954.93,82
2022-04-30 19:00:00,815.58,77
2022-04-30 20:00:00,718.13,57
2022-04-30 21:00:00,265.36,23
2022-04-30 22:00:00,52.31,5
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,49.25,8
2022-05-01 11:00:00,309.33,31
2022-05-01 12:00:00,776.7,74
2022-05-01 13:00:00,829.95,77
2022-05-01 14:00:00,768.83,78
2022-05-01 15:00:00,556.69,60
2022-05-01 16:00:00,471.98,55
2022-05-01 17:00:00,465.7,46
