Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,25.69,3
2022-04-25 11:00:00,156.84,22
2022-04-25 12:00:00,285.62,35
2022-04-25 13:00:00,200.28,32
2022-04-25 14:00:00,197.74,28
2022-04-25 15:00:00,313.63,39
2022-04-25 16:00:00,294.24,35
2022-04-25 17:00:00,342.34,32
2022-04-25 18:00:00,590.95,50
2022-04-25 19:00:00,459.93,38
2022-04-25 20:00:00,413.48,39
2022-04-25 21:00:00,199.03,16
2022-04-25 22:00:00,208.85,22
2022-04-25 23:00:00,143.67,15
2022-04-26 0:00:00,-18.46,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,2
2022-04-26 10:00:00,94.69,10
2022-04-26 11:00:00,146.72,21
2022-04-26 12:00:00,432.7,53
2022-04-26 13:00:00,412.59,49
2022-04-26 14:00:00,244.64,30
2022-04-26 15:00:00,273.04,40
2022-04-26 16:00:00,416.55,52
2022-04-26 17:00:00,541.46,60
2022-04-26 18:00:00,614.24,57
2022-04-26 19:00:00,735.28,74
2022-04-26 20:00:00,631.91,67
2022-04-26 21:00:00,415.44,40
2022-04-26 22:00:00,179.82,19
2022-04-26 23:00:00,62,8
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,36.75,4
2022-04-27 11:00:00,135.99,15
2022-04-27 12:00:00,361.41,43
2022-04-27 13:00:00,250.92,37
2022-04-27 14:00:00,210.74,28
2022-04-27 15:00:00,431.23,53
2022-04-27 16:00:00,261.11,35
2022-04-27 17:00:00,444.7,53
2022-04-27 18:00:00,719.55,55
2022-04-27 19:00:00,696.88,72
2022-04-27 20:00:00,589.21,59
2022-04-27 21:00:00,262.13,33
2022-04-27 22:00:00,116.9,13
2022-04-27 23:00:00,93.3,9
2022-04-28 0:00:00,3.98,2
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,42.52,6
2022-04-28 11:00:00,200.69,23
2022-04-28 12:00:00,464.06,56
2022-04-28 13:00:00,356.22,46
2022-04-28 14:00:00,267.26,32
2022-04-28 15:00:00,295.54,39
2022-04-28 16:00:00,278.57,31
2022-04-28 17:00:00,454.17,46
2022-04-28 18:00:00,683.04,57
2022-04-28 19:00:00,818.89,64
2022-04-28 20:00:00,567.43,49
2022-04-28 21:00:00,313.97,26
2022-04-28 22:00:00,300.71,31
2022-04-28 23:00:00,214.14,23
2022-04-29 0:00:00,81.28,11
2022-04-29 1:00:00,50.34,3
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,83.01,8
2022-04-29 11:00:00,203.89,26
2022-04-29 12:00:00,561.88,62
2022-04-29 13:00:00,449.83,61
2022-04-29 14:00:00,319.11,39
2022-04-29 15:00:00,376.64,40
2022-04-29 16:00:00,667.85,64
2022-04-29 17:00:00,787.03,71
2022-04-29 18:00:00,1107.54,94
2022-04-29 19:00:00,1286.93,96
2022-04-29 20:00:00,1300.32,105
2022-04-29 21:00:00,965.32,71
2022-04-29 22:00:00,334.08,30
2022-04-29 23:00:00,172.89,18
2022-04-30 0:00:00,51.4,8
2022-04-30 1:00:00,32.48,4
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,14.11,1
2022-04-30 11:00:00,304.8,30
2022-04-30 12:00:00,472.9,48
2022-04-30 13:00:00,586.89,57
2022-04-30 14:00:00,636.56,62
2022-04-30 15:00:00,542.28,47
2022-04-30 16:00:00,725.85,68
2022-04-30 17:00:00,712.9,65
2022-04-30 18:00:00,999.47,86
2022-04-30 19:00:00,840.85,73
2022-04-30 20:00:00,569.15,51
2022-04-30 21:00:00,542.17,50
2022-04-30 22:00:00,210.42,25
2022-04-30 23:00:00,275.01,27
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,40.11,7
2022-05-01 11:00:00,108.6,9
2022-05-01 12:00:00,398.45,37
2022-05-01 13:00:00,655.18,60
2022-05-01 14:00:00,454.72,42
2022-05-01 15:00:00,431.42,37
2022-05-01 16:00:00,615.89,67
