Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,27.01,4
2022-04-25 11:00:00,185.54,23
2022-04-25 12:00:00,398.28,54
2022-04-25 13:00:00,244.47,38
2022-04-25 14:00:00,127.4,23
2022-04-25 15:00:00,220.91,32
2022-04-25 16:00:00,155.56,21
2022-04-25 17:00:00,377.61,42
2022-04-25 18:00:00,570.27,55
2022-04-25 19:00:00,342.11,39
2022-04-25 20:00:00,391.64,37
2022-04-25 21:00:00,200.58,19
2022-04-25 22:00:00,112.87,11
2022-04-25 23:00:00,19.49,4
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,46.47,8
2022-04-26 11:00:00,112.06,25
2022-04-26 12:00:00,291.28,43
2022-04-26 13:00:00,318.31,44
2022-04-26 14:00:00,135.72,23
2022-04-26 15:00:00,154.97,23
2022-04-26 16:00:00,296.9,43
2022-04-26 17:00:00,237.13,29
2022-04-26 18:00:00,478.96,55
2022-04-26 19:00:00,476.44,51
2022-04-26 20:00:00,409,41
2022-04-26 21:00:00,207.63,21
2022-04-26 22:00:00,99.44,13
2022-04-26 23:00:00,31.4,5
2022-04-27 0:00:00,0,1
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,54.26,15
2022-04-27 11:00:00,210.47,32
2022-04-27 12:00:00,419.66,54
2022-04-27 13:00:00,390.28,51
2022-04-27 14:00:00,203.09,35
2022-04-27 15:00:00,249.12,32
2022-04-27 16:00:00,241.33,32
2022-04-27 17:00:00,473.14,52
2022-04-27 18:00:00,489.23,49
2022-04-27 19:00:00,699.71,70
2022-04-27 20:00:00,556.09,46
2022-04-27 21:00:00,137.16,19
2022-04-27 22:00:00,26.28,4
2022-04-27 23:00:00,7.01,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,76.64,9
2022-04-28 11:00:00,155.8,22
2022-04-28 12:00:00,385.64,49
2022-04-28 13:00:00,392.81,47
2022-04-28 14:00:00,200.98,33
2022-04-28 15:00:00,349.38,45
2022-04-28 16:00:00,394.81,46
2022-04-28 17:00:00,602.03,65
2022-04-28 18:00:00,777.35,69
2022-04-28 19:00:00,666.32,61
2022-04-28 20:00:00,448.29,47
2022-04-28 21:00:00,142.88,16
2022-04-28 22:00:00,194.8,23
2022-04-28 23:00:00,45.18,6
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,96.63,16
2022-04-29 11:00:00,261.44,31
2022-04-29 12:00:00,591.62,77
2022-04-29 13:00:00,560.13,79
2022-04-29 14:00:00,350.49,48
2022-04-29 15:00:00,223.02,29
2022-04-29 16:00:00,575.69,46
2022-04-29 17:00:00,831.86,72
2022-04-29 18:00:00,901.11,78
2022-04-29 19:00:00,945.14,74
2022-04-29 20:00:00,678.23,60
2022-04-29 21:00:00,477.74,46
2022-04-29 22:00:00,133.77,17
2022-04-29 23:00:00,63.39,9
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,17.71,4
2022-04-30 11:00:00,183.02,21
2022-04-30 12:00:00,383,42
2022-04-30 13:00:00,482.94,55
2022-04-30 14:00:00,316.02,41
2022-04-30 15:00:00,400.76,49
2022-04-30 16:00:00,406.35,54
2022-04-30 17:00:00,894.69,67
2022-04-30 18:00:00,785.6,79
2022-04-30 19:00:00,890.01,78
2022-04-30 20:00:00,399.14,37
2022-04-30 21:00:00,514.01,47
2022-04-30 22:00:00,144.25,15
2022-04-30 23:00:00,38.98,6
2022-05-01 0:00:00,4.57,1
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,32.01,3
2022-05-01 11:00:00,238.99,25
2022-05-01 12:00:00,425.85,41
2022-05-01 13:00:00,635.48,63
2022-05-01 14:00:00,504.53,43
2022-05-01 15:00:00,331.8,34
2022-05-01 16:00:00,317.24,34
2022-05-01 17:00:00,704.55,53
