Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,2
2022-04-25 10:00:00,16.85,4
2022-04-25 11:00:00,186.99,17
2022-04-25 12:00:00,262.08,30
2022-04-25 13:00:00,253.77,35
2022-04-25 14:00:00,185.63,24
2022-04-25 15:00:00,219.4,17
2022-04-25 16:00:00,302.99,29
2022-04-25 17:00:00,275.63,25
2022-04-25 18:00:00,398.66,33
2022-04-25 19:00:00,340.84,28
2022-04-25 20:00:00,234.78,19
2022-04-25 21:00:00,198.33,16
2022-04-25 22:00:00,86.47,7
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,53.14,6
2022-04-26 11:00:00,190.01,23
2022-04-26 12:00:00,283.11,39
2022-04-26 13:00:00,255.93,36
2022-04-26 14:00:00,166.07,27
2022-04-26 15:00:00,241.29,32
2022-04-26 16:00:00,343.8,38
2022-04-26 17:00:00,482.93,40
2022-04-26 18:00:00,625.77,49
2022-04-26 19:00:00,662.13,49
2022-04-26 20:00:00,257.08,30
2022-04-26 21:00:00,250.49,20
2022-04-26 22:00:00,158.64,12
2022-04-26 23:00:00,0,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,16.68,3
2022-04-27 11:00:00,62.14,10
2022-04-27 12:00:00,202.24,29
2022-04-27 13:00:00,282.65,36
2022-04-27 14:00:00,195.22,28
2022-04-27 15:00:00,131.3,15
2022-04-27 16:00:00,221.13,32
2022-04-27 17:00:00,320.21,28
2022-04-27 18:00:00,568.45,54
2022-04-27 19:00:00,526.13,43
2022-04-27 20:00:00,288.73,27
2022-04-27 21:00:00,172.48,17
2022-04-27 22:00:00,76.71,5
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,67.46,11
2022-04-28 11:00:00,214.04,23
2022-04-28 12:00:00,283.42,37
2022-04-28 13:00:00,286.82,35
2022-04-28 14:00:00,312.16,38
2022-04-28 15:00:00,234.91,19
2022-04-28 16:00:00,293.52,25
2022-04-28 17:00:00,246.72,29
2022-04-28 18:00:00,705.95,52
2022-04-28 19:00:00,580.91,46
2022-04-28 20:00:00,351.7,28
2022-04-28 21:00:00,277.16,21
2022-04-28 22:00:00,114.96,11
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,59.3,10
2022-04-29 11:00:00,184.86,19
2022-04-29 12:00:00,335.06,40
2022-04-29 13:00:00,274.5,38
2022-04-29 14:00:00,283.45,27
2022-04-29 15:00:00,246.81,28
2022-04-29 16:00:00,381.58,34
2022-04-29 17:00:00,643.14,53
2022-04-29 18:00:00,864.13,64
2022-04-29 19:00:00,779.22,62
2022-04-29 20:00:00,686.74,60
2022-04-29 21:00:00,431.72,37
2022-04-29 22:00:00,233.67,17
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,79.01,6
2022-04-30 11:00:00,164.34,17
2022-04-30 12:00:00,392.93,41
2022-04-30 13:00:00,409.89,43
2022-04-30 14:00:00,470.82,46
2022-04-30 15:00:00,356.66,36
2022-04-30 16:00:00,225.72,21
2022-04-30 17:00:00,824.03,63
2022-04-30 18:00:00,661.21,55
2022-04-30 19:00:00,556.31,53
2022-04-30 20:00:00,572.75,48
2022-04-30 21:00:00,236.69,21
2022-04-30 22:00:00,153.91,14
2022-04-30 23:00:00,-12,1
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,104.52,9
2022-05-01 11:00:00,150.53,20
2022-05-01 12:00:00,412.21,34
2022-05-01 13:00:00,483.33,43
2022-05-01 14:00:00,427.39,31
2022-05-01 15:00:00,521.96,44
2022-05-01 16:00:00,340.85,36
2022-05-01 17:00:00,352.34,28
