Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,47.29,11
2022-04-25 11:00:00,230.29,29
2022-04-25 12:00:00,499.88,78
2022-04-25 13:00:00,350.88,53
2022-04-25 14:00:00,167.45,24
2022-04-25 15:00:00,219.01,25
2022-04-25 16:00:00,426.35,49
2022-04-25 17:00:00,437.09,45
2022-04-25 18:00:00,610.52,58
2022-04-25 19:00:00,493.46,47
2022-04-25 20:00:00,302.4,28
2022-04-25 21:00:00,284.45,30
2022-04-25 22:00:00,82.31,8
2022-04-25 23:00:00,51.1,6
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,14.96,4
2022-04-26 11:00:00,135.17,23
2022-04-26 12:00:00,436.97,61
2022-04-26 13:00:00,377.65,49
2022-04-26 14:00:00,250.04,33
2022-04-26 15:00:00,249.58,35
2022-04-26 16:00:00,360.31,49
2022-04-26 17:00:00,535.67,52
2022-04-26 18:00:00,765.02,66
2022-04-26 19:00:00,663.14,64
2022-04-26 20:00:00,558.15,50
2022-04-26 21:00:00,420.74,39
2022-04-26 22:00:00,63.07,7
2022-04-26 23:00:00,33.35,4
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,19.16,6
2022-04-27 11:00:00,201.87,32
2022-04-27 12:00:00,603.17,92
2022-04-27 13:00:00,312.02,47
2022-04-27 14:00:00,215.96,26
2022-04-27 15:00:00,294.18,35
2022-04-27 16:00:00,225.7,31
2022-04-27 17:00:00,609.84,44
2022-04-27 18:00:00,537.44,51
2022-04-27 19:00:00,653.7,59
2022-04-27 20:00:00,406.57,37
2022-04-27 21:00:00,230.95,24
2022-04-27 22:00:00,197.68,19
2022-04-27 23:00:00,86.34,8
2022-04-28 0:00:00,48.37,4
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,79.1,11
2022-04-28 11:00:00,226.16,28
2022-04-28 12:00:00,553.68,75
2022-04-28 13:00:00,446.77,62
2022-04-28 14:00:00,297.8,36
2022-04-28 15:00:00,358.37,39
2022-04-28 16:00:00,346.06,40
2022-04-28 17:00:00,561.18,58
2022-04-28 18:00:00,600.83,58
2022-04-28 19:00:00,785.8,73
2022-04-28 20:00:00,543.23,53
2022-04-28 21:00:00,333.18,30
2022-04-28 22:00:00,268.44,22
2022-04-28 23:00:00,87.77,9
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,1
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,111.17,14
2022-04-29 11:00:00,238.09,29
2022-04-29 12:00:00,623.08,87
2022-04-29 13:00:00,502.97,63
2022-04-29 14:00:00,254.78,29
2022-04-29 15:00:00,283.42,38
2022-04-29 16:00:00,549.72,60
2022-04-29 17:00:00,692.78,76
2022-04-29 18:00:00,817.81,84
2022-04-29 19:00:00,1012.12,84
2022-04-29 20:00:00,789.84,73
2022-04-29 21:00:00,592.88,59
2022-04-29 22:00:00,210.76,16
2022-04-29 23:00:00,227.1,20
2022-04-30 0:00:00,20.01,6
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,122.92,11
2022-04-30 11:00:00,356.98,32
2022-04-30 12:00:00,529.01,54
2022-04-30 13:00:00,573.99,56
2022-04-30 14:00:00,535.84,64
2022-04-30 15:00:00,589.84,53
2022-04-30 16:00:00,589.13,55
2022-04-30 17:00:00,702.7,67
2022-04-30 18:00:00,822.91,61
2022-04-30 19:00:00,960.91,78
2022-04-30 20:00:00,517.93,45
2022-04-30 21:00:00,527.93,48
2022-04-30 22:00:00,204.56,17
2022-04-30 23:00:00,108.8,13
2022-05-01 0:00:00,24.15,4
2022-05-01 1:00:00,0,4
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,110.02,12
2022-05-01 11:00:00,217.05,24
2022-05-01 12:00:00,495.61,46
2022-05-01 13:00:00,732.49,60
2022-05-01 14:00:00,547.71,53
2022-05-01 15:00:00,650.51,65
2022-05-01 16:00:00,497.53,46
