Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,169.15,18
2022-04-25 12:00:00,259.29,31
2022-04-25 13:00:00,326.11,40
2022-04-25 14:00:00,131.31,22
2022-04-25 15:00:00,196.31,32
2022-04-25 16:00:00,274.09,32
2022-04-25 17:00:00,263.97,35
2022-04-25 18:00:00,271.82,22
2022-04-25 19:00:00,284.12,26
2022-04-25 20:00:00,269.95,26
2022-04-25 21:00:00,123.62,15
2022-04-25 22:00:00,56.9,9
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,108.11,12
2022-04-26 12:00:00,245.45,37
2022-04-26 13:00:00,165.24,36
2022-04-26 14:00:00,118.42,17
2022-04-26 15:00:00,248.25,40
2022-04-26 16:00:00,178.29,31
2022-04-26 17:00:00,310.02,38
2022-04-26 18:00:00,434.56,34
2022-04-26 19:00:00,415.17,28
2022-04-26 20:00:00,267.43,24
2022-04-26 21:00:00,226.6,21
2022-04-26 22:00:00,78.13,8
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,150.43,18
2022-04-27 12:00:00,219.8,26
2022-04-27 13:00:00,265.01,47
2022-04-27 14:00:00,130.82,19
2022-04-27 15:00:00,169.04,30
2022-04-27 16:00:00,307.99,35
2022-04-27 17:00:00,280.42,29
2022-04-27 18:00:00,402.4,45
2022-04-27 19:00:00,433.32,40
2022-04-27 20:00:00,217.81,22
2022-04-27 21:00:00,167.17,17
2022-04-27 22:00:00,94.44,12
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,145.07,17
2022-04-28 12:00:00,194.19,24
2022-04-28 13:00:00,208.59,42
2022-04-28 14:00:00,153.07,24
2022-04-28 15:00:00,88.5,16
2022-04-28 16:00:00,260.23,27
2022-04-28 17:00:00,306.29,33
2022-04-28 18:00:00,350.9,39
2022-04-28 19:00:00,480.87,39
2022-04-28 20:00:00,431.18,31
2022-04-28 21:00:00,141.24,13
2022-04-28 22:00:00,113.06,14
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,148.9,21
2022-04-29 12:00:00,424.72,49
2022-04-29 13:00:00,328.42,59
2022-04-29 14:00:00,154.38,25
2022-04-29 15:00:00,235.97,27
2022-04-29 16:00:00,380.35,47
2022-04-29 17:00:00,629.15,54
2022-04-29 18:00:00,837.88,67
2022-04-29 19:00:00,719.35,51
2022-04-29 20:00:00,571.69,45
2022-04-29 21:00:00,532.78,40
2022-04-29 22:00:00,63.28,6
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,190.98,19
2022-04-30 12:00:00,206.67,18
2022-04-30 13:00:00,322.6,36
2022-04-30 14:00:00,372.81,53
2022-04-30 15:00:00,328.94,22
2022-04-30 16:00:00,309.89,27
2022-04-30 17:00:00,431.12,37
2022-04-30 18:00:00,603.65,43
2022-04-30 19:00:00,529.34,47
2022-04-30 20:00:00,600.71,53
2022-04-30 21:00:00,262.79,24
2022-04-30 22:00:00,96.4,11
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,122.76,12
2022-05-01 12:00:00,255.85,30
2022-05-01 13:00:00,290.61,25
2022-05-01 14:00:00,361.13,35
2022-05-01 15:00:00,315.48,27
2022-05-01 16:00:00,263.68,25
2022-05-01 17:00:00,556.96,45
2022-05-01 18:00:00,495.76,41
