Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,133.93,26
2022-04-25 11:00:00,142.95,32
2022-04-25 12:00:00,355.41,50
2022-04-25 13:00:00,294.86,51
2022-04-25 14:00:00,328.13,61
2022-04-25 15:00:00,254.07,43
2022-04-25 16:00:00,363.85,58
2022-04-25 17:00:00,236.86,32
2022-04-25 18:00:00,66.12,14
2022-04-25 19:00:00,0,0
2022-04-25 20:00:00,0,0
2022-04-25 21:00:00,0,0
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,32.43,6
2022-04-26 10:00:00,144.45,29
2022-04-26 11:00:00,237.29,49
2022-04-26 12:00:00,359.74,67
2022-04-26 13:00:00,464.12,77
2022-04-26 14:00:00,337.49,52
2022-04-26 15:00:00,246.17,46
2022-04-26 16:00:00,239.54,48
2022-04-26 17:00:00,406.48,54
2022-04-26 18:00:00,132.36,28
2022-04-26 19:00:00,0,1
2022-04-26 20:00:00,0,0
2022-04-26 21:00:00,0,0
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,38.68,6
2022-04-27 10:00:00,111.64,16
2022-04-27 11:00:00,252.11,44
2022-04-27 12:00:00,280.31,51
2022-04-27 13:00:00,399.13,78
2022-04-27 14:00:00,540.56,79
2022-04-27 15:00:00,272.98,45
2022-04-27 16:00:00,507.54,71
2022-04-27 17:00:00,343.89,51
2022-04-27 18:00:00,102.25,17
2022-04-27 19:00:00,0,0
2022-04-27 20:00:00,0,0
2022-04-27 21:00:00,0,0
2022-04-27 22:00:00,0,0
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,16.21,4
2022-04-28 10:00:00,123.24,25
2022-04-28 11:00:00,144.24,26
2022-04-28 12:00:00,477.43,72
2022-04-28 13:00:00,294.33,52
2022-04-28 14:00:00,307.54,60
2022-04-28 15:00:00,279.69,43
2022-04-28 16:00:00,460.19,59
2022-04-28 17:00:00,283.06,46
2022-04-28 18:00:00,130.47,29
2022-04-28 19:00:00,0,0
2022-04-28 20:00:00,0,0
2022-04-28 21:00:00,0,0
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,1
2022-04-29 9:00:00,38.41,8
2022-04-29 10:00:00,181.71,34
2022-04-29 11:00:00,339,49
2022-04-29 12:00:00,500.17,70
2022-04-29 13:00:00,371.71,66
2022-04-29 14:00:00,459.84,75
2022-04-29 15:00:00,423.18,63
2022-04-29 16:00:00,430.77,62
2022-04-29 17:00:00,368.39,57
2022-04-29 18:00:00,291.13,40
2022-04-29 19:00:00,230.21,22
2022-04-29 20:00:00,0,0
2022-04-29 21:00:00,0,0
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,16.46,1
2022-04-30 10:00:00,191.16,24
2022-04-30 11:00:00,350.51,44
2022-04-30 12:00:00,539.93,86
2022-04-30 13:00:00,538.33,80
2022-04-30 14:00:00,574.56,86
2022-04-30 15:00:00,639.53,89
2022-04-30 16:00:00,497.85,70
2022-04-30 17:00:00,459.18,65
2022-04-30 18:00:00,416.4,42
2022-04-30 19:00:00,127.64,8
2022-04-30 20:00:00,0,0
2022-04-30 21:00:00,0,0
2022-04-30 22:00:00,0,0
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,154.76,21
2022-05-01 12:00:00,364.7,51
2022-05-01 13:00:00,473.88,62
2022-05-01 14:00:00,467.55,57
2022-05-01 15:00:00,512.22,57
2022-05-01 16:00:00,298.34,45
2022-05-01 17:00:00,0,0
2022-05-01 18:00:00,0,0
2022-05-01 19:00:00,0,0
2022-05-01 20:00:00,0,0
