Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,3
2022-04-25 10:00:00,66.46,10
2022-04-25 11:00:00,81.88,11
2022-04-25 12:00:00,126.75,18
2022-04-25 13:00:00,181.22,28
2022-04-25 14:00:00,205.67,29
2022-04-25 15:00:00,211.26,21
2022-04-25 16:00:00,178.21,23
2022-04-25 17:00:00,277.76,32
2022-04-25 18:00:00,372.74,29
2022-04-25 19:00:00,374.7,38
2022-04-25 20:00:00,187.13,24
2022-04-25 21:00:00,136.64,14
2022-04-25 22:00:00,65.74,8
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,98.9,11
2022-04-26 11:00:00,65.67,12
2022-04-26 12:00:00,310.66,41
2022-04-26 13:00:00,311.02,46
2022-04-26 14:00:00,198.75,30
2022-04-26 15:00:00,235.21,28
2022-04-26 16:00:00,179.6,30
2022-04-26 17:00:00,313.97,35
2022-04-26 18:00:00,406.35,44
2022-04-26 19:00:00,392.33,48
2022-04-26 20:00:00,209.62,19
2022-04-26 21:00:00,240.37,24
2022-04-26 22:00:00,38.78,9
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,26.92,6
2022-04-27 11:00:00,57.42,7
2022-04-27 12:00:00,349.55,44
2022-04-27 13:00:00,255.64,35
2022-04-27 14:00:00,107.74,18
2022-04-27 15:00:00,172.41,26
2022-04-27 16:00:00,193.68,28
2022-04-27 17:00:00,432.86,47
2022-04-27 18:00:00,597.9,54
2022-04-27 19:00:00,385.91,40
2022-04-27 20:00:00,232.53,30
2022-04-27 21:00:00,189.28,19
2022-04-27 22:00:00,162.28,15
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,18.37,5
2022-04-28 11:00:00,153.81,17
2022-04-28 12:00:00,351.5,46
2022-04-28 13:00:00,345.56,37
2022-04-28 14:00:00,124.17,23
2022-04-28 15:00:00,168.67,25
2022-04-28 16:00:00,211.12,27
2022-04-28 17:00:00,541.33,41
2022-04-28 18:00:00,578.4,45
2022-04-28 19:00:00,517.58,42
2022-04-28 20:00:00,493.16,52
2022-04-28 21:00:00,121.5,16
2022-04-28 22:00:00,99.41,9
2022-04-28 23:00:00,-2.91,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,1
2022-04-29 10:00:00,31.3,5
2022-04-29 11:00:00,238.15,27
2022-04-29 12:00:00,297.22,40
2022-04-29 13:00:00,277.43,38
2022-04-29 14:00:00,299.97,38
2022-04-29 15:00:00,267.23,39
2022-04-29 16:00:00,343.74,36
2022-04-29 17:00:00,519.28,51
2022-04-29 18:00:00,810.1,66
2022-04-29 19:00:00,634.26,61
2022-04-29 20:00:00,399.28,47
2022-04-29 21:00:00,415.22,40
2022-04-29 22:00:00,236.94,26
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,81.26,12
2022-04-30 11:00:00,66.8,9
2022-04-30 12:00:00,493.7,39
2022-04-30 13:00:00,213.4,33
2022-04-30 14:00:00,293.11,33
2022-04-30 15:00:00,362.46,32
2022-04-30 16:00:00,308.79,31
2022-04-30 17:00:00,566.66,51
2022-04-30 18:00:00,744.19,59
2022-04-30 19:00:00,553.22,49
2022-04-30 20:00:00,448.3,44
2022-04-30 21:00:00,471.45,39
2022-04-30 22:00:00,158.68,21
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,1
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,55.69,10
2022-05-01 11:00:00,153.57,16
2022-05-01 12:00:00,255.47,26
2022-05-01 13:00:00,364.87,40
2022-05-01 14:00:00,377.25,36
2022-05-01 15:00:00,388.08,40
2022-05-01 16:00:00,339.09,34
2022-05-01 17:00:00,345.32,33
