Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,64.26,6
2022-04-25 12:00:00,205.24,23
2022-04-25 13:00:00,129.43,20
2022-04-25 14:00:00,88.07,9
2022-04-25 15:00:00,79.88,11
2022-04-25 16:00:00,143.75,16
2022-04-25 17:00:00,259.79,21
2022-04-25 18:00:00,257.58,26
2022-04-25 19:00:00,203.05,20
2022-04-25 20:00:00,258.2,20
2022-04-25 21:00:00,83.85,9
2022-04-25 22:00:00,82.05,9
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,99.61,12
2022-04-26 12:00:00,236.17,22
2022-04-26 13:00:00,155.21,23
2022-04-26 14:00:00,68.22,12
2022-04-26 15:00:00,120.23,13
2022-04-26 16:00:00,168.4,20
2022-04-26 17:00:00,342.6,28
2022-04-26 18:00:00,356.59,35
2022-04-26 19:00:00,308,33
2022-04-26 20:00:00,233.24,22
2022-04-26 21:00:00,108.31,14
2022-04-26 22:00:00,62.62,9
2022-04-26 23:00:00,-12.45,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,68.44,6
2022-04-27 12:00:00,188.46,25
2022-04-27 13:00:00,162.11,24
2022-04-27 14:00:00,66.34,11
2022-04-27 15:00:00,84.28,13
2022-04-27 16:00:00,211.15,23
2022-04-27 17:00:00,308.6,26
2022-04-27 18:00:00,287.45,24
2022-04-27 19:00:00,368.22,29
2022-04-27 20:00:00,278.7,26
2022-04-27 21:00:00,62.02,10
2022-04-27 22:00:00,3.03,4
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,55.95,8
2022-04-28 12:00:00,255.05,23
2022-04-28 13:00:00,142.93,22
2022-04-28 14:00:00,173.33,14
2022-04-28 15:00:00,191.8,17
2022-04-28 16:00:00,215.23,17
2022-04-28 17:00:00,343.93,30
2022-04-28 18:00:00,463.75,38
2022-04-28 19:00:00,426.81,29
2022-04-28 20:00:00,128.4,16
2022-04-28 21:00:00,190.91,16
2022-04-28 22:00:00,30.82,4
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,176.48,18
2022-04-29 12:00:00,319.26,23
2022-04-29 13:00:00,209.35,27
2022-04-29 14:00:00,147.03,20
2022-04-29 15:00:00,128.28,12
2022-04-29 16:00:00,210.84,18
2022-04-29 17:00:00,433.61,34
2022-04-29 18:00:00,625.26,41
2022-04-29 19:00:00,561.3,41
2022-04-29 20:00:00,420.73,37
2022-04-29 21:00:00,107.68,11
2022-04-29 22:00:00,73.35,8
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,179.82,14
2022-04-30 12:00:00,211.58,22
2022-04-30 13:00:00,151.05,15
2022-04-30 14:00:00,156.63,23
2022-04-30 15:00:00,174.25,17
2022-04-30 16:00:00,286.57,29
2022-04-30 17:00:00,487.48,42
2022-04-30 18:00:00,437.59,33
2022-04-30 19:00:00,434,30
2022-04-30 20:00:00,466.13,33
2022-04-30 21:00:00,105.01,11
2022-04-30 22:00:00,97.02,7
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,166.61,13
2022-05-01 12:00:00,218.23,22
2022-05-01 13:00:00,190.02,14
2022-05-01 14:00:00,249,22
2022-05-01 15:00:00,225.18,24
2022-05-01 16:00:00,228.57,18
2022-05-01 17:00:00,349.38,26
2022-05-01 18:00:00,356.38,32
