Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,3
2022-04-25 10:00:00,64.34,9
2022-04-25 11:00:00,149.26,17
2022-04-25 12:00:00,330.05,35
2022-04-25 13:00:00,424.94,55
2022-04-25 14:00:00,246.82,32
2022-04-25 15:00:00,298.09,42
2022-04-25 16:00:00,285.65,36
2022-04-25 17:00:00,478.56,49
2022-04-25 18:00:00,700.26,67
2022-04-25 19:00:00,394.13,43
2022-04-25 20:00:00,287.34,29
2022-04-25 21:00:00,186.34,19
2022-04-25 22:00:00,59.98,7
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,114.17,15
2022-04-26 11:00:00,143.55,21
2022-04-26 12:00:00,371.77,51
2022-04-26 13:00:00,337.81,53
2022-04-26 14:00:00,307.36,42
2022-04-26 15:00:00,373.43,54
2022-04-26 16:00:00,469.21,57
2022-04-26 17:00:00,630.43,72
2022-04-26 18:00:00,703.58,70
2022-04-26 19:00:00,783.81,65
2022-04-26 20:00:00,374.2,40
2022-04-26 21:00:00,250.29,28
2022-04-26 22:00:00,94.81,12
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,46.98,9
2022-04-27 11:00:00,171.18,22
2022-04-27 12:00:00,327.86,46
2022-04-27 13:00:00,532.1,72
2022-04-27 14:00:00,414.36,52
2022-04-27 15:00:00,217.9,32
2022-04-27 16:00:00,350.92,39
2022-04-27 17:00:00,455.34,47
2022-04-27 18:00:00,776.9,65
2022-04-27 19:00:00,625.18,65
2022-04-27 20:00:00,493.99,51
2022-04-27 21:00:00,246.32,30
2022-04-27 22:00:00,136.76,15
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,44.14,9
2022-04-28 11:00:00,209.41,25
2022-04-28 12:00:00,444.7,60
2022-04-28 13:00:00,369.1,53
2022-04-28 14:00:00,336.21,43
2022-04-28 15:00:00,435.27,51
2022-04-28 16:00:00,501.67,57
2022-04-28 17:00:00,548.99,59
2022-04-28 18:00:00,837.23,80
2022-04-28 19:00:00,761.69,68
2022-04-28 20:00:00,474.25,51
2022-04-28 21:00:00,307.12,36
2022-04-28 22:00:00,62.71,12
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,118.56,15
2022-04-29 11:00:00,321.75,36
2022-04-29 12:00:00,654.21,62
2022-04-29 13:00:00,642.21,85
2022-04-29 14:00:00,513.33,68
2022-04-29 15:00:00,537.26,61
2022-04-29 16:00:00,657.76,68
2022-04-29 17:00:00,852.84,78
2022-04-29 18:00:00,1116.91,94
2022-04-29 19:00:00,858.23,85
2022-04-29 20:00:00,457.34,53
2022-04-29 21:00:00,379.84,40
2022-04-29 22:00:00,154.84,15
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,50.92,5
2022-04-30 11:00:00,251.45,34
2022-04-30 12:00:00,920.29,85
2022-04-30 13:00:00,1003.54,103
2022-04-30 14:00:00,1026.39,99
2022-04-30 15:00:00,822.15,89
2022-04-30 16:00:00,884.22,86
2022-04-30 17:00:00,831.81,71
2022-04-30 18:00:00,795.81,67
2022-04-30 19:00:00,705.06,64
2022-04-30 20:00:00,564.73,43
2022-04-30 21:00:00,369.2,33
2022-04-30 22:00:00,134.8,13
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,66.59,8
2022-05-01 11:00:00,433.64,40
2022-05-01 12:00:00,803.14,69
2022-05-01 13:00:00,1192.86,104
2022-05-01 14:00:00,1118.59,100
2022-05-01 15:00:00,751.1,79
2022-05-01 16:00:00,554.31,62
2022-05-01 17:00:00,580.42,56
