Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,108.5,10
2022-04-25 11:00:00,156.34,22
2022-04-25 12:00:00,562.4,59
2022-04-25 13:00:00,334.24,40
2022-04-25 14:00:00,353.77,35
2022-04-25 15:00:00,245.03,27
2022-04-25 16:00:00,451.44,37
2022-04-25 17:00:00,645.85,46
2022-04-25 18:00:00,805.78,70
2022-04-25 19:00:00,725.54,61
2022-04-25 20:00:00,610.86,50
2022-04-25 21:00:00,487.63,40
2022-04-25 22:00:00,183.29,13
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,45.08,6
2022-04-26 11:00:00,428.96,42
2022-04-26 12:00:00,401.86,49
2022-04-26 13:00:00,322.84,47
2022-04-26 14:00:00,207.07,25
2022-04-26 15:00:00,348.01,35
2022-04-26 16:00:00,643.98,55
2022-04-26 17:00:00,918.14,79
2022-04-26 18:00:00,892.86,75
2022-04-26 19:00:00,716.29,65
2022-04-26 20:00:00,653.91,52
2022-04-26 21:00:00,318.7,35
2022-04-26 22:00:00,81.77,11
2022-04-26 23:00:00,0,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,59.68,6
2022-04-27 11:00:00,305.51,30
2022-04-27 12:00:00,532.45,61
2022-04-27 13:00:00,402.73,52
2022-04-27 14:00:00,109.61,20
2022-04-27 15:00:00,190.43,20
2022-04-27 16:00:00,408.24,30
2022-04-27 17:00:00,826.83,65
2022-04-27 18:00:00,902.27,62
2022-04-27 19:00:00,687.55,55
2022-04-27 20:00:00,607.48,49
2022-04-27 21:00:00,262.28,24
2022-04-27 22:00:00,79.08,9
2022-04-27 23:00:00,0,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,101.18,9
2022-04-28 11:00:00,237.74,22
2022-04-28 12:00:00,506.83,53
2022-04-28 13:00:00,446.44,47
2022-04-28 14:00:00,373.59,39
2022-04-28 15:00:00,208.62,28
2022-04-28 16:00:00,627.32,54
2022-04-28 17:00:00,810.8,56
2022-04-28 18:00:00,1099.77,81
2022-04-28 19:00:00,1000.14,81
2022-04-28 20:00:00,740.77,59
2022-04-28 21:00:00,296.55,25
2022-04-28 22:00:00,202.7,21
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,53.54,7
2022-04-29 11:00:00,353.91,30
2022-04-29 12:00:00,743.42,72
2022-04-29 13:00:00,601.19,58
2022-04-29 14:00:00,347.66,43
2022-04-29 15:00:00,430.55,40
2022-04-29 16:00:00,736.06,62
2022-04-29 17:00:00,1462.58,101
2022-04-29 18:00:00,1363.46,93
2022-04-29 19:00:00,1177.21,86
2022-04-29 20:00:00,1305.56,85
2022-04-29 21:00:00,612.61,51
2022-04-29 22:00:00,194.04,19
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,115.58,9
2022-04-30 11:00:00,496.93,41
2022-04-30 12:00:00,766.94,64
2022-04-30 13:00:00,697.36,52
2022-04-30 14:00:00,792.86,72
2022-04-30 15:00:00,499.87,44
2022-04-30 16:00:00,764.56,60
2022-04-30 17:00:00,1369.97,88
2022-04-30 18:00:00,1362.88,96
2022-04-30 19:00:00,1371.19,100
2022-04-30 20:00:00,654.69,53
2022-04-30 21:00:00,475.91,44
2022-04-30 22:00:00,128.11,14
2022-04-30 23:00:00,0,1
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,79.77,7
2022-05-01 11:00:00,380.91,27
2022-05-01 12:00:00,1013.36,70
2022-05-01 13:00:00,895.96,75
2022-05-01 14:00:00,824.16,65
2022-05-01 15:00:00,733.9,57
2022-05-01 16:00:00,889.75,76
2022-05-01 17:00:00,1109.61,69
