Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,2
2022-04-25 10:00:00,78.51,17
2022-04-25 11:00:00,269.93,27
2022-04-25 12:00:00,434.24,55
2022-04-25 13:00:00,295.84,38
2022-04-25 14:00:00,401.89,46
2022-04-25 15:00:00,330.7,34
2022-04-25 16:00:00,209.16,24
2022-04-25 17:00:00,572.76,50
2022-04-25 18:00:00,663.77,59
2022-04-25 19:00:00,920.64,64
2022-04-25 20:00:00,596.49,44
2022-04-25 21:00:00,347.5,31
2022-04-25 22:00:00,295.86,23
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,1
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,66.32,13
2022-04-26 11:00:00,387.98,52
2022-04-26 12:00:00,386.24,47
2022-04-26 13:00:00,457.29,53
2022-04-26 14:00:00,280.9,41
2022-04-26 15:00:00,244.4,29
2022-04-26 16:00:00,531.38,47
2022-04-26 17:00:00,742.91,62
2022-04-26 18:00:00,1031.17,94
2022-04-26 19:00:00,1206.73,96
2022-04-26 20:00:00,775.28,83
2022-04-26 21:00:00,615.69,63
2022-04-26 22:00:00,324.84,29
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,91.34,10
2022-04-27 11:00:00,137.98,19
2022-04-27 12:00:00,468.72,50
2022-04-27 13:00:00,375.73,44
2022-04-27 14:00:00,278.97,42
2022-04-27 15:00:00,250.41,30
2022-04-27 16:00:00,304.15,35
2022-04-27 17:00:00,723.27,56
2022-04-27 18:00:00,1191.2,92
2022-04-27 19:00:00,968.24,90
2022-04-27 20:00:00,656.32,58
2022-04-27 21:00:00,454.54,39
2022-04-27 22:00:00,219.73,23
2022-04-27 23:00:00,23.52,2
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,35.31,8
2022-04-28 11:00:00,379.66,35
2022-04-28 12:00:00,592.24,61
2022-04-28 13:00:00,559.46,62
2022-04-28 14:00:00,330.35,42
2022-04-28 15:00:00,390.51,39
2022-04-28 16:00:00,422.22,42
2022-04-28 17:00:00,803.54,70
2022-04-28 18:00:00,1262.6,92
2022-04-28 19:00:00,1007.7,83
2022-04-28 20:00:00,616.69,57
2022-04-28 21:00:00,597.26,46
2022-04-28 22:00:00,384.41,32
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,194.48,19
2022-04-29 11:00:00,350.33,37
2022-04-29 12:00:00,925.34,87
2022-04-29 13:00:00,750.24,76
2022-04-29 14:00:00,392.74,48
2022-04-29 15:00:00,391.12,36
2022-04-29 16:00:00,653.99,55
2022-04-29 17:00:00,1152.1,88
2022-04-29 18:00:00,1774.86,120
2022-04-29 19:00:00,1590.5,112
2022-04-29 20:00:00,1298.47,95
2022-04-29 21:00:00,748.78,70
2022-04-29 22:00:00,569.67,52
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,90.24,11
2022-04-30 11:00:00,466.5,46
2022-04-30 12:00:00,630.03,67
2022-04-30 13:00:00,624.88,54
2022-04-30 14:00:00,500.06,58
2022-04-30 15:00:00,547.18,51
2022-04-30 16:00:00,820.94,71
2022-04-30 17:00:00,1032.99,82
2022-04-30 18:00:00,1467.48,105
2022-04-30 19:00:00,1259.12,93
2022-04-30 20:00:00,787.81,61
2022-04-30 21:00:00,667.85,53
2022-04-30 22:00:00,441.22,37
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,1
2022-05-01 10:00:00,170.43,14
2022-05-01 11:00:00,289,23
2022-05-01 12:00:00,851.6,66
2022-05-01 13:00:00,737.47,68
2022-05-01 14:00:00,320.21,42
2022-05-01 15:00:00,747.74,59
2022-05-01 16:00:00,968.04,72
2022-05-01 17:00:00,1284.02,88
