Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,2.98,3
2022-04-25 11:00:00,137.99,15
2022-04-25 12:00:00,380.4,43
2022-04-25 13:00:00,272.14,36
2022-04-25 14:00:00,188.87,22
2022-04-25 15:00:00,177.53,20
2022-04-25 16:00:00,250.66,26
2022-04-25 17:00:00,302.65,33
2022-04-25 18:00:00,525.59,43
2022-04-25 19:00:00,351.59,31
2022-04-25 20:00:00,237.41,26
2022-04-25 21:00:00,238.94,18
2022-04-25 22:00:00,95.37,12
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,87.34,8
2022-04-26 11:00:00,133.43,20
2022-04-26 12:00:00,223.06,28
2022-04-26 13:00:00,240.64,30
2022-04-26 14:00:00,219.56,24
2022-04-26 15:00:00,231.33,27
2022-04-26 16:00:00,339.89,38
2022-04-26 17:00:00,465.78,42
2022-04-26 18:00:00,494.43,41
2022-04-26 19:00:00,714.97,59
2022-04-26 20:00:00,258.59,29
2022-04-26 21:00:00,109.57,14
2022-04-26 22:00:00,122.16,13
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,100.6,11
2022-04-27 11:00:00,103.06,13
2022-04-27 12:00:00,291.79,40
2022-04-27 13:00:00,272.61,34
2022-04-27 14:00:00,220.49,26
2022-04-27 15:00:00,283.44,36
2022-04-27 16:00:00,368.48,38
2022-04-27 17:00:00,538.45,54
2022-04-27 18:00:00,706.5,64
2022-04-27 19:00:00,458.59,39
2022-04-27 20:00:00,462.03,39
2022-04-27 21:00:00,178.15,19
2022-04-27 22:00:00,75.1,10
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,73.28,10
2022-04-28 11:00:00,229.97,27
2022-04-28 12:00:00,316.62,33
2022-04-28 13:00:00,371.07,40
2022-04-28 14:00:00,188.79,30
2022-04-28 15:00:00,283.85,22
2022-04-28 16:00:00,256.01,31
2022-04-28 17:00:00,537.5,49
2022-04-28 18:00:00,666.55,67
2022-04-28 19:00:00,456.77,48
2022-04-28 20:00:00,380.71,33
2022-04-28 21:00:00,215.56,23
2022-04-28 22:00:00,63.88,10
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,59.96,12
2022-04-29 11:00:00,75.8,11
2022-04-29 12:00:00,491.85,51
2022-04-29 13:00:00,356.96,48
2022-04-29 14:00:00,309.03,36
2022-04-29 15:00:00,254.91,30
2022-04-29 16:00:00,415.96,33
2022-04-29 17:00:00,712.39,56
2022-04-29 18:00:00,970.87,77
2022-04-29 19:00:00,644.2,50
2022-04-29 20:00:00,231.07,24
2022-04-29 21:00:00,242.12,25
2022-04-29 22:00:00,45.58,9
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,55.59,9
2022-04-30 11:00:00,264.71,29
2022-04-30 12:00:00,599.66,52
2022-04-30 13:00:00,471.18,51
2022-04-30 14:00:00,396.19,39
2022-04-30 15:00:00,340.45,34
2022-04-30 16:00:00,416.13,35
2022-04-30 17:00:00,917.46,65
2022-04-30 18:00:00,863.62,67
2022-04-30 19:00:00,773.51,54
2022-04-30 20:00:00,369.39,29
2022-04-30 21:00:00,302.45,27
2022-04-30 22:00:00,173.69,16
2022-04-30 23:00:00,0,3
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,60.57,10
2022-05-01 11:00:00,278.84,26
2022-05-01 12:00:00,621.9,60
2022-05-01 13:00:00,526.05,46
2022-05-01 14:00:00,367.73,35
2022-05-01 15:00:00,301.73,28
2022-05-01 16:00:00,392.09,30
2022-05-01 17:00:00,298.5,30
