Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,34.47,5
2022-04-25 11:00:00,218.75,26
2022-04-25 12:00:00,449.83,55
2022-04-25 13:00:00,300.05,42
2022-04-25 14:00:00,233.55,29
2022-04-25 15:00:00,281.48,33
2022-04-25 16:00:00,297.58,32
2022-04-25 17:00:00,718.1,66
2022-04-25 18:00:00,731.89,65
2022-04-25 19:00:00,663.41,59
2022-04-25 20:00:00,503.23,42
2022-04-25 21:00:00,311.4,37
2022-04-25 22:00:00,87.3,13
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,80.82,11
2022-04-26 11:00:00,162.68,21
2022-04-26 12:00:00,499.37,63
2022-04-26 13:00:00,559.2,76
2022-04-26 14:00:00,178.68,22
2022-04-26 15:00:00,402.39,46
2022-04-26 16:00:00,376.24,46
2022-04-26 17:00:00,993.62,86
2022-04-26 18:00:00,1110.6,99
2022-04-26 19:00:00,1019.1,102
2022-04-26 20:00:00,796.83,72
2022-04-26 21:00:00,326.86,43
2022-04-26 22:00:00,192.11,23
2022-04-26 23:00:00,17.57,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,46.42,7
2022-04-27 11:00:00,235.62,30
2022-04-27 12:00:00,359.42,52
2022-04-27 13:00:00,448.01,62
2022-04-27 14:00:00,198.59,24
2022-04-27 15:00:00,432.33,42
2022-04-27 16:00:00,528.86,54
2022-04-27 17:00:00,827.46,65
2022-04-27 18:00:00,1015.95,94
2022-04-27 19:00:00,826.78,78
2022-04-27 20:00:00,756.64,64
2022-04-27 21:00:00,308.87,36
2022-04-27 22:00:00,162.83,23
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,44.06,6
2022-04-28 11:00:00,276.57,37
2022-04-28 12:00:00,541.2,68
2022-04-28 13:00:00,586.96,76
2022-04-28 14:00:00,332.78,40
2022-04-28 15:00:00,249.41,33
2022-04-28 16:00:00,484.76,47
2022-04-28 17:00:00,874.4,70
2022-04-28 18:00:00,1256.71,92
2022-04-28 19:00:00,1063.87,96
2022-04-28 20:00:00,867.26,84
2022-04-28 21:00:00,500.57,58
2022-04-28 22:00:00,163.11,20
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,92.82,12
2022-04-29 11:00:00,342.69,43
2022-04-29 12:00:00,699.06,86
2022-04-29 13:00:00,971.35,123
2022-04-29 14:00:00,427.23,49
2022-04-29 15:00:00,344.3,40
2022-04-29 16:00:00,703.5,61
2022-04-29 17:00:00,1212.76,96
2022-04-29 18:00:00,1425.04,115
2022-04-29 19:00:00,1516.67,110
2022-04-29 20:00:00,1188.38,101
2022-04-29 21:00:00,774.24,73
2022-04-29 22:00:00,548.05,55
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,73.01,6
2022-04-30 11:00:00,375.85,35
2022-04-30 12:00:00,828.52,79
2022-04-30 13:00:00,775.66,66
2022-04-30 14:00:00,601.44,58
2022-04-30 15:00:00,678.72,66
2022-04-30 16:00:00,631.83,53
2022-04-30 17:00:00,1084.09,87
2022-04-30 18:00:00,1354.42,99
2022-04-30 19:00:00,1377.68,101
2022-04-30 20:00:00,875.65,76
2022-04-30 21:00:00,632.23,62
2022-04-30 22:00:00,414.31,37
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,100.22,10
2022-05-01 11:00:00,303.17,25
2022-05-01 12:00:00,861.52,73
2022-05-01 13:00:00,915.27,74
2022-05-01 14:00:00,771.97,64
2022-05-01 15:00:00,637.99,51
2022-05-01 16:00:00,891.12,73
2022-05-01 17:00:00,1148.91,87
