Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,52.25,9
2022-04-25 11:00:00,141.38,21
2022-04-25 12:00:00,405.94,38
2022-04-25 13:00:00,383.76,47
2022-04-25 14:00:00,193.55,23
2022-04-25 15:00:00,350.81,32
2022-04-25 16:00:00,416.42,41
2022-04-25 17:00:00,501.56,44
2022-04-25 18:00:00,668.26,55
2022-04-25 19:00:00,686.22,63
2022-04-25 20:00:00,674.82,52
2022-04-25 21:00:00,427.35,40
2022-04-25 22:00:00,133.48,17
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,2
2022-04-26 10:00:00,85.17,10
2022-04-26 11:00:00,220.7,28
2022-04-26 12:00:00,388.12,51
2022-04-26 13:00:00,425.74,62
2022-04-26 14:00:00,320.2,38
2022-04-26 15:00:00,391.59,46
2022-04-26 16:00:00,433.52,55
2022-04-26 17:00:00,565.93,61
2022-04-26 18:00:00,670.83,59
2022-04-26 19:00:00,704.34,72
2022-04-26 20:00:00,1086.87,83
2022-04-26 21:00:00,377.86,39
2022-04-26 22:00:00,179.7,21
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,77.71,9
2022-04-27 11:00:00,217.6,30
2022-04-27 12:00:00,398.61,53
2022-04-27 13:00:00,436.85,52
2022-04-27 14:00:00,180.74,28
2022-04-27 15:00:00,256.29,36
2022-04-27 16:00:00,378.33,41
2022-04-27 17:00:00,617.51,51
2022-04-27 18:00:00,704.19,65
2022-04-27 19:00:00,1002.46,78
2022-04-27 20:00:00,789.47,66
2022-04-27 21:00:00,389.2,28
2022-04-27 22:00:00,170.54,26
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,190.23,13
2022-04-28 11:00:00,135.25,21
2022-04-28 12:00:00,385.89,53
2022-04-28 13:00:00,599.3,67
2022-04-28 14:00:00,322.91,44
2022-04-28 15:00:00,360.42,48
2022-04-28 16:00:00,505.55,50
2022-04-28 17:00:00,750.36,58
2022-04-28 18:00:00,715.65,63
2022-04-28 19:00:00,829.29,71
2022-04-28 20:00:00,835.52,74
2022-04-28 21:00:00,402.38,39
2022-04-28 22:00:00,209.75,18
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,136.44,16
2022-04-29 11:00:00,321.88,40
2022-04-29 12:00:00,726.05,70
2022-04-29 13:00:00,627.03,66
2022-04-29 14:00:00,421.6,50
2022-04-29 15:00:00,491.38,57
2022-04-29 16:00:00,595.08,52
2022-04-29 17:00:00,916.62,77
2022-04-29 18:00:00,1233.11,89
2022-04-29 19:00:00,1303.4,93
2022-04-29 20:00:00,1502.65,93
2022-04-29 21:00:00,720.53,65
2022-04-29 22:00:00,380.67,37
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,96.02,6
2022-04-30 11:00:00,246.5,25
2022-04-30 12:00:00,655.83,54
2022-04-30 13:00:00,523.81,50
2022-04-30 14:00:00,485.35,52
2022-04-30 15:00:00,498.53,47
2022-04-30 16:00:00,770.12,78
2022-04-30 17:00:00,1145.49,78
2022-04-30 18:00:00,1128.24,86
2022-04-30 19:00:00,1222.03,99
2022-04-30 20:00:00,1038.91,83
2022-04-30 21:00:00,675.77,60
2022-04-30 22:00:00,411.29,32
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,125.45,9
2022-05-01 11:00:00,182.31,21
2022-05-01 12:00:00,421.84,42
2022-05-01 13:00:00,534.96,47
2022-05-01 14:00:00,532.99,48
2022-05-01 15:00:00,640.52,61
2022-05-01 16:00:00,772.63,67
2022-05-01 17:00:00,995.13,80
