Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,102.65,8
2022-04-25 11:00:00,188.02,25
2022-04-25 12:00:00,526.66,59
2022-04-25 13:00:00,465.86,53
2022-04-25 14:00:00,421.84,47
2022-04-25 15:00:00,476.67,51
2022-04-25 16:00:00,516.15,50
2022-04-25 17:00:00,545.59,56
2022-04-25 18:00:00,560.67,47
2022-04-25 19:00:00,564,52
2022-04-25 20:00:00,339.16,34
2022-04-25 21:00:00,248.25,27
2022-04-25 22:00:00,143.44,12
2022-04-25 23:00:00,-12.79,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,25.98,5
2022-04-26 11:00:00,193.53,26
2022-04-26 12:00:00,572.21,67
2022-04-26 13:00:00,449.97,57
2022-04-26 14:00:00,353.99,40
2022-04-26 15:00:00,498.56,58
2022-04-26 16:00:00,761.63,76
2022-04-26 17:00:00,622.57,66
2022-04-26 18:00:00,571.03,65
2022-04-26 19:00:00,595.07,51
2022-04-26 20:00:00,497.3,50
2022-04-26 21:00:00,289.7,34
2022-04-26 22:00:00,115.51,14
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,56.95,8
2022-04-27 11:00:00,156.59,21
2022-04-27 12:00:00,469.89,60
2022-04-27 13:00:00,428.2,54
2022-04-27 14:00:00,293.05,45
2022-04-27 15:00:00,516.53,50
2022-04-27 16:00:00,566.48,60
2022-04-27 17:00:00,778.89,70
2022-04-27 18:00:00,796.02,72
2022-04-27 19:00:00,537.75,55
2022-04-27 20:00:00,591.43,45
2022-04-27 21:00:00,360.13,36
2022-04-27 22:00:00,167.78,17
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0.4,3
2022-04-28 10:00:00,95.47,10
2022-04-28 11:00:00,241.52,25
2022-04-28 12:00:00,440.63,57
2022-04-28 13:00:00,654.23,78
2022-04-28 14:00:00,427.4,49
2022-04-28 15:00:00,443.3,46
2022-04-28 16:00:00,670.12,66
2022-04-28 17:00:00,840.54,72
2022-04-28 18:00:00,1102.43,83
2022-04-28 19:00:00,781.48,61
2022-04-28 20:00:00,586.94,54
2022-04-28 21:00:00,410.88,38
2022-04-28 22:00:00,210.43,20
2022-04-28 23:00:00,-17.91,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,216.55,27
2022-04-29 11:00:00,315.78,35
2022-04-29 12:00:00,690.86,84
2022-04-29 13:00:00,702.17,79
2022-04-29 14:00:00,337.51,34
2022-04-29 15:00:00,640.62,71
2022-04-29 16:00:00,698.13,71
2022-04-29 17:00:00,845.54,81
2022-04-29 18:00:00,1194.18,77
2022-04-29 19:00:00,1159.37,92
2022-04-29 20:00:00,738.29,70
2022-04-29 21:00:00,538.35,54
2022-04-29 22:00:00,95.28,11
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,52.05,6
2022-04-30 11:00:00,311.45,29
2022-04-30 12:00:00,699.42,65
2022-04-30 13:00:00,924.55,103
2022-04-30 14:00:00,773.23,77
2022-04-30 15:00:00,922.8,75
2022-04-30 16:00:00,920.35,83
2022-04-30 17:00:00,731.24,65
2022-04-30 18:00:00,1068,89
2022-04-30 19:00:00,850.52,78
2022-04-30 20:00:00,396.75,31
2022-04-30 21:00:00,524.34,48
2022-04-30 22:00:00,140.24,10
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,100.53,10
2022-05-01 11:00:00,426.94,38
2022-05-01 12:00:00,849.81,69
2022-05-01 13:00:00,918.88,80
2022-05-01 14:00:00,951.88,81
2022-05-01 15:00:00,605.53,51
2022-05-01 16:00:00,806.13,65
2022-05-01 17:00:00,734.86,62
