Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,23.45,7
2022-04-25 11:00:00,154.7,23
2022-04-25 12:00:00,538.01,54
2022-04-25 13:00:00,272.46,36
2022-04-25 14:00:00,399.19,49
2022-04-25 15:00:00,393.82,42
2022-04-25 16:00:00,377.38,40
2022-04-25 17:00:00,408.18,39
2022-04-25 18:00:00,488.69,53
2022-04-25 19:00:00,399.21,37
2022-04-25 20:00:00,301.14,33
2022-04-25 21:00:00,257.14,28
2022-04-25 22:00:00,35.27,6
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,65.8,8
2022-04-26 11:00:00,118.2,17
2022-04-26 12:00:00,309.49,41
2022-04-26 13:00:00,237.91,35
2022-04-26 14:00:00,222.68,27
2022-04-26 15:00:00,358.02,45
2022-04-26 16:00:00,330.17,36
2022-04-26 17:00:00,416.48,44
2022-04-26 18:00:00,582.37,58
2022-04-26 19:00:00,443.56,39
2022-04-26 20:00:00,472.53,45
2022-04-26 21:00:00,166.74,25
2022-04-26 22:00:00,58.55,7
2022-04-26 23:00:00,4.31,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,41.25,7
2022-04-27 11:00:00,178.63,28
2022-04-27 12:00:00,324.38,44
2022-04-27 13:00:00,327.34,44
2022-04-27 14:00:00,292.25,35
2022-04-27 15:00:00,284.05,40
2022-04-27 16:00:00,561.83,46
2022-04-27 17:00:00,412.89,45
2022-04-27 18:00:00,459.29,47
2022-04-27 19:00:00,412.71,44
2022-04-27 20:00:00,582.69,54
2022-04-27 21:00:00,142.51,16
2022-04-27 22:00:00,91.66,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,112.28,13
2022-04-28 11:00:00,203.6,23
2022-04-28 12:00:00,281.65,40
2022-04-28 13:00:00,338.67,50
2022-04-28 14:00:00,242.98,35
2022-04-28 15:00:00,390.26,45
2022-04-28 16:00:00,474.13,50
2022-04-28 17:00:00,420.23,46
2022-04-28 18:00:00,658.98,59
2022-04-28 19:00:00,595.08,57
2022-04-28 20:00:00,248.21,36
2022-04-28 21:00:00,188.05,25
2022-04-28 22:00:00,63.66,7
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,65.44,8
2022-04-29 11:00:00,154.91,22
2022-04-29 12:00:00,419.01,54
2022-04-29 13:00:00,464.68,54
2022-04-29 14:00:00,407.95,43
2022-04-29 15:00:00,461.89,48
2022-04-29 16:00:00,597.14,71
2022-04-29 17:00:00,704.03,68
2022-04-29 18:00:00,789.54,68
2022-04-29 19:00:00,496.77,42
2022-04-29 20:00:00,385.89,40
2022-04-29 21:00:00,363.07,29
2022-04-29 22:00:00,64.64,8
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,24.4,3
2022-04-30 11:00:00,216.13,21
2022-04-30 12:00:00,592.49,51
2022-04-30 13:00:00,737.54,66
2022-04-30 14:00:00,602.24,72
2022-04-30 15:00:00,406.4,44
2022-04-30 16:00:00,511.6,47
2022-04-30 17:00:00,546.29,45
2022-04-30 18:00:00,457.95,44
2022-04-30 19:00:00,588.13,50
2022-04-30 20:00:00,243.01,24
2022-04-30 21:00:00,237.12,24
2022-04-30 22:00:00,191.51,14
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,63.91,7
2022-05-01 11:00:00,181,21
2022-05-01 12:00:00,505.97,51
2022-05-01 13:00:00,665.32,56
2022-05-01 14:00:00,541.09,48
2022-05-01 15:00:00,593.69,52
2022-05-01 16:00:00,603.06,55
2022-05-01 17:00:00,490.77,53
