Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,31.29,10
2022-04-25 11:00:00,109.74,18
2022-04-25 12:00:00,367.86,38
2022-04-25 13:00:00,268.07,33
2022-04-25 14:00:00,239.22,25
2022-04-25 15:00:00,158.25,25
2022-04-25 16:00:00,209.58,23
2022-04-25 17:00:00,573.88,44
2022-04-25 18:00:00,410.93,40
2022-04-25 19:00:00,387.9,35
2022-04-25 20:00:00,255.44,25
2022-04-25 21:00:00,251.46,24
2022-04-25 22:00:00,70.49,11
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,17.92,3
2022-04-26 11:00:00,170.79,24
2022-04-26 12:00:00,354.41,42
2022-04-26 13:00:00,260.03,43
2022-04-26 14:00:00,206.51,26
2022-04-26 15:00:00,150.4,24
2022-04-26 16:00:00,208.24,22
2022-04-26 17:00:00,417.54,52
2022-04-26 18:00:00,521.19,45
2022-04-26 19:00:00,439.55,29
2022-04-26 20:00:00,435.6,35
2022-04-26 21:00:00,190.53,20
2022-04-26 22:00:00,55.95,7
2022-04-26 23:00:00,0,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,4.57,2
2022-04-27 11:00:00,182.06,20
2022-04-27 12:00:00,429.71,59
2022-04-27 13:00:00,232.57,35
2022-04-27 14:00:00,158.78,27
2022-04-27 15:00:00,223.02,31
2022-04-27 16:00:00,253.52,30
2022-04-27 17:00:00,357.29,29
2022-04-27 18:00:00,623.64,44
2022-04-27 19:00:00,528.87,46
2022-04-27 20:00:00,365.53,32
2022-04-27 21:00:00,208.82,20
2022-04-27 22:00:00,88.37,10
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,37.36,6
2022-04-28 11:00:00,281.49,22
2022-04-28 12:00:00,315.53,43
2022-04-28 13:00:00,223.75,37
2022-04-28 14:00:00,102.19,14
2022-04-28 15:00:00,187.56,24
2022-04-28 16:00:00,374.53,32
2022-04-28 17:00:00,347.26,33
2022-04-28 18:00:00,411.72,32
2022-04-28 19:00:00,517.93,41
2022-04-28 20:00:00,346.41,30
2022-04-28 21:00:00,317.07,30
2022-04-28 22:00:00,163.12,11
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,9.97,3
2022-04-29 11:00:00,156.55,21
2022-04-29 12:00:00,528.64,49
2022-04-29 13:00:00,238.04,35
2022-04-29 14:00:00,239.34,27
2022-04-29 15:00:00,331.9,44
2022-04-29 16:00:00,432.44,35
2022-04-29 17:00:00,540.69,46
2022-04-29 18:00:00,779.65,63
2022-04-29 19:00:00,999.2,69
2022-04-29 20:00:00,413.36,39
2022-04-29 21:00:00,322.09,30
2022-04-29 22:00:00,264.56,24
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,43.07,3
2022-04-30 11:00:00,173.98,19
2022-04-30 12:00:00,191.17,23
2022-04-30 13:00:00,472.01,47
2022-04-30 14:00:00,441.62,42
2022-04-30 15:00:00,406.51,39
2022-04-30 16:00:00,272.54,32
2022-04-30 17:00:00,666.18,62
2022-04-30 18:00:00,929.8,63
2022-04-30 19:00:00,780.25,57
2022-04-30 20:00:00,588.48,43
2022-04-30 21:00:00,233.28,21
2022-04-30 22:00:00,42.44,5
2022-04-30 23:00:00,-5.98,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,49.54,3
2022-05-01 11:00:00,92.73,12
2022-05-01 12:00:00,417.24,43
2022-05-01 13:00:00,287.7,24
2022-05-01 14:00:00,398.74,36
2022-05-01 15:00:00,375.33,26
2022-05-01 16:00:00,368.27,28
2022-05-01 17:00:00,683.75,40
