Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,91.94,16
2022-04-25 11:00:00,119.75,13
2022-04-25 12:00:00,407.26,58
2022-04-25 13:00:00,441.37,53
2022-04-25 14:00:00,231.8,32
2022-04-25 15:00:00,215.72,27
2022-04-25 16:00:00,403.82,34
2022-04-25 17:00:00,497.66,46
2022-04-25 18:00:00,622.31,56
2022-04-25 19:00:00,645.24,57
2022-04-25 20:00:00,426.54,40
2022-04-25 21:00:00,402.02,43
2022-04-25 22:00:00,225.58,26
2022-04-25 23:00:00,131.87,13
2022-04-26 0:00:00,-10.64,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,67.46,12
2022-04-26 11:00:00,178.61,25
2022-04-26 12:00:00,435.25,62
2022-04-26 13:00:00,413.91,65
2022-04-26 14:00:00,234.64,35
2022-04-26 15:00:00,373.48,45
2022-04-26 16:00:00,285.24,31
2022-04-26 17:00:00,563.94,49
2022-04-26 18:00:00,845.24,80
2022-04-26 19:00:00,780.93,67
2022-04-26 20:00:00,585.3,52
2022-04-26 21:00:00,321.32,33
2022-04-26 22:00:00,306.66,28
2022-04-26 23:00:00,87.17,9
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,47.29,13
2022-04-27 11:00:00,179.93,27
2022-04-27 12:00:00,496.14,56
2022-04-27 13:00:00,484.77,56
2022-04-27 14:00:00,159.96,24
2022-04-27 15:00:00,216.1,21
2022-04-27 16:00:00,270.89,28
2022-04-27 17:00:00,658.61,58
2022-04-27 18:00:00,770.16,67
2022-04-27 19:00:00,871.96,80
2022-04-27 20:00:00,332.6,34
2022-04-27 21:00:00,346.72,37
2022-04-27 22:00:00,310.52,31
2022-04-27 23:00:00,118.7,13
2022-04-28 0:00:00,-41.46,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,38.36,10
2022-04-28 11:00:00,345,36
2022-04-28 12:00:00,556.79,73
2022-04-28 13:00:00,456.39,50
2022-04-28 14:00:00,338.06,42
2022-04-28 15:00:00,190.92,29
2022-04-28 16:00:00,601.06,65
2022-04-28 17:00:00,848.31,71
2022-04-28 18:00:00,1052.57,79
2022-04-28 19:00:00,1059.62,80
2022-04-28 20:00:00,707.41,64
2022-04-28 21:00:00,392.49,43
2022-04-28 22:00:00,276.06,29
2022-04-28 23:00:00,254.53,25
2022-04-29 0:00:00,-20.4,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,95.97,12
2022-04-29 11:00:00,339.32,36
2022-04-29 12:00:00,566.84,67
2022-04-29 13:00:00,560.03,71
2022-04-29 14:00:00,340.92,43
2022-04-29 15:00:00,450.63,47
2022-04-29 16:00:00,536.56,62
2022-04-29 17:00:00,999.29,88
2022-04-29 18:00:00,1530.57,113
2022-04-29 19:00:00,1339.67,107
2022-04-29 20:00:00,1065.02,80
2022-04-29 21:00:00,921.52,75
2022-04-29 22:00:00,340.45,39
2022-04-29 23:00:00,225.31,20
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,116.44,11
2022-04-30 11:00:00,371.23,30
2022-04-30 12:00:00,703.29,74
2022-04-30 13:00:00,1078.48,102
2022-04-30 14:00:00,579.29,52
2022-04-30 15:00:00,627.27,68
2022-04-30 16:00:00,733.38,64
2022-04-30 17:00:00,1331.12,104
2022-04-30 18:00:00,1371.67,110
2022-04-30 19:00:00,973.52,84
2022-04-30 20:00:00,869.84,73
2022-04-30 21:00:00,493.67,48
2022-04-30 22:00:00,258.29,33
2022-04-30 23:00:00,313.43,29
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,-41.82,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,63.74,6
2022-05-01 11:00:00,332.96,28
2022-05-01 12:00:00,937.39,78
2022-05-01 13:00:00,986.52,87
2022-05-01 14:00:00,735.48,66
2022-05-01 15:00:00,636.38,57
2022-05-01 16:00:00,989.04,76
