Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,63.61,7
2022-04-25 11:00:00,58.91,7
2022-04-25 12:00:00,317.52,41
2022-04-25 13:00:00,316.93,41
2022-04-25 14:00:00,224.93,32
2022-04-25 15:00:00,339.07,39
2022-04-25 16:00:00,342.9,37
2022-04-25 17:00:00,507.64,52
2022-04-25 18:00:00,615.03,55
2022-04-25 19:00:00,436.57,38
2022-04-25 20:00:00,416.57,43
2022-04-25 21:00:00,222.5,24
2022-04-25 22:00:00,100.49,12
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,70.06,4
2022-04-26 11:00:00,156.85,13
2022-04-26 12:00:00,409.5,48
2022-04-26 13:00:00,321.75,36
2022-04-26 14:00:00,234.71,28
2022-04-26 15:00:00,277.22,28
2022-04-26 16:00:00,364.96,41
2022-04-26 17:00:00,407.32,43
2022-04-26 18:00:00,617.19,60
2022-04-26 19:00:00,689.42,65
2022-04-26 20:00:00,429.24,40
2022-04-26 21:00:00,381.03,33
2022-04-26 22:00:00,267.15,25
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,52.24,7
2022-04-27 11:00:00,137.04,20
2022-04-27 12:00:00,252.65,36
2022-04-27 13:00:00,251.63,36
2022-04-27 14:00:00,146.26,23
2022-04-27 15:00:00,183.77,25
2022-04-27 16:00:00,333.8,37
2022-04-27 17:00:00,632.8,56
2022-04-27 18:00:00,501.35,43
2022-04-27 19:00:00,397.74,36
2022-04-27 20:00:00,475.42,41
2022-04-27 21:00:00,341.54,41
2022-04-27 22:00:00,238.94,21
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,76.82,8
2022-04-28 11:00:00,213.61,24
2022-04-28 12:00:00,330.36,38
2022-04-28 13:00:00,437.17,44
2022-04-28 14:00:00,255.71,32
2022-04-28 15:00:00,262.17,24
2022-04-28 16:00:00,511.09,46
2022-04-28 17:00:00,485.92,43
2022-04-28 18:00:00,707.12,61
2022-04-28 19:00:00,911.78,61
2022-04-28 20:00:00,360.3,34
2022-04-28 21:00:00,333.21,30
2022-04-28 22:00:00,180.9,21
2022-04-28 23:00:00,-5.4,3
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,77.81,10
2022-04-29 11:00:00,217.99,28
2022-04-29 12:00:00,277.99,35
2022-04-29 13:00:00,578.09,57
2022-04-29 14:00:00,454.39,49
2022-04-29 15:00:00,339.53,40
2022-04-29 16:00:00,253.17,27
2022-04-29 17:00:00,733.03,61
2022-04-29 18:00:00,709.05,69
2022-04-29 19:00:00,1012.74,82
2022-04-29 20:00:00,754.7,69
2022-04-29 21:00:00,481.96,35
2022-04-29 22:00:00,230.2,23
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,50.73,4
2022-04-30 11:00:00,281.43,27
2022-04-30 12:00:00,451.82,44
2022-04-30 13:00:00,674.04,58
2022-04-30 14:00:00,632.35,62
2022-04-30 15:00:00,504.24,49
2022-04-30 16:00:00,395.57,43
2022-04-30 17:00:00,739.79,56
2022-04-30 18:00:00,778.48,60
2022-04-30 19:00:00,627.66,59
2022-04-30 20:00:00,563.85,47
2022-04-30 21:00:00,338.35,27
2022-04-30 22:00:00,187.74,18
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,61.52,6
2022-05-01 11:00:00,171.54,14
2022-05-01 12:00:00,578.59,46
2022-05-01 13:00:00,487.91,46
2022-05-01 14:00:00,574.38,54
2022-05-01 15:00:00,614.71,52
2022-05-01 16:00:00,657.58,53
2022-05-01 17:00:00,466.38,42
