Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,63.37,6
2022-04-25 11:00:00,178.78,21
2022-04-25 12:00:00,306.5,40
2022-04-25 13:00:00,385.42,48
2022-04-25 14:00:00,229.03,30
2022-04-25 15:00:00,246.22,30
2022-04-25 16:00:00,172.35,30
2022-04-25 17:00:00,404.56,40
2022-04-25 18:00:00,451.76,46
2022-04-25 19:00:00,447.16,46
2022-04-25 20:00:00,324.91,40
2022-04-25 21:00:00,263.55,24
2022-04-25 22:00:00,63.3,8
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,64,9
2022-04-26 11:00:00,219.22,33
2022-04-26 12:00:00,349.77,48
2022-04-26 13:00:00,343.81,41
2022-04-26 14:00:00,243.12,36
2022-04-26 15:00:00,221.78,32
2022-04-26 16:00:00,267.67,40
2022-04-26 17:00:00,687.6,74
2022-04-26 18:00:00,1183.42,117
2022-04-26 19:00:00,719.55,89
2022-04-26 20:00:00,333.21,36
2022-04-26 21:00:00,363.57,45
2022-04-26 22:00:00,234.27,30
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,43.5,10
2022-04-27 11:00:00,128.09,14
2022-04-27 12:00:00,284.82,48
2022-04-27 13:00:00,405.88,55
2022-04-27 14:00:00,270.52,36
2022-04-27 15:00:00,390.69,53
2022-04-27 16:00:00,607.97,93
2022-04-27 17:00:00,661.74,94
2022-04-27 18:00:00,694.97,89
2022-04-27 19:00:00,538.17,46
2022-04-27 20:00:00,266.92,42
2022-04-27 21:00:00,242.68,31
2022-04-27 22:00:00,81.82,10
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,58.76,10
2022-04-28 11:00:00,172.48,19
2022-04-28 12:00:00,340.31,40
2022-04-28 13:00:00,303.45,37
2022-04-28 14:00:00,334.23,39
2022-04-28 15:00:00,224.59,27
2022-04-28 16:00:00,375.92,35
2022-04-28 17:00:00,374.95,47
2022-04-28 18:00:00,837.84,78
2022-04-28 19:00:00,531.4,50
2022-04-28 20:00:00,475.88,44
2022-04-28 21:00:00,193.24,23
2022-04-28 22:00:00,118.67,8
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,55.77,9
2022-04-29 11:00:00,194.06,27
2022-04-29 12:00:00,455.17,45
2022-04-29 13:00:00,465.46,51
2022-04-29 14:00:00,545,60
2022-04-29 15:00:00,284.71,38
2022-04-29 16:00:00,411.78,52
2022-04-29 17:00:00,543.58,56
2022-04-29 18:00:00,897.47,85
2022-04-29 19:00:00,763.12,66
2022-04-29 20:00:00,780.6,63
2022-04-29 21:00:00,485.34,45
2022-04-29 22:00:00,212.44,15
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,56.75,7
2022-04-30 11:00:00,281.91,28
2022-04-30 12:00:00,393.78,41
2022-04-30 13:00:00,762.28,78
2022-04-30 14:00:00,655.11,74
2022-04-30 15:00:00,649.27,78
2022-04-30 16:00:00,734.17,85
2022-04-30 17:00:00,564.62,64
2022-04-30 18:00:00,691.96,64
2022-04-30 19:00:00,904.46,77
2022-04-30 20:00:00,750.21,53
2022-04-30 21:00:00,343.08,37
2022-04-30 22:00:00,183.46,15
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,131.62,10
2022-05-01 11:00:00,297.73,26
2022-05-01 12:00:00,429.87,39
2022-05-01 13:00:00,617.74,53
2022-05-01 14:00:00,527.4,55
2022-05-01 15:00:00,451.42,51
2022-05-01 16:00:00,483.91,48
2022-05-01 17:00:00,383.68,36
2022-05-01 18:00:00,457.4,35
