Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,17.46,1
2022-04-25 11:00:00,173.98,16
2022-04-25 12:00:00,190.16,17
2022-04-25 13:00:00,222.96,22
2022-04-25 14:00:00,96.83,16
2022-04-25 15:00:00,159.39,13
2022-04-25 16:00:00,286.74,25
2022-04-25 17:00:00,505.14,38
2022-04-25 18:00:00,430.55,28
2022-04-25 19:00:00,349.74,26
2022-04-25 20:00:00,299.98,20
2022-04-25 21:00:00,229.53,15
2022-04-25 22:00:00,194.21,18
2022-04-25 23:00:00,150.68,14
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,21.88,3
2022-04-26 11:00:00,138.26,11
2022-04-26 12:00:00,111.39,9
2022-04-26 13:00:00,168.39,20
2022-04-26 14:00:00,37.11,6
2022-04-26 15:00:00,139.8,17
2022-04-26 16:00:00,314.57,26
2022-04-26 17:00:00,346.09,28
2022-04-26 18:00:00,490.91,35
2022-04-26 19:00:00,438.77,32
2022-04-26 20:00:00,335.44,27
2022-04-26 21:00:00,292.25,24
2022-04-26 22:00:00,226.48,24
2022-04-26 23:00:00,151.84,11
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,65.93,6
2022-04-27 11:00:00,131.62,16
2022-04-27 12:00:00,147.12,20
2022-04-27 13:00:00,227.28,25
2022-04-27 14:00:00,90.71,10
2022-04-27 15:00:00,146.08,17
2022-04-27 16:00:00,326.4,23
2022-04-27 17:00:00,565.04,36
2022-04-27 18:00:00,497.37,34
2022-04-27 19:00:00,577.55,43
2022-04-27 20:00:00,419.16,31
2022-04-27 21:00:00,212.35,20
2022-04-27 22:00:00,237.36,23
2022-04-27 23:00:00,87.9,7
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,43.22,3
2022-04-28 11:00:00,107.07,13
2022-04-28 12:00:00,209.51,21
2022-04-28 13:00:00,148.68,20
2022-04-28 14:00:00,117.1,18
2022-04-28 15:00:00,146.91,14
2022-04-28 16:00:00,366.04,33
2022-04-28 17:00:00,635.4,46
2022-04-28 18:00:00,534.13,35
2022-04-28 19:00:00,617.68,44
2022-04-28 20:00:00,464.12,41
2022-04-28 21:00:00,446.47,36
2022-04-28 22:00:00,236.5,18
2022-04-28 23:00:00,103.48,11
2022-04-29 0:00:00,0,1
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,100.46,6
2022-04-29 11:00:00,229.03,22
2022-04-29 12:00:00,371.95,34
2022-04-29 13:00:00,221.25,28
2022-04-29 14:00:00,181.15,21
2022-04-29 15:00:00,175.43,20
2022-04-29 16:00:00,521.88,40
2022-04-29 17:00:00,999.7,70
2022-04-29 18:00:00,958.62,68
2022-04-29 19:00:00,808.28,59
2022-04-29 20:00:00,693.73,43
2022-04-29 21:00:00,560.84,48
2022-04-29 22:00:00,461.27,35
2022-04-29 23:00:00,186.05,15
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,82.14,9
2022-04-30 11:00:00,196.83,15
2022-04-30 12:00:00,333.13,30
2022-04-30 13:00:00,182.91,22
2022-04-30 14:00:00,183.04,21
2022-04-30 15:00:00,444.27,38
2022-04-30 16:00:00,395.95,28
2022-04-30 17:00:00,711.23,47
2022-04-30 18:00:00,851.25,56
2022-04-30 19:00:00,761.87,50
2022-04-30 20:00:00,554.78,43
2022-04-30 21:00:00,453.66,38
2022-04-30 22:00:00,349.69,32
2022-04-30 23:00:00,214.29,15
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,89.36,8
2022-05-01 11:00:00,130.35,10
2022-05-01 12:00:00,241.55,19
2022-05-01 13:00:00,276.47,23
2022-05-01 14:00:00,249.03,20
2022-05-01 15:00:00,292.74,24
2022-05-01 16:00:00,544.24,36
2022-05-01 17:00:00,689.42,45
