Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,95.2,9
2022-04-25 11:00:00,214.91,30
2022-04-25 12:00:00,620.15,62
2022-04-25 13:00:00,511.29,62
2022-04-25 14:00:00,223.06,37
2022-04-25 15:00:00,168.57,35
2022-04-25 16:00:00,260.65,35
2022-04-25 17:00:00,315.84,36
2022-04-25 18:00:00,367.97,41
2022-04-25 19:00:00,178.12,17
2022-04-25 20:00:00,0,0
2022-04-25 21:00:00,0,0
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,105.35,11
2022-04-26 11:00:00,235.54,27
2022-04-26 12:00:00,427.57,67
2022-04-26 13:00:00,340.65,46
2022-04-26 14:00:00,183.82,30
2022-04-26 15:00:00,210.86,30
2022-04-26 16:00:00,267.32,37
2022-04-26 17:00:00,366.4,37
2022-04-26 18:00:00,275.79,35
2022-04-26 19:00:00,150.03,18
2022-04-26 20:00:00,0,0
2022-04-26 21:00:00,0,0
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,6.98,3
2022-04-27 11:00:00,128.43,20
2022-04-27 12:00:00,443.33,64
2022-04-27 13:00:00,462.88,68
2022-04-27 14:00:00,317.15,41
2022-04-27 15:00:00,203.78,29
2022-04-27 16:00:00,234.3,32
2022-04-27 17:00:00,351.24,39
2022-04-27 18:00:00,230.93,28
2022-04-27 19:00:00,134.51,23
2022-04-27 20:00:00,0,0
2022-04-27 21:00:00,0,0
2022-04-27 22:00:00,0,0
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,79.93,12
2022-04-28 11:00:00,301.87,41
2022-04-28 12:00:00,541.3,66
2022-04-28 13:00:00,413.6,53
2022-04-28 14:00:00,180.37,26
2022-04-28 15:00:00,293.83,38
2022-04-28 16:00:00,307.66,49
2022-04-28 17:00:00,447.86,47
2022-04-28 18:00:00,330.65,30
2022-04-28 19:00:00,116.5,16
2022-04-28 20:00:00,9.15,1
2022-04-28 21:00:00,0,0
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,51.95,11
2022-04-29 11:00:00,243.46,29
2022-04-29 12:00:00,769.51,88
2022-04-29 13:00:00,583.9,79
2022-04-29 14:00:00,401.06,52
2022-04-29 15:00:00,170.86,29
2022-04-29 16:00:00,293.66,44
2022-04-29 17:00:00,494.98,47
2022-04-29 18:00:00,536.3,48
2022-04-29 19:00:00,296.93,30
2022-04-29 20:00:00,8.49,2
2022-04-29 21:00:00,0,0
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,86.49,9
2022-04-30 10:00:00,109.17,18
2022-04-30 11:00:00,645.26,68
2022-04-30 12:00:00,920.34,96
2022-04-30 13:00:00,1204.72,103
2022-04-30 14:00:00,983.41,97
2022-04-30 15:00:00,830.29,92
2022-04-30 16:00:00,732.7,85
2022-04-30 17:00:00,533.81,61
2022-04-30 18:00:00,595.9,62
2022-04-30 19:00:00,349.58,37
2022-04-30 20:00:00,0,0
2022-04-30 21:00:00,0,0
2022-04-30 22:00:00,0,0
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,98.32,11
2022-05-01 11:00:00,617.85,61
2022-05-01 12:00:00,1134.66,102
2022-05-01 13:00:00,1104.15,100
2022-05-01 14:00:00,1037.79,96
2022-05-01 15:00:00,876.44,82
2022-05-01 16:00:00,721.39,81
2022-05-01 17:00:00,300.92,35
2022-05-01 18:00:00,0,1
2022-05-01 19:00:00,0,0
