Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0.3,1
2022-04-25 10:00:00,20.76,3
2022-04-25 11:00:00,37.31,2
2022-04-25 12:00:00,178.27,22
2022-04-25 13:00:00,235.35,28
2022-04-25 14:00:00,114.45,17
2022-04-25 15:00:00,178.17,21
2022-04-25 16:00:00,146.42,17
2022-04-25 17:00:00,173.59,20
2022-04-25 18:00:00,321.12,40
2022-04-25 19:00:00,334.19,35
2022-04-25 20:00:00,114.2,15
2022-04-25 21:00:00,182.17,21
2022-04-25 22:00:00,33.86,5
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,10.38,1
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,113.14,13
2022-04-26 12:00:00,195.81,19
2022-04-26 13:00:00,129.6,21
2022-04-26 14:00:00,110.08,14
2022-04-26 15:00:00,107.83,14
2022-04-26 16:00:00,203.93,23
2022-04-26 17:00:00,187.44,23
2022-04-26 18:00:00,392.33,43
2022-04-26 19:00:00,234.27,23
2022-04-26 20:00:00,152.24,16
2022-04-26 21:00:00,224.65,17
2022-04-26 22:00:00,43.37,6
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,69.86,9
2022-04-27 11:00:00,204.49,26
2022-04-27 12:00:00,228.34,28
2022-04-27 13:00:00,160.74,24
2022-04-27 14:00:00,97.85,13
2022-04-27 15:00:00,102.56,11
2022-04-27 16:00:00,226.01,30
2022-04-27 17:00:00,191.49,24
2022-04-27 18:00:00,357.19,39
2022-04-27 19:00:00,376.6,33
2022-04-27 20:00:00,195.41,20
2022-04-27 21:00:00,163.5,19
2022-04-27 22:00:00,38.34,8
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,14.56,1
2022-04-28 10:00:00,26.17,4
2022-04-28 11:00:00,60.75,9
2022-04-28 12:00:00,327.33,31
2022-04-28 13:00:00,217.44,26
2022-04-28 14:00:00,94.68,14
2022-04-28 15:00:00,135.39,13
2022-04-28 16:00:00,227.46,32
2022-04-28 17:00:00,451.12,38
2022-04-28 18:00:00,514.83,42
2022-04-28 19:00:00,460.45,41
2022-04-28 20:00:00,269.9,24
2022-04-28 21:00:00,114.22,18
2022-04-28 22:00:00,27.54,4
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,30.36,8
2022-04-29 11:00:00,186.25,17
2022-04-29 12:00:00,310.02,33
2022-04-29 13:00:00,312.93,45
2022-04-29 14:00:00,164.03,20
2022-04-29 15:00:00,183.89,24
2022-04-29 16:00:00,329.49,35
2022-04-29 17:00:00,499.27,51
2022-04-29 18:00:00,638.65,49
2022-04-29 19:00:00,869.98,71
2022-04-29 20:00:00,397.55,29
2022-04-29 21:00:00,254.47,25
2022-04-29 22:00:00,105.34,11
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,59.52,8
2022-04-30 11:00:00,149.74,14
2022-04-30 12:00:00,348.76,33
2022-04-30 13:00:00,503.83,64
2022-04-30 14:00:00,471.53,41
2022-04-30 15:00:00,317.56,32
2022-04-30 16:00:00,258.6,26
2022-04-30 17:00:00,422.76,42
2022-04-30 18:00:00,626.88,46
2022-04-30 19:00:00,467.92,47
2022-04-30 20:00:00,429.1,38
2022-04-30 21:00:00,228.91,26
2022-04-30 22:00:00,60.78,9
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,34.65,3
2022-05-01 11:00:00,125.08,12
2022-05-01 12:00:00,335.69,30
2022-05-01 13:00:00,314.34,35
2022-05-01 14:00:00,384.04,37
2022-05-01 15:00:00,492.38,41
2022-05-01 16:00:00,348.42,25
2022-05-01 17:00:00,252.77,24
