Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,19.92,3
2022-04-25 11:00:00,74.31,16
2022-04-25 12:00:00,317.6,43
2022-04-25 13:00:00,243.12,36
2022-04-25 14:00:00,219.5,27
2022-04-25 15:00:00,94.07,16
2022-04-25 16:00:00,177.77,18
2022-04-25 17:00:00,233.27,22
2022-04-25 18:00:00,327.97,35
2022-04-25 19:00:00,144.09,20
2022-04-25 20:00:00,209.09,22
2022-04-25 21:00:00,72.04,8
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,1
2022-04-26 11:00:00,96.98,14
2022-04-26 12:00:00,221.17,29
2022-04-26 13:00:00,212.38,31
2022-04-26 14:00:00,140.68,21
2022-04-26 15:00:00,117,16
2022-04-26 16:00:00,187.81,25
2022-04-26 17:00:00,311.53,36
2022-04-26 18:00:00,372.38,38
2022-04-26 19:00:00,359.14,39
2022-04-26 20:00:00,190.57,21
2022-04-26 21:00:00,69.55,7
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,14.58,2
2022-04-27 11:00:00,70.11,7
2022-04-27 12:00:00,240.69,29
2022-04-27 13:00:00,214.56,31
2022-04-27 14:00:00,106.89,13
2022-04-27 15:00:00,171.27,20
2022-04-27 16:00:00,269.58,34
2022-04-27 17:00:00,246.1,24
2022-04-27 18:00:00,264.64,28
2022-04-27 19:00:00,305.81,23
2022-04-27 20:00:00,205.55,27
2022-04-27 21:00:00,35.89,6
2022-04-27 22:00:00,0,1
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,93.7,12
2022-04-28 12:00:00,231.29,37
2022-04-28 13:00:00,227.74,35
2022-04-28 14:00:00,140.16,18
2022-04-28 15:00:00,81.87,11
2022-04-28 16:00:00,198.55,25
2022-04-28 17:00:00,332.88,37
2022-04-28 18:00:00,203.93,22
2022-04-28 19:00:00,311.77,33
2022-04-28 20:00:00,132.13,17
2022-04-28 21:00:00,81.35,8
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,83.56,7
2022-04-29 11:00:00,145.05,21
2022-04-29 12:00:00,191.13,29
2022-04-29 13:00:00,262.59,35
2022-04-29 14:00:00,247.36,26
2022-04-29 15:00:00,107.07,17
2022-04-29 16:00:00,331.12,34
2022-04-29 17:00:00,528.51,51
2022-04-29 18:00:00,652.01,44
2022-04-29 19:00:00,474.41,44
2022-04-29 20:00:00,302.94,21
2022-04-29 21:00:00,142.64,16
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,9.17,2
2022-04-30 11:00:00,176.16,17
2022-04-30 12:00:00,459.99,57
2022-04-30 13:00:00,393.73,41
2022-04-30 14:00:00,215.56,24
2022-04-30 15:00:00,189.09,20
2022-04-30 16:00:00,331.46,32
2022-04-30 17:00:00,475.3,38
2022-04-30 18:00:00,594.46,46
2022-04-30 19:00:00,571.46,49
2022-04-30 20:00:00,330.02,30
2022-04-30 21:00:00,133.33,13
2022-04-30 22:00:00,0,1
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,18.2,3
2022-05-01 11:00:00,103.16,13
2022-05-01 12:00:00,424.32,48
2022-05-01 13:00:00,446.29,41
2022-05-01 14:00:00,442.1,46
2022-05-01 15:00:00,287.35,32
2022-05-01 16:00:00,235.83,28
2022-05-01 17:00:00,263.12,23
2022-05-01 18:00:00,490.2,41
