Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,68.82,15
2022-04-25 11:00:00,141.97,19
2022-04-25 12:00:00,272.37,31
2022-04-25 13:00:00,233.67,35
2022-04-25 14:00:00,222.37,32
2022-04-25 15:00:00,235.56,29
2022-04-25 16:00:00,359.25,43
2022-04-25 17:00:00,373.18,40
2022-04-25 18:00:00,593.88,55
2022-04-25 19:00:00,596.11,53
2022-04-25 20:00:00,433.62,45
2022-04-25 21:00:00,210.99,22
2022-04-25 22:00:00,228.89,29
2022-04-25 23:00:00,313.36,33
2022-04-26 0:00:00,164.51,27
2022-04-26 1:00:00,9.14,1
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,102.78,10
2022-04-26 11:00:00,182.13,29
2022-04-26 12:00:00,178.55,30
2022-04-26 13:00:00,449.63,55
2022-04-26 14:00:00,280.78,44
2022-04-26 15:00:00,343.74,48
2022-04-26 16:00:00,434.75,56
2022-04-26 17:00:00,241.17,32
2022-04-26 18:00:00,342.07,51
2022-04-26 19:00:00,691.81,72
2022-04-26 20:00:00,570.15,62
2022-04-26 21:00:00,393.88,46
2022-04-26 22:00:00,293.46,38
2022-04-26 23:00:00,346.31,36
2022-04-27 0:00:00,155.94,21
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,64.25,10
2022-04-27 11:00:00,111.07,13
2022-04-27 12:00:00,236.57,29
2022-04-27 13:00:00,373.56,41
2022-04-27 14:00:00,308.11,38
2022-04-27 15:00:00,221.75,30
2022-04-27 16:00:00,331.79,38
2022-04-27 17:00:00,304.97,34
2022-04-27 18:00:00,439.67,46
2022-04-27 19:00:00,589.02,59
2022-04-27 20:00:00,508.27,47
2022-04-27 21:00:00,303.94,35
2022-04-27 22:00:00,276.34,23
2022-04-27 23:00:00,309.76,37
2022-04-28 0:00:00,133.25,21
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,71.91,11
2022-04-28 11:00:00,267.52,25
2022-04-28 12:00:00,369.38,44
2022-04-28 13:00:00,254.94,36
2022-04-28 14:00:00,219.27,29
2022-04-28 15:00:00,289.89,43
2022-04-28 16:00:00,338.2,45
2022-04-28 17:00:00,372.59,36
2022-04-28 18:00:00,506.4,52
2022-04-28 19:00:00,728.57,63
2022-04-28 20:00:00,542.46,48
2022-04-28 21:00:00,330.71,32
2022-04-28 22:00:00,325.78,33
2022-04-28 23:00:00,238.74,25
2022-04-29 0:00:00,145.75,15
2022-04-29 1:00:00,-10.8,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,1
2022-04-29 10:00:00,148.6,14
2022-04-29 11:00:00,213.44,31
2022-04-29 12:00:00,248.72,39
2022-04-29 13:00:00,258.84,41
2022-04-29 14:00:00,232.7,34
2022-04-29 15:00:00,261.24,47
2022-04-29 16:00:00,340.75,47
2022-04-29 17:00:00,602.62,59
2022-04-29 18:00:00,515.38,55
2022-04-29 19:00:00,898.35,72
2022-04-29 20:00:00,813.5,76
2022-04-29 21:00:00,502.02,53
2022-04-29 22:00:00,434.86,46
2022-04-29 23:00:00,622.49,58
2022-04-30 0:00:00,124.78,19
2022-04-30 1:00:00,-16.89,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,100.48,11
2022-04-30 11:00:00,206.88,31
2022-04-30 12:00:00,259.44,30
2022-04-30 13:00:00,449.88,48
2022-04-30 14:00:00,413.11,44
2022-04-30 15:00:00,477.68,53
2022-04-30 16:00:00,335.45,41
2022-04-30 17:00:00,344.5,44
2022-04-30 18:00:00,586.44,54
2022-04-30 19:00:00,879.41,70
2022-04-30 20:00:00,849.78,73
2022-04-30 21:00:00,461.53,48
2022-04-30 22:00:00,447.29,48
2022-04-30 23:00:00,571.59,57
2022-05-01 0:00:00,192.54,16
2022-05-01 1:00:00,-7.73,1
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,131.08,12
2022-05-01 11:00:00,102.5,11
2022-05-01 12:00:00,265.68,23
2022-05-01 13:00:00,399.99,45
2022-05-01 14:00:00,431.91,45
2022-05-01 15:00:00,283.41,39
2022-05-01 16:00:00,308.51,37
