Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,49.91,6
2022-04-25 11:00:00,137.37,21
2022-04-25 12:00:00,184.75,28
2022-04-25 13:00:00,127.83,27
2022-04-25 14:00:00,179.96,23
2022-04-25 15:00:00,76.57,16
2022-04-25 16:00:00,97.71,18
2022-04-25 17:00:00,167.91,30
2022-04-25 18:00:00,270.46,31
2022-04-25 19:00:00,247.84,29
2022-04-25 20:00:00,180.26,23
2022-04-25 21:00:00,56.09,7
2022-04-25 22:00:00,168.93,22
2022-04-25 23:00:00,140.37,14
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,26.59,5
2022-04-26 11:00:00,158.29,23
2022-04-26 12:00:00,268.73,37
2022-04-26 13:00:00,306.73,50
2022-04-26 14:00:00,203.76,39
2022-04-26 15:00:00,145.15,34
2022-04-26 16:00:00,157.58,26
2022-04-26 17:00:00,324.49,32
2022-04-26 18:00:00,347.57,46
2022-04-26 19:00:00,325.44,39
2022-04-26 20:00:00,149.06,24
2022-04-26 21:00:00,99.77,16
2022-04-26 22:00:00,195.98,27
2022-04-26 23:00:00,130.27,22
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,54.17,7
2022-04-27 11:00:00,71.65,16
2022-04-27 12:00:00,265.06,40
2022-04-27 13:00:00,243.08,39
2022-04-27 14:00:00,190.41,28
2022-04-27 15:00:00,134.82,25
2022-04-27 16:00:00,175.6,24
2022-04-27 17:00:00,226.89,29
2022-04-27 18:00:00,277.48,31
2022-04-27 19:00:00,312.46,33
2022-04-27 20:00:00,220.42,23
2022-04-27 21:00:00,226.14,34
2022-04-27 22:00:00,164.46,22
2022-04-27 23:00:00,157.35,23
2022-04-28 0:00:00,37.04,3
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,64.91,7
2022-04-28 11:00:00,109.25,20
2022-04-28 12:00:00,196.8,34
2022-04-28 13:00:00,270.15,38
2022-04-28 14:00:00,131.02,25
2022-04-28 15:00:00,153.78,22
2022-04-28 16:00:00,132.22,23
2022-04-28 17:00:00,248.85,33
2022-04-28 18:00:00,354.04,47
2022-04-28 19:00:00,256.17,29
2022-04-28 20:00:00,278.14,31
2022-04-28 21:00:00,244.65,31
2022-04-28 22:00:00,204.69,30
2022-04-28 23:00:00,176.67,25
2022-04-29 0:00:00,363.21,42
2022-04-29 1:00:00,233.5,33
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,90.21,7
2022-04-29 11:00:00,255.64,36
2022-04-29 12:00:00,335.7,50
2022-04-29 13:00:00,310.97,42
2022-04-29 14:00:00,229.27,38
2022-04-29 15:00:00,105.62,22
2022-04-29 16:00:00,263.81,42
2022-04-29 17:00:00,299.71,36
2022-04-29 18:00:00,460.73,44
2022-04-29 19:00:00,371.98,40
2022-04-29 20:00:00,414.01,34
2022-04-29 21:00:00,274.81,37
2022-04-29 22:00:00,331.97,42
2022-04-29 23:00:00,507.74,51
2022-04-30 0:00:00,290.21,36
2022-04-30 1:00:00,257.63,34
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,9.15,1
2022-04-30 11:00:00,125.84,14
2022-04-30 12:00:00,263.49,27
2022-04-30 13:00:00,262.52,35
2022-04-30 14:00:00,195.75,34
2022-04-30 15:00:00,150.22,21
2022-04-30 16:00:00,246.42,33
2022-04-30 17:00:00,252.6,33
2022-04-30 18:00:00,275.84,25
2022-04-30 19:00:00,304.1,36
2022-04-30 20:00:00,485.64,53
2022-04-30 21:00:00,272.43,23
2022-04-30 22:00:00,416.01,36
2022-04-30 23:00:00,423.59,44
2022-05-01 0:00:00,6.96,3
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,22.47,3
2022-05-01 11:00:00,141.23,12
2022-05-01 12:00:00,165.5,24
2022-05-01 13:00:00,248.59,35
2022-05-01 14:00:00,189.74,23
2022-05-01 15:00:00,265.62,28
2022-05-01 16:00:00,211.41,23
