Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,37.61,5
2022-04-25 12:00:00,176.27,27
2022-04-25 13:00:00,148.98,24
2022-04-25 14:00:00,75.62,16
2022-04-25 15:00:00,112.99,13
2022-04-25 16:00:00,122.06,14
2022-04-25 17:00:00,294.91,31
2022-04-25 18:00:00,186.53,18
2022-04-25 19:00:00,131.38,15
2022-04-25 20:00:00,187.03,25
2022-04-25 21:00:00,90.7,7
2022-04-25 22:00:00,27.95,3
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,1
2022-04-26 11:00:00,30.12,6
2022-04-26 12:00:00,155.96,23
2022-04-26 13:00:00,185.14,24
2022-04-26 14:00:00,75,12
2022-04-26 15:00:00,74.02,14
2022-04-26 16:00:00,111,14
2022-04-26 17:00:00,164.73,16
2022-04-26 18:00:00,187.25,19
2022-04-26 19:00:00,185.92,17
2022-04-26 20:00:00,116.85,14
2022-04-26 21:00:00,103.69,13
2022-04-26 22:00:00,18.66,3
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,120.05,14
2022-04-27 12:00:00,217.61,24
2022-04-27 13:00:00,198.36,23
2022-04-27 14:00:00,48.85,5
2022-04-27 15:00:00,127.27,14
2022-04-27 16:00:00,114.37,17
2022-04-27 17:00:00,248.56,26
2022-04-27 18:00:00,309.06,27
2022-04-27 19:00:00,230.35,22
2022-04-27 20:00:00,140.67,14
2022-04-27 21:00:00,100.14,6
2022-04-27 22:00:00,42.29,4
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,50.39,9
2022-04-28 12:00:00,190.38,26
2022-04-28 13:00:00,234.56,30
2022-04-28 14:00:00,140.09,15
2022-04-28 15:00:00,76.17,13
2022-04-28 16:00:00,156.31,19
2022-04-28 17:00:00,385.47,32
2022-04-28 18:00:00,341.61,33
2022-04-28 19:00:00,319.23,30
2022-04-28 20:00:00,255.72,23
2022-04-28 21:00:00,123.79,12
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,19.11,2
2022-04-29 11:00:00,60.69,11
2022-04-29 12:00:00,343.04,36
2022-04-29 13:00:00,281.73,37
2022-04-29 14:00:00,241.81,24
2022-04-29 15:00:00,182.5,25
2022-04-29 16:00:00,208.92,23
2022-04-29 17:00:00,480.76,38
2022-04-29 18:00:00,822.91,64
2022-04-29 19:00:00,558.1,40
2022-04-29 20:00:00,453.13,36
2022-04-29 21:00:00,223.09,23
2022-04-29 22:00:00,59.33,7
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,41.82,3
2022-04-30 11:00:00,94.9,9
2022-04-30 12:00:00,198.91,20
2022-04-30 13:00:00,188.53,21
2022-04-30 14:00:00,176.13,21
2022-04-30 15:00:00,40.66,9
2022-04-30 16:00:00,136.71,14
2022-04-30 17:00:00,347.52,28
2022-04-30 18:00:00,372.99,28
2022-04-30 19:00:00,470.27,32
2022-04-30 20:00:00,171.62,12
2022-04-30 21:00:00,114.63,11
2022-04-30 22:00:00,34.51,3
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,93.1,10
2022-05-01 12:00:00,257.2,26
2022-05-01 13:00:00,368.8,31
2022-05-01 14:00:00,175.65,14
2022-05-01 15:00:00,116.63,9
2022-05-01 16:00:00,243.24,20
2022-05-01 17:00:00,441.17,32
2022-05-01 18:00:00,412.4,31
