Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,14.37,2
2022-04-25 11:00:00,147.22,14
2022-04-25 12:00:00,198.16,27
2022-04-25 13:00:00,261.1,27
2022-04-25 14:00:00,150.19,21
2022-04-25 15:00:00,260.96,21
2022-04-25 16:00:00,281.47,27
2022-04-25 17:00:00,459.88,34
2022-04-25 18:00:00,576.23,42
2022-04-25 19:00:00,611.18,43
2022-04-25 20:00:00,160.9,18
2022-04-25 21:00:00,75.73,6
2022-04-25 22:00:00,67.36,6
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,29.62,3
2022-04-26 11:00:00,91.59,13
2022-04-26 12:00:00,310.48,31
2022-04-26 13:00:00,258.53,31
2022-04-26 14:00:00,237.25,23
2022-04-26 15:00:00,175.74,21
2022-04-26 16:00:00,434.93,39
2022-04-26 17:00:00,715.31,58
2022-04-26 18:00:00,1063.22,79
2022-04-26 19:00:00,636.97,51
2022-04-26 20:00:00,373.74,29
2022-04-26 21:00:00,101.41,10
2022-04-26 22:00:00,69.23,11
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,22.69,3
2022-04-27 11:00:00,213.09,26
2022-04-27 12:00:00,247.34,32
2022-04-27 13:00:00,237.88,29
2022-04-27 14:00:00,243.48,20
2022-04-27 15:00:00,190.51,19
2022-04-27 16:00:00,383.21,25
2022-04-27 17:00:00,736.99,52
2022-04-27 18:00:00,911.49,59
2022-04-27 19:00:00,594.21,52
2022-04-27 20:00:00,193.9,16
2022-04-27 21:00:00,95.88,10
2022-04-27 22:00:00,64.28,7
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,86.3,7
2022-04-28 11:00:00,157.39,22
2022-04-28 12:00:00,382.15,34
2022-04-28 13:00:00,319.34,30
2022-04-28 14:00:00,142.87,12
2022-04-28 15:00:00,158.32,17
2022-04-28 16:00:00,420.59,30
2022-04-28 17:00:00,609.82,43
2022-04-28 18:00:00,487.51,29
2022-04-28 19:00:00,658.76,54
2022-04-28 20:00:00,257.5,22
2022-04-28 21:00:00,139.47,10
2022-04-28 22:00:00,82.37,6
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,60.82,7
2022-04-29 11:00:00,231.02,22
2022-04-29 12:00:00,447.19,38
2022-04-29 13:00:00,401.93,39
2022-04-29 14:00:00,357.53,32
2022-04-29 15:00:00,231.48,24
2022-04-29 16:00:00,460.89,32
2022-04-29 17:00:00,758.27,49
2022-04-29 18:00:00,1083.63,75
2022-04-29 19:00:00,892.55,56
2022-04-29 20:00:00,568.02,34
2022-04-29 21:00:00,365.75,24
2022-04-29 22:00:00,137.79,12
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,20.79,2
2022-04-30 11:00:00,216.13,22
2022-04-30 12:00:00,327.79,34
2022-04-30 13:00:00,543.57,43
2022-04-30 14:00:00,481.16,43
2022-04-30 15:00:00,261.06,34
2022-04-30 16:00:00,348.7,24
2022-04-30 17:00:00,996.76,68
2022-04-30 18:00:00,1106.84,84
2022-04-30 19:00:00,817.09,55
2022-04-30 20:00:00,571.12,40
2022-04-30 21:00:00,398.56,31
2022-04-30 22:00:00,156.58,12
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,83.96,5
2022-05-01 11:00:00,285.92,23
2022-05-01 12:00:00,712.47,54
2022-05-01 13:00:00,451.68,37
2022-05-01 14:00:00,427.98,30
2022-05-01 15:00:00,484.3,39
2022-05-01 16:00:00,547.9,38
2022-05-01 17:00:00,756.14,52
