Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,2
2022-04-25 11:00:00,20.17,3
2022-04-25 12:00:00,124.51,21
2022-04-25 13:00:00,134.75,25
2022-04-25 14:00:00,138.3,24
2022-04-25 15:00:00,113.83,31
2022-04-25 16:00:00,154.02,25
2022-04-25 17:00:00,169.46,24
2022-04-25 18:00:00,220.87,32
2022-04-25 19:00:00,187.92,26
2022-04-25 20:00:00,260.95,30
2022-04-25 21:00:00,201.06,24
2022-04-25 22:00:00,156.55,21
2022-04-25 23:00:00,258.57,30
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,23.6,5
2022-04-26 11:00:00,57.67,10
2022-04-26 12:00:00,161.61,27
2022-04-26 13:00:00,102.74,21
2022-04-26 14:00:00,149.31,26
2022-04-26 15:00:00,77.3,21
2022-04-26 16:00:00,169.11,27
2022-04-26 17:00:00,220.54,28
2022-04-26 18:00:00,230.7,26
2022-04-26 19:00:00,296.6,31
2022-04-26 20:00:00,317.87,36
2022-04-26 21:00:00,256.46,27
2022-04-26 22:00:00,142.32,20
2022-04-26 23:00:00,108.18,20
2022-04-27 0:00:00,10.46,2
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,11.17,3
2022-04-27 11:00:00,144.32,21
2022-04-27 12:00:00,84.58,22
2022-04-27 13:00:00,137.94,32
2022-04-27 14:00:00,131.83,22
2022-04-27 15:00:00,82.65,21
2022-04-27 16:00:00,178.59,28
2022-04-27 17:00:00,168.9,28
2022-04-27 18:00:00,107.34,17
2022-04-27 19:00:00,252.18,32
2022-04-27 20:00:00,306.2,31
2022-04-27 21:00:00,181.57,32
2022-04-27 22:00:00,221.25,32
2022-04-27 23:00:00,170.13,24
2022-04-28 0:00:00,0,1
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,67.32,11
2022-04-28 12:00:00,169.83,28
2022-04-28 13:00:00,144.63,23
2022-04-28 14:00:00,145.94,19
2022-04-28 15:00:00,166.48,28
2022-04-28 16:00:00,231.76,27
2022-04-28 17:00:00,192.78,31
2022-04-28 18:00:00,229.85,29
2022-04-28 19:00:00,390.63,43
2022-04-28 20:00:00,266.23,31
2022-04-28 21:00:00,380.95,39
2022-04-28 22:00:00,211.25,29
2022-04-28 23:00:00,161.97,27
2022-04-29 0:00:00,141.87,18
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,38.43,13
2022-04-29 11:00:00,73.14,13
2022-04-29 12:00:00,116.12,23
2022-04-29 13:00:00,185.85,28
2022-04-29 14:00:00,90.11,20
2022-04-29 15:00:00,147.04,23
2022-04-29 16:00:00,219.35,30
2022-04-29 17:00:00,248.64,29
2022-04-29 18:00:00,317.09,40
2022-04-29 19:00:00,355.46,43
2022-04-29 20:00:00,435.74,50
2022-04-29 21:00:00,391.84,38
2022-04-29 22:00:00,387.41,51
2022-04-29 23:00:00,354.36,40
2022-04-30 0:00:00,42.2,11
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,37.49,5
2022-04-30 11:00:00,164.54,16
2022-04-30 12:00:00,193.54,21
2022-04-30 13:00:00,144.55,24
2022-04-30 14:00:00,190.9,32
2022-04-30 15:00:00,146.31,25
2022-04-30 16:00:00,186.28,27
2022-04-30 17:00:00,185.72,26
2022-04-30 18:00:00,311.78,33
2022-04-30 19:00:00,358.43,35
2022-04-30 20:00:00,322.34,31
2022-04-30 21:00:00,327.64,31
2022-04-30 22:00:00,220.12,30
2022-04-30 23:00:00,163.34,25
2022-05-01 0:00:00,2.49,1
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,96.56,11
2022-05-01 12:00:00,181.65,16
2022-05-01 13:00:00,212.59,26
2022-05-01 14:00:00,144.83,16
2022-05-01 15:00:00,253.55,25
2022-05-01 16:00:00,166.91,17
2022-05-01 17:00:00,307.09,24
