historicals,companies,#results,clientid,upload
ipswich bury road.csv,ZZZZZZZZZZZZ,0,ZZZZZZZZZZZZ,0
wisbeech.csv,ZZZZZZZZZZZZ,0,ZZZZZZZZZZZZ,0
newport west.csv,KFC - Newport West,1,newport west,1
newport pullman.csv,KFC - Newport Pullman,1,newport pullman,1
newport friars walk.csv,KFC - Newport Friars Walk,1,newport friars walk,0
nantgarw.csv,KFC - Nantgarw,1,nantgarw,0
merthyr tydfil.csv,KFC - Merthyr Tydfil,1,merthyr tydfil,0
melton mowbray.csv,KFC - Melton Mowbray,1,melton mowbray,0
luton wigmore.csv,KFC - Luton Wigmore,1,luton wigmore,0
luton mall.csv,KFC - Luton Mall,1,luton mall,0
luton hatters way.csv,KFC - Luton Hatters Way,1,luton hatters way,0
luton express.csv,KFC - Luton Express,1,luton express,0
lowestoft.csv,KFC - Lowestoft,1,lowestoft,0
loughton.csv,KFC - Loughton,1,loughton,0
loughborough.csv,KFC - Loughborough,1,loughborough,0
long eaton.csv,KFC - Long Eaton,1,long eaton,0
llanelli.csv,KFC - Llanelli,1,llanelli,0
leighton buzzard.csv,KFC - Leighton Buzzard,1,leighton buzzard,0
leicester services.csv,KFC - Leicester Services,1,leicester services,0
leicester last straw.csv,KFC - Leicester Last Straw,1,leicester last straw,0
leicester high street.csv,KFC - Leicester High Street,1,leicester high street,0
leicester hamilton.csv,KFC - Leicester Hamilton,1,leicester hamilton,0
leicester fosse park.csv,KFC - Fosse Park,0,fosse,0
leicester braunstone.csv,KFC - Leicester Braunstone,1,leicester braunstone,0
kings lynn.csv,KFC - Kings Lynn,1,kings lynn,0
ipswich martlesham.csv,KFC - Ipswich - Martlesham,0,martlesham,0
ipswich felixstowe.csv,KFC - Ipswich - Felixstowe,0,felixstowe,0
norwich chapelfield.csv,KFC - Norwich - Chapelfield,0,chapelfield,0
norwich longwater.csv,KFC - Norwich - Longwater,0,longwater,0
norwich mile cross.csv,KFC - Norwich - Mile Cross,0,mile,0
norwich sprowston.csv,KFC - Norwich - Sprowston,0,sprowston,0
wincanton.csv,KFC - Wincanton,1,wincanton,0
wimbledon.csv,KFC - Wimbledon,1,wimbledon,0
wembley.csv,KFC - Wembley,1,wembley,0
uttoxeter.csv,KFC - Uttoxeter,1,uttoxeter,0
tooting.csv,KFC - Tooting,1,tooting,0
thorpe park.csv,KFC - Thorpe Park,1,thorpe park,0
talbot green.csv,KFC - Port Talbot,0,talbot,0
swindon outlet centre.csv,KFC - Swindon Outlet Centre,1,swindon outlet centre,0
swindon greenbridge.csv,KFC - Swindon Greenbridge,1,swindon greenbridge,0
swindon delta.csv,KFC - Swindon Delta,1,swindon delta,0
swindon clive parade.csv,KFC - Swindon Clive Parade,1,swindon clive parade,0
swansea morganite.csv,KFC - Swansea Morganite,1,swansea morganite,0
swansea morfa.csv,KFC - Swansea Morfa,1,swansea morfa,0
swansea fforestfach.csv,KFC - Swansea Fforestfach,1,swansea fforestfach,0
stevenage roaring meg.csv,KFC - Stevenage Roaring Meg,1,stevenage roaring meg,0
stevenage leisure.csv,KFC - Stevenage Leisure,1,stevenage leisure,0
ruislip.csv,KFC - Ruislip,1,ruislip,0
risca.csv,KFC - Newport Risca,1,risca,0
redhill.csv,KFC - Redhill,1,redhill,0
porth cymer road.csv,KFC - Porth - Cymer Road,0,porth,0
port talbot.csv,KFC - Port Talbot,1,port talbot,0
pontypool.csv,KFC - Pontypool,1,pontypool,0
peterborough paston parkway.csv,KFC - Peterborough Paston Parkway,1,peterborough paston parkway,0
peterborough london road.csv,KFC - Peterborough London Road,1,peterborough london road,0
