historicals,companies,#results,clientid,upload
000506.csv,*****000506 Mamaronek McDonald's,1,000506,1
002002.csv,***002002 96th & Broadway McDonald's,1,002002,1
002292.csv,002292 71st & Broadway McDonald's,1,002292,1
002767.csv,***002767 West 3rd McDonald's,1,002767,1
002923.csv,002923 New Rochelle McDonald's,1,002923,1
002970.csv,***002970 181 St McDonald's,1,002970,1
002988.csv,***002988 Kingsbridge McDonald's,1,002988,1
003078.csv,**003078 34th & 8th Ave McDonald's,1,003078,1
003081.csv,****003081 145th St McDonald's,1,003081,1
003095.csv,***003095 170th McDonald's,1,003095,1
003653.csv,003653 26th & 8th Ave McDonald's,1,003653,1
003660.csv,**003660 Lenox Avenue McDonald's,1,003660,1
004825.csv,****004825 117th St McDonald's,1,004825,1
005684.csv,****005684 Hub McDonald's,1,005684,1
007552.csv,***007552 47th Street McDonald's,1,007552,1
010074.csv,*****010074 Grand St. NJ McDonald's,1,010074,1
010407.csv,010407 724 Broadway McDonald's,1,010407,1
010482.csv,****010482 Jamaica Ave McDonald's,1,010482,1
010522.csv,******010522 Conner Street McDonald's,1,010522,1
011163.csv,*011163 Chambers McDonald's,1,011163,1
013064.csv,*****013064 14th Street McDonald's,1,013064,1
014106.csv,******014106 1188 6th Ave McDonald's,1,014106,1
014736.csv,014736 New Rochelle 2 McDonald's,1,014736,1
017631.csv,**017631 50th Street McDonald's,1,017631,1
020769.csv,***020769 Boston Road McDonald's,1,020769,1
021652.csv,**021652 164 and 3rd McDonald's,1,021652,1
023269.csv,*****023269 University McDonald's,1,023269,1
024740.csv,024740 138th St McDonald's,1,024740,1
026810.csv,******026810 Co-Op City McDonald's,1,026810,1
027855.csv,****027855 125th St & Lexington McDonald's,1,027855,1
029289.csv,029289 Madison McDonald's,1,029289,1
029500.csv,******029500 Westchester Ave McDonald's,1,029500,1
031749.csv,******031749 104th St & Broadway McDonald's,1,031749,1
032513.csv,*****032513 Eastchester Ave McDonald's,1,032513,1
033242.csv,******033242 Lincoln McDonald's,1,033242,1
035741.csv,****035741 125th & 7th McDonald's,1,035741,1
035813.csv,**035813 Hunts Point McDonald's,1,035813,1
036171.csv,*****036171 Holland Tunnel NJ McDonald's,1,036171,1
