historicals,companies,#results,clientid,upload,date,uploadedby,filename,status
000506.csv,*****000506 Mamaronek McDonald's,1,506,1,"Jul 13, 2022",Jeff Beam,000506.csv,Failed to upload 
002002.csv,***002002 96th & Broadway McDonald's,1,2002,1,"Jul 13, 2022",Jeff Beam,002002.csv,Failed to upload 
002292.csv,002292 71st & Broadway McDonald's,1,2292,1,"Jul 14, 2022",Jeff Beam,002292.csv,Failed to upload 
002767.csv,***002767 West 3rd McDonald's,1,2767,1,"Jul 14, 2022",Jeff Beam,002767.csv,Failed to upload 
002923.csv,002923 New Rochelle McDonald's,1,2923,1,"Jul 14, 2022",Jeff Beam,002923.csv,Failed to upload 
002970.csv,***002970 181 St McDonald's,1,2970,1,"Jul 14, 2022",Jeff Beam,002970.csv,Failed to upload 
002988.csv,***002988 Kingsbridge McDonald's,1,2988,1,"Jul 14, 2022",Jeff Beam,002988.csv,Failed to upload 
003078.csv,**003078 34th & 8th Ave McDonald's,1,3078,1,"Jul 14, 2022",Jeff Beam,003078.csv,Failed to upload 
003081.csv,****003081 145th St McDonald's,1,3081,1,"Jul 14, 2022",Jeff Beam,003081.csv,Failed to upload 
003095.csv,***003095 170th McDonald's,1,3095,1,"Jul 14, 2022",Jeff Beam,003095.csv,Failed to upload 
003653.csv,003653 26th & 8th Ave McDonald's,1,3653,1,"Jul 14, 2022",Jeff Beam,003653.csv,Failed to upload 
003660.csv,**003660 Lenox Avenue McDonald's,1,3660,1,"Jul 14, 2022",Jeff Beam,003660.csv,Failed to upload 
004825.csv,****004825 117th St McDonald's,1,4825,1,"Jul 14, 2022",Jeff Beam,004825.csv,Failed to upload 
005684.csv,****005684 Hub McDonald's,1,5684,1,"Jul 14, 2022",Jeff Beam,005684.csv,Failed to upload 
007552.csv,***007552 47th Street McDonald's,1,7552,1,"Jul 14, 2022",Jeff Beam,007552.csv,Failed to upload 
010074.csv,*****010074 Grand St. NJ McDonald's,1,10074,1,"Jul 14, 2022",Jeff Beam,010074.csv,Failed to upload 
010407.csv,010407 724 Broadway McDonald's,1,10407,1,"Jul 14, 2022",Jeff Beam,010407.csv,Failed to upload 
010482.csv,****010482 Jamaica Ave McDonald's,1,10482,1,"Jul 14, 2022",Jeff Beam,010482.csv,Failed to upload 
010522.csv,******010522 Conner Street McDonald's,1,10522,1,"Jul 14, 2022",Jeff Beam,010522.csv,Failed to upload 
011163.csv,*011163 Chambers McDonald's,1,11163,1,"Jul 14, 2022",Jeff Beam,011163.csv,Failed to upload 
013064.csv,*****013064 14th Street McDonald's,1,13064,1,"Jul 14, 2022",Jeff Beam,013064.csv,Failed to upload 
014106.csv,******014106 1188 6th Ave McDonald's,1,14106,1,"Jul 14, 2022",Jeff Beam,014106.csv,Failed to upload 
014736.csv,014736 New Rochelle 2 McDonald's,1,14736,1,"Jul 14, 2022",Jeff Beam,014736.csv,Failed to upload 
017631.csv,**017631 50th Street McDonald's,1,17631,1,"Jul 14, 2022",Jeff Beam,017631.csv,Failed to upload 
020769.csv,***020769 Boston Road McDonald's,1,20769,1,"Jul 14, 2022",Jeff Beam,020769.csv,Failed to upload 
021652.csv,**021652 164 and 3rd McDonald's,1,21652,1,"Jul 14, 2022",Jeff Beam,021652.csv,Failed to upload 
023269.csv,*****023269 University McDonald's,1,23269,1,"Jul 14, 2022",Jeff Beam,023269.csv,Failed to upload 
024740.csv,024740 138th St McDonald's,1,24740,1,"Jul 14, 2022",Jeff Beam,024740.csv,Failed to upload 
026810.csv,******026810 Co-Op City McDonald's,1,26810,1,"Jul 14, 2022",Jeff Beam,026810.csv,Failed to upload 
027855.csv,****027855 125th St & Lexington McDonald's,1,27855,1,"Jul 14, 2022",Jeff Beam,027855.csv,Failed to upload 
029289.csv,029289 Madison McDonald's,1,29289,1,"Jul 14, 2022",Jeff Beam,029289.csv,Failed to upload 
029500.csv,******029500 Westchester Ave McDonald's,1,29500,1,"Jul 14, 2022",Jeff Beam,029500.csv,Failed to upload 
031749.csv,******031749 104th St & Broadway McDonald's,1,31749,1,"Jul 14, 2022",Jeff Beam,031749.csv,Failed to upload 
032513.csv,*****032513 Eastchester Ave McDonald's,1,32513,1,"Jul 14, 2022",Jeff Beam,032513.csv,Failed to upload 
033242.csv,******033242 Lincoln McDonald's,1,33242,1,"Jul 14, 2022",Jeff Beam,033242.csv,Failed to upload 
035741.csv,****035741 125th & 7th McDonald's,1,35741,1,"Jul 14, 2022",Jeff Beam,035741.csv,Failed to upload 
035813.csv,**035813 Hunts Point McDonald's,1,35813,1,"Jul 14, 2022",Jeff Beam,035813.csv,Failed to upload 
036171.csv,*****036171 Holland Tunnel NJ McDonald's,1,36171,1,"Jul 14, 2022",Jeff Beam,036171.csv,Failed to upload 
